n,solved,wt,addr_y,a,b,c,a_tilde,b_tilde,theta_a,theta_b,k_rec,k_known,k_match
65,1,82,4168814151,18276349950746649239347369774909207890265594483271191203265926023305731841128,94535061919508026093675273174721245625999315351719585809605064521190549000642,21257027317808169329895711833966662226838248927355318573000098620327612493695,18276349950746649239347369774909207890265594483271191203265926023305731841128,-21257027317808169329895711833966662226838248927355318573000098620327612493695,0.9917231327,5.1297227296,47198096938572448412586493519997056997382333080753102230902116200392371454045,47198096938572448412586493519997056997382333080753102230902116200392371454045,1
66,1,73,3999666866,108739117917082676881057068278429995170726918442306997607674405852115045234608,38753560040705269634444766737337677463840893611306766811919746555061777000629,77038529196610925789126218271350230388996670667768137570685416586456384493708,-7052971320233518542513916730257912682110645836767906774930757289403116259729,38753560040705269634444766737337677463840893611306766811919746555061777000629,5.9004724115,2.1028707630,58707025160267351933442663621645105683893231557287896960957738714991042874493,58707025160267351933442663621645105683893231557287896960957738714991042874493,1
67,1,83,1921469210,6184790236699273714199548043089077526287407985520619593192091162867618989826,104665971887210161729927542229525510640160324049163842335795590637328004759251,11126117350106033693643442779162397212677240229911062046809572504190156735086,6184790236699273714199548043089077526287407985520619593192091162867618989826,-11126117350106033693643442779162397212677240229911062046809572504190156735086,0.3356030917,5.6794527248,77165647360624521394444301600792977327909851553250275924077506527860045513785,77165647360624521394444301600792977327909851553250275924077506527860045513785,1
68,1,87,876916710,108924597879572934886336098231613454493363950089204375424536319276065715785120,10731817456789612270989956003598054035131441233322921368846046849242629365132,105060271780526583152581029005089853817706123045751983013759116292275532129205,-6867491357743260537234886777074453359473614189870528958068843865452445709217,10731817456789612270989956003598054035131441233322921368846046849242629365132,5.9105370453,0.5823368264,102554615029057701872375318987745840197832050986042670152374125658207378353113,102554615029057701872375318987745840197832050986042670152374125658207378353113,1
69,1,78,3442607291,20573013250606973564334856196697430095215655644021288364283584486062171818083,78059975112286445599664380342911115350653125238971809670454992858582555990782,37732114125029749823906604665776792502184439040103094712150170282935605503555,20573013250606973564334856196697430095215655644021288364283584486062171818083,-37732114125029749823906604665776792502184439040103094712150170282935605503555,1.1163461635,4.2357409037,11946642344883370136764185611543582122915820184773164279891938809939770222914,11946642344883370136764185611543582122915820184773164279891938809939770222914,1
70,1,78,1183261830,89518158310551130147560612598697241059079255797422424741246981465461119916531,29141436596257861726945750204288096687723733772544884990374512177469554291887,86650652641058333696625234804399811165113830506530019392230650964048607202450,-26273930926765065276010372409990666793758308481652479641358181676057041577806,29141436596257861726945750204288096687723733772544884990374512177469554291887,4.8574922581,1.5812914980,54884353499806060424599324798347397694390029189223893445085636070424818929806,54884353499806060424599324798347397694390029189223893445085636070424818929806,1
75,1,87,2814606569,34741155001182303619033978744157489409516154611772184292603452092264277878663,12697860449479498453847656652505714789230497725741504908960439030842136099595,103094228787836696969723328356182193063607066553333399473644724110676025394742,34741155001182303619033978744157489409516154611772184292603452092264277878663,12697860449479498453847656652505714789230497725741504908960439030842136099595,1.8851470433,0.6890195240,8235300171952886560581201686307287426905544159157327920602166151291662184063,8235300171952886560581201686307287426905544159157327920602166151291662184063,1
80,1,92,1916061863,110615807871609475108728210219804406332072013403518481763640718364840951176222,84315099330707558244579420578173070151915688718706398507859372014962145805048,31476989906608637178991564430514837700921875560368505874745791126556015689289,-5176281365706720314842774788883501520765550875556422618964444776677210318115,-31476989906608637178991564430514837700921875560368505874745791126556015689289,6.0023065767,4.5751605034,66843170464832548241310577357432546065878926684635502972687603089711661639814,66843170464832548241310577357432546065878926684635502972687603089711661639814,1
85,1,79,121808139,21760541027668544306677623850649482311589013315311290174109406609009651713951,87983349381453816689187091950570268238367667601731801195875442099276958462363,27808739855862378734383893058117639614469896677343103186729721042241203031974,21760541027668544306677623850649482311589013315311290174109406609009651713951,-27808739855862378734383893058117639614469896677343103186729721042241203031974,1.1807845645,4.7742094624,11300465011987917527694521106395062281999464664104386990155750190971858601744,11300465011987917527694521106395062281999464664104386990155750190971858601744,1
90,1,76,3621382499,6033734256503644793717175260006624723977180272911027840248859991865636098084,101452437873653958228328243942771917380901353729150417861168901853704717121970,14339651363662237195242741065915990471936210549924486521436261287813444372367,6033734256503644793717175260006624723977180272911027840248859991865636098084,-14339651363662237195242741065915990471936210549924486521436261287813444372367,0.3274063943,5.5050778617,2828323618732566412282741682780857811367163708805410899852579412860838950601,2828323618732566412282741682780857811367163708805410899852579412860838950601,1
95,1,75,2028596793,18502784967498889434523483166453203017198748356605235581884817520401253661896,93695862454927256710088412049908885983378224258232532634837209189076975221245,22096226782388938713482572958779021869459340020842371747767953952441186273092,18502784967498889434523483166453203017198748356605235581884817520401253661896,-22096226782388938713482572958779021869459340020842371747767953952441186273092,1.0040100962,5.0841855450,81121462214278078726157069692350691666348859269686313395859218043481650129200,81121462214278078726157069692350691666348859269686313395859218043481650129200,1
100,1,90,1201377842,27573610686844589436272478182898300523778929196876179306945156580097704651081,104179706601031926116637205591734828457164024492574798219811430280534890972872,11612382636284269306933779416953079395673539786500106162793732860983270521465,27573610686844589436272478182898300523778929196876179306945156580097704651081,-11612382636284269306933779416953079395673539786500106162793732860983270521465,1.4962171136,5.6530666830,12107164864847556103224566827231474081368335030183654868671403733078048742431,12107164864847556103224566827231474081368335030183654868671403733078048742431,1
105,1,88,1743819244,16983467441638145272839516138492459249704781794818376222090519690887648057227,111957692119302326093123354063353474679772647592599699519362849538139828763552,3834397118013869330447630945334433173064916686475204863242313603378332730785,16983467441638145272839516138492459249704781794818376222090519690887648057227,-3834397118013869330447630945334433173064916686475204863242313603378332730785,0.9215679050,6.0751207685,525334796830037726410016499263146623378784129823598031601674611764225983151,525334796830037726410016499263146623378784129823598031601674611764225983151,1
110,1,75,1193468881,5225992061622980374483736662256331551346591531827925761212131709425649282299,86968428113054305724583592472905892304537894833481237947947544199295959866261,28823661124261889698987392535782015548299669445593666434657618942222201628076,5225992061622980374483736662256331551346591531827925761212131709425649282299,-28823661124261889698987392535782015548299669445593666434657618942222201628076,0.2835761644,4.7191371475,91808461286325083467446287269132135872868344114709590230942227665476695407802,91808461286325083467446287269132135872868344114709590230942227665476695407802,1
115,1,91,2369898057,24869615737577754303223076135923783722543667329673553813615562967429066856974,102677595425777748391624044209059900235768330884963426176243855222680991124689,13114493811538447031946940799628007617069233394111478206361307918837170369648,24869615737577754303223076135923783722543667329673553813615562967429066856974,-13114493811538447031946940799628007617069233394111478206361307918837170369648,1.3494911891,5.5715581540,71396278446561290368727045358794825158546572073240015435572676698333005885418,71396278446561290368727045358794825158546572073240015435572676698333005885418,1
120,1,82,4235354296,51618569799486891394208708199615774146408011269890278083717078717312658116761,84595907524651906418121122062231108909659462738506541142230076835771276587725,31196181712664289005449862946456798943178101540568363240375086305746884906612,51618569799486891394208708199615774146408011269890278083717078717312658116761,-31196181712664289005449862946456798943178101540568363240375086305746884906612,2.8009602511,4.5903978994,13573823780717044616572733108363070253080616936902949703105175145313273108987,13573823780717044616572733108363070253080616936902949703105175145313273108987,1
125,1,82,2121907948,100657891521244337877537134262383673062354877212792169836507656734328357748343,58313921472598073814949570550877380885952629150607546543970625753010229715058,57478167764718121608621414457810526966884935128467357838634537388507931779279,-15134197716071857546033850746304234790482687066282734546097506407189803745994,-57478167764718121608621414457810526966884935128467357838634537388507931779279,5.4619636732,3.1642677580,64622881401936118551478493969281891613757227410226785543857026718306428095650,64622881401936118551478493969281891613757227410226785543857026718306428095650,1
130,1,73,253873151,80769153475847677179517375657442821068266152461624146761719517145425317491176,53041730051758059310324094184983703004073766906237731826749817150862256446868,62750359185558136113246890823704204848763797372837172555855345990655905047469,-35022935761468518244053609351245086784571411817450757620885645996092844003161,53041730051758059310324094184983703004073766906237731826749817150862256446868,4.3827480939,2.8781846940,32882115789541217663266522539770238397656470152456859134490538870103939684786,32882115789541217663266522539770238397656470152456859134490538870103939684786,1
135,0,82,2072985111,22192401509268247531352677264766230259437929368547539113374518388727980930059,32038298515013393204447249485498042197972107559940687298945942453088878762422,83753790722302802219123735523189865654865456719134217083659220688429282731915,22192401509268247531352677264766230259437929368547539113374518388727980930059,32038298515013393204447249485498042197972107559940687298945942453088878762422,1.2042184575,1.7384828948,,,
140,0,94,1926879174,12073378448676905095132011177367844962889897514908349847370461312047268783422,26868831589369659425091337866245830546789990045136187698889820640949989283681,88923257647946535998479647142442077306047574233938716683715342500568172210656,12073378448676905095132011177367844962889897514908349847370461312047268783422,26868831589369659425091337866245830546789990045136187698889820640949989283681,0.6551334774,1.4579739339,,,
145,0,81,1968042679,83752346590217785247777603150112492317335954948942395545885497995750588282202,94467517014136684076820133835891201968739899578691628322413175205845651572473,21324572223179511346750851172796705884097664700383276060191987935672509921864,-32039742647098410175793381858575415535501609330132508836719665145767573212135,-21324572223179511346750851172796705884097664700383276060191987935672509921864,4.5446240499,5.1260575642,,,
150,0,86,181999072,104523178172597573440342604478369950284711382359022447840112682978912410874045,81481445337416156127521778315841644781935497054348528876547203735710576945737,34310643899900039296049206692846263070902067224726375506057959405807584548600,-11268911064718621983228380530317957568126181920052456542492480162605750620292,-34310643899900039296049206692846263070902067224726375506057959405807584548600,5.6717043598,4.4213989360,,,
155,0,90,3659715817,102125875217226733650586921032604551773140287009686124390410024274255487914870,35021890418143097111592730488851884776659641491810273737544073786613407818871,80770198819173098311978254519836023076177922787264630645061089354904753675466,-13666214020089461772984063976083356079697277269388779992195138867262673579467,35021890418143097111592730488851884776659641491810273737544073786613407818871,5.5416203548,1.9003804902,,,
160,0,81,1563760281,47750153593033158193257876061741717750340622829984053723045268748760395373840,75387513534214404706376939028635965994685783833969455730498212006131265227761,40404575703101790717194045980051941858151780445105448652106951135386896266576,47750153593033158193257876061741717750340622829984053723045268748760395373840,-40404575703101790717194045980051941858151780445105448652106951135386896266576,2.5910497466,4.0907260634,,,
