puzzle,d,d_bit_length,d_popcount_256,quadratic_class,quadratic_test,cubic_class,cubic_test,x,y,compressed_prefix,x_popcount_256,y_popcount_256,d_mod_2,d_mod_3,d_mod_5,d_mod_7,d_mod_11,d_mod_13,d_mod_17,d_mod_19,d_mod_23,d_mod_29,d_mod_31,d_mod_37,d_mod_41,d_mod_43,d_mod_47,d_mod_53,d_mod_59,d_mod_61,d_mod_67,d_mod_71,d_mod_73,d_mod_79,d_mod_83,d_mod_89,d_mod_97,x_mod_2,x_mod_3,x_mod_5,x_mod_7,x_mod_11,x_mod_13,x_mod_17,x_mod_19,x_mod_23,x_mod_29,x_mod_31,x_mod_37,x_mod_41,x_mod_43,x_mod_47,x_mod_53,x_mod_59,x_mod_61,x_mod_67,x_mod_71,x_mod_73,x_mod_79,x_mod_83,x_mod_89,x_mod_97,y_mod_2,y_mod_3,y_mod_5,y_mod_7,y_mod_11,y_mod_13,y_mod_17,y_mod_19,y_mod_23,y_mod_29,y_mod_31,y_mod_37,y_mod_41,y_mod_43,y_mod_47,y_mod_53,y_mod_59,y_mod_61,y_mod_67,y_mod_71,y_mod_73,y_mod_79,y_mod_83,y_mod_89,y_mod_97
51,2058769515153876,51,19,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,63515334313235940978997497997309110945131154723579807607384497547958713837455,58372837009371438499600708449369979083506963697147052846447906363256905894908,02,138,133,0,0,1,0,8,5,10,12,12,11,13,5,7,0,29,0,6,21,59,45,41,58,61,87,7,1,0,0,2,1,2,7,16,17,19,25,10,22,35,19,13,51,58,3,67,29,56,49,38,95,0,0,3,5,8,9,3,5,6,20,30,9,24,17,2,10,15,25,48,52,25,11,68,14,71
52,4216495639600700,52,30,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,52813238566474594496574906867435567565233423293475819066208762163447782904999,98011757932358350962613998289386682535741825041444942664745561971592823444973,03,115,132,0,2,0,1,5,1,7,18,11,11,4,27,29,36,29,0,22,24,64,23,35,11,65,41,34,1,2,4,3,3,0,0,12,22,18,17,31,14,37,27,8,24,34,60,16,58,8,0,78,70,1,2,3,6,5,8,15,5,8,8,24,12,26,29,30,39,14,54,47,27,69,3,48,51,14
53,6763683971478124,53,24,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,7086754227407391658152234626386289704606906620229921345536119461826835276617,45806165569194256586261502717728099690457099843611552664107027616191159246392,02,122,130,0,1,4,5,9,2,16,5,18,21,5,28,36,26,25,22,9,46,62,64,31,44,61,65,85,1,2,2,5,10,9,3,2,0,28,28,8,30,14,3,25,37,49,22,52,30,35,69,22,93,0,1,2,1,8,7,7,3,0,4,16,0,4,32,38,52,12,48,40,41,17,8,72,21,5
54,9974455244496707,54,32,QR,1,C0,1,33903532250825920011423262729318037347523984276123141340942803818961706296726,168743002427289881765681417490337978467882455308235152692948563217619698893,03,127,124,1,2,2,6,8,3,13,8,17,28,11,36,31,34,11,43,52,40,50,31,48,74,40,58,32,0,2,1,5,8,12,15,8,12,8,26,20,10,4,34,11,21,4,53,62,9,66,21,76,14,1,2,3,2,4,5,12,10,2,26,27,24,32,19,44,12,23,48,55,29,56,12,14,16,61
55,30045390491869460,55,31,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,60445698216621826856287952149610390835450647855250491824511024996101472713059,6650413705544923593404974197957088657590778889830546541291909209606529242729,03,127,130,0,2,0,1,4,6,14,0,18,18,26,28,22,28,12,4,15,6,9,28,48,78,59,36,96,1,0,4,6,1,9,3,15,3,20,29,18,34,34,8,4,23,40,12,4,16,5,80,63,84,1,1,4,2,9,0,3,5,16,23,15,0,4,13,16,24,14,26,32,46,3,25,42,30,60
56,44218742292676575,56,34,QR,1,C0,1,28576446286465130798687394270835338936156158272521290958787272130765482596762,101338706018188911277721114497155019368847601339832684197459624859833147765647,03,125,130,1,0,0,1,8,0,7,1,11,12,11,31,18,13,28,19,25,13,7,59,5,66,14,74,14,0,2,2,3,7,9,13,0,15,12,20,17,1,14,39,15,42,3,36,56,46,71,23,71,40,1,1,2,4,10,10,12,5,20,11,3,0,22,19,11,34,36,30,0,27,61,70,42,80,28
57,138245758910846492,57,29,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,74691033661854708945097969794875545130743253282866857528646094060486887766762,50520096726607883683128959576900318161316692878968149241991939304173485276380,02,129,128,0,2,2,3,4,9,5,10,0,17,6,22,3,13,15,35,14,59,31,63,20,62,68,77,2,0,2,2,6,2,2,16,12,13,3,24,28,25,9,10,39,43,24,65,57,18,2,45,16,56,0,1,0,0,8,0,4,3,8,28,2,5,32,16,10,35,18,0,2,50,68,18,1,48,36
58,199976667976342049,58,25,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,7842290535780881515467118634686610054213231290193967407475681065888263921474,37223995011863042135269033180096052877832679834151924259363842760832235837987,03,120,122,1,2,4,2,1,0,12,17,5,20,13,27,40,31,31,31,24,60,50,56,43,42,81,53,15,0,1,4,0,10,9,13,2,1,20,11,18,30,19,21,20,3,36,43,34,41,28,73,61,68,1,0,2,0,0,12,1,11,12,11,25,27,17,38,44,33,51,17,35,44,61,35,17,66,38
59,525070384258266191,59,33,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,29468339291227022490967140728449087203757816877061952957844349023051015394437,5867199329528628582491486657327247741547599271992614464633076311922995064508,02,132,141,1,2,1,2,4,7,2,1,10,9,19,29,19,7,36,30,9,5,60,39,65,48,80,44,28,1,2,2,3,5,0,8,14,8,8,26,21,17,31,0,17,16,3,35,68,28,59,72,15,53,0,0,3,0,2,8,12,4,16,6,4,22,28,34,45,1,22,35,28,66,58,66,56,16,53
60,1135041350219496382,60,32,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,32976901974812130467888454680865813064186458215596336709018932995219129999629,94344309747317421167124060163550008068954848013402657284162153757492808086031,03,118,136,0,1,2,5,3,0,9,14,5,26,0,33,34,4,14,51,7,42,30,0,14,72,79,41,64,1,2,4,0,0,7,9,4,1,17,16,10,11,23,40,5,28,0,49,38,20,18,34,50,69,1,1,1,1,6,7,4,2,17,8,19,28,15,19,23,18,49,7,21,19,24,36,70,57,78
61,1425787542618654982,61,29,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,33308989973171342073697220435010985741081235541259067848310503357357122078015,95725642944317286839874181564660753559887752233498128945789602194633150111324,02,120,123,0,1,2,4,8,0,7,18,14,6,18,13,12,23,8,6,1,56,8,34,51,70,42,25,14,1,0,0,2,1,1,15,3,9,25,23,19,6,2,4,41,43,6,64,52,12,16,53,23,57,0,2,4,3,6,4,3,7,22,24,3,32,12,42,32,27,4,25,23,29,18,59,45,25,62
62,3908372542507822062,62,34,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,15877604754714859824235961000680666017735583517798512888980505728230641434280,27676014891220873617147919511945292449354083613136393884603452417089983439557,03,120,125,0,0,2,2,3,11,4,18,5,28,20,34,29,0,27,30,36,28,40,13,37,43,63,88,69,0,1,0,6,3,11,0,11,1,17,17,15,13,33,36,20,54,10,44,48,21,57,15,68,65,1,2,2,6,1,8,8,18,3,2,11,4,5,41,40,21,34,14,0,54,53,48,10,22,4
63,8993229949524469768,63,36,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,46100860595331327753782525134281403195505409441031099411610412192590360561017,40756680259664337787317293734418135936366600101587916741588241469787632977445,03,127,133,0,1,3,0,9,2,12,18,1,10,2,18,35,12,22,22,14,17,2,56,33,32,60,29,50,1,1,2,0,7,5,7,15,16,26,2,17,20,36,35,51,25,36,1,19,44,68,4,4,66,1,0,0,5,9,7,6,9,4,12,23,5,15,38,38,24,56,49,51,60,63,19,42,22,95
64,17799667357578236628,64,30,QR,1,C0,1,7247729308732252718492345551507130715155957421128527268563563649761751702861,36707592335952288811734416422045697926733415491378770888054924918276179427221,03,124,126,0,0,3,1,3,4,6,0,17,2,29,26,21,20,2,2,24,56,11,41,40,54,31,85,55,1,1,1,0,7,10,6,1,4,4,5,15,17,29,26,3,52,52,15,3,34,8,26,39,20,1,0,1,2,2,9,6,4,11,6,9,19,25,30,1,34,40,30,18,49,24,8,80,63,46
65,30568377312064202855,65,29,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,21769406468394979245979020739332080729679479243955596515614749275274212371227,102907830890434238525231690377346540046672568029169549965500018466490455252476,02,125,138,1,2,0,6,2,10,12,16,2,15,18,3,38,17,25,39,4,23,0,9,1,65,70,43,80,1,2,2,5,6,5,1,18,6,2,21,29,33,23,3,37,40,20,58,37,8,66,37,76,1,0,2,1,6,4,11,8,3,6,25,26,36,36,35,16,45,53,2,60,69,18,9,72,85,50
66,46346217550346335726,66,38,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,35681022179418186873973468373280332442853574053612577039287936543695937260509,55769436514148338618765508764324988000805241152238207056637568135859289137720,02,140,122,0,1,1,6,5,0,0,4,4,26,3,13,34,27,45,37,35,20,42,26,49,62,65,65,74,1,2,4,3,4,10,15,5,21,6,7,1,24,10,6,39,46,0,38,26,25,10,12,45,6,0,0,0,4,2,9,15,8,21,28,20,23,26,32,43,24,38,41,55,21,68,10,17,30,20
67,132656943602386256302,67,31,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,8199270313230837952220440610769591593514599319024034412022685032436710272885,108680892268991160269437367347039106826837182347366220564480894908240312674034,02,122,118,0,1,2,4,7,2,8,18,0,11,10,21,8,26,12,43,16,36,34,50,21,25,44,41,26,1,2,0,2,3,12,13,6,11,26,28,24,11,7,24,35,17,35,22,48,68,52,53,74,35,0,1,4,5,0,11,11,11,16,19,24,4,6,2,26,48,25,60,25,37,18,69,27,44,2
68,219898266213316039825,68,33,QR,1,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,14417797224727152153976629935434818279260229220775673176904981236836807719451,7045521516762001123429259792443693948241323099305435512759425298741909160811,03,130,132,1,1,0,0,3,8,3,8,10,22,25,1,32,38,26,15,19,37,47,22,61,47,72,69,81,1,1,1,2,5,12,9,13,2,9,6,21,11,3,10,1,12,20,35,41,63,8,77,55,76,1,1,1,2,4,5,12,9,15,2,27,13,37,20,12,17,45,35,23,49,5,6,43,84,44
69,297274491920375905804,69,35,QR,1,C0,1,34226794014706530115784623034813193918417475105517896498394700850822182845011,95344118026279051459253088692659149181807495503617143902697063322064304017214,02,139,118,0,1,4,1,0,11,15,9,21,14,11,33,26,1,18,50,5,25,27,52,22,39,50,47,73,1,1,1,3,10,0,9,13,1,9,5,27,22,14,3,26,10,54,21,52,38,45,40,85,68,0,1,4,6,6,0,9,0,18,17,21,32,13,19,2,22,6,35,9,7,17,64,79,16,51
70,970436974005023690481,70,34,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,65540419151317157747671900246361345335112119010416684680126380557251106866307,97334935826427332895556897785451550753483104566423636378820548368192638516448,02,121,126,1,0,1,1,8,4,4,12,3,25,22,27,37,14,30,11,0,6,42,4,47,30,40,5,82,1,1,2,4,4,2,2,2,18,18,7,26,11,42,40,17,15,9,63,9,62,33,60,29,1,0,2,3,5,0,11,1,17,10,6,6,9,38,29,13,31,51,16,28,21,70,54,14,88,42
