delta_id,transition,delta,bit_length,popcount,delta2,delta3,prev_ratio_num,prev_ratio_den,next_ratio_num,next_ratio_den,prev_ratio_cf,next_ratio_cf,small_prime_factor_exponents,remaining_cofactor,addition_carry_count,addition_longest_carry_chain,subtraction_borrow_count,subtraction_longest_borrow_chain,x,y,x_popcount,y_popcount,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29,mod_31,mod_37,mod_41,mod_43,mod_47,mod_53,mod_59,mod_61,mod_67,mod_71,mod_73,mod_79,mod_83,mod_89,mod_97
50,50->51,1447629018986112,51,22,710097105460712,-320634898030112,482543006328704,67340530378413,269715765555853,180953627373264,"[7, 6, 29, 379, 1, 4, 1, 86, 1, 2, 3, 1]","[1, 2, 25, 1, 7, 1, 1, 4, 3, 1, 1, 15]",7|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3769867236943,27,11,27,11,23812079903561623169297139403257865354731775618129204310163508921568674858628,55863060375493878856991671056571753044006279585656491405255905969307713691708,117,136,0,0,2,4,6,1,11,1,22,25,18,10,33,39,20,35,13,25,29,32,5,41,32,51,45
51,51->52,2157726124446824,51,24,389462207430600,274120733710559,269715765555853,180953627373264,318398541484678,269715765555853,"[1, 2, 25, 1, 7, 1, 1, 4, 3, 1, 1, 15]","[1, 5, 1, 1, 5, 1, 2, 2, 2, 1, 3, 1]",3|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0,3733658627,13,3,13,3,113592106712759017149672005042140333759517471263479897649594336280307323537327,92626795863296293210596375659964815300910746496077983022702609215566783245692,125,125,0,2,4,1,8,9,14,6,22,0,22,22,22,36,0,0,16,3,5,49,67,32,4,43,27
52,52->53,2547188331877424,52,25,663582941141159,16196581033213011,318398541484678,269715765555853,3210771273018583,2547188331877424,"[1, 5, 1, 1, 5, 1, 2, 2, 2, 1, 3, 1]","[1, 3, 1, 5, 5, 5, 1, 6, 1, 1, 4, 1]",4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,159199270742339,31,9,31,9,83638091172991706314520346377484987529574810981928581459043639473103935935386,37999830104826492577577678436494556261160771701824715678761787529091459036330,119,120,0,2,4,4,4,1,9,6,7,10,1,1,7,33,43,22,46,22,65,41,69,33,79,24,51
53,53->54,3210771273018583,52,30,16860163974354170,-22757747420919808,3210771273018583,2547188331877424,20070935247372753,3210771273018583,"[1, 3, 1, 5, 5, 5, 1, 6, 1, 1, 4, 1]","[6, 3, 1, 54, 1, 3, 4, 14, 2, 1, 1, 6]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3210771273018583,22,6,22,6,64396261225688224722118171780265894123360336384139427499086401085367436048516,46525220911184284898817020893943009751115062377224318320570346264099791884062,122,127,1,1,3,1,10,1,14,3,22,7,6,8,36,8,33,21,43,55,55,38,17,30,62,82,44
54,54->55,20070935247372753,55,27,-5897583446565638,85751248263928440,20070935247372753,3210771273018583,14173351800807115,20070935247372753,"[6, 3, 1, 54, 1, 3, 4, 14, 2, 1, 1, 6]","[0, 1, 2, 2, 2, 11, 1, 11, 6, 2, 5, 6]",0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0,91648106152387,28,7,28,7,50921652564938364901088396122239314139598601239170497286188660835239327179497,78267682475373280524261586099087113276916035671779340226162189477772784073988,119,105,1,0,3,2,7,3,1,11,1,19,15,29,32,37,1,14,22,27,26,68,0,4,19,67,64
55,55->56,14173351800807115,54,31,79853664817362802,-112149772370037162,14173351800807115,20070935247372753,94027016618169917,14173351800807115,"[0, 1, 2, 2, 2, 11, 1, 11, 6, 2, 5, 6]","[6, 1, 1, 1, 2, 1, 2, 1, 7, 8, 9, 1]",0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,404952908594489,28,7,28,7,20439085147545768758842031132153068038267657479698259695260149208261774976029,74342436948065608011755856930071992040769377263284703770826785593713340442173,123,136,1,1,0,0,4,7,10,1,16,23,16,3,37,28,16,15,10,7,65,31,30,67,38,38,15
56,56->57,94027016618169917,57,27,-32296107552674360,295658914769102945,94027016618169917,14173351800807115,61730909065495557,94027016618169917,"[6, 1, 1, 1, 2, 1, 2, 1, 7, 8, 9, 1]","[0, 1, 1, 1, 10, 3, 2, 13, 2, 1, 1, 4]",0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0,2186674805073719,32,16,32,16,71012098495009904500851335283407662891386932095453486850093959631646915722538,41526819478490448014748010435054709371141690932517598799322583116122345529239,145,143,1,2,2,2,7,9,15,9,12,5,26,28,26,0,34,16,48,46,24,4,15,75,54,3,85
57,57->58,61730909065495557,56,28,263362807216428585,21514442462877464,61730909065495557,94027016618169917,108364572093974714,20576969688498519,"[0, 1, 1, 1, 10, 3, 2, 13, 2, 1, 1, 4]","[5, 3, 1, 3, 11, 1, 46, 2, 2, 3, 2, 219]",0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6858989896166173,32,6,32,6,77826564995651148887507385113487176806323470355442521745699293087285894813424,80846516283705122294499510601405112428290638771922080220942206186992649562653,127,130,1,0,2,6,8,4,7,7,5,3,7,5,37,18,16,49,10,1,19,64,23,59,13,65,13
58,58->59,325093716281924142,59,27,284877249679306049,-604102023241377640,108364572093974714,20576969688498519,609970965961230191,325093716281924142,"[5, 3, 1, 3, 11, 1, 46, 2, 2, 3, 2, 219]","[1, 1, 7, 11, 1, 25, 2, 2, 14, 1, 1, 10]",1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,7740326578141051,19,4,19,4,76465869322938233833986287573420039009452449621711409323250448144537147269206,1913965922020249200538398457832437460595153958162160690987107201955640072928,122,126,0,0,2,0,3,7,7,3,5,18,6,2,20,19,5,52,44,6,10,54,22,6,82,80,13
59,59->60,609970965961230191,60,35,-319224773562071591,2511063581052080071,609970965961230191,325093716281924142,290746192399158600,609970965961230191,"[1, 1, 7, 11, 1, 25, 2, 2, 14, 1, 1, 10]","[0, 2, 10, 4, 1, 3, 1, 1, 60, 2, 3, 1]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,609970965961230191,36,10,36,10,4677090015119276391649208502643508062137889695757081931661998288388437478117,110671833928837501625661857263951368610404627209490531488551573553432450525352,125,127,1,2,1,3,10,6,7,13,18,17,12,4,15,40,25,21,57,37,37,32,22,24,82,86,36
60,60->61,290746192399158600,59,29,2191838807490008480,410433599637472146,290746192399158600,609970965961230191,62064624997229177,7268654809978965,"[0, 2, 10, 4, 1, 3, 1, 1, 60, 2, 3, 1]","[8, 1, 1, 5, 1, 27, 1, 10, 1, 1, 1, 1]",3|2|2|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12425050957229,32,19,32,19,58465890688925711264963388970531793746562956644747369838293766562405928037046,7298437271701485783229676683142321366919767942570984125419819127236157321578,127,114,0,0,0,6,5,0,15,4,9,9,18,17,19,19,41,8,53,14,45,34,37,77,46,73,47
61,61->62,2482584999889167080,62,34,2602272407127480626,1119307593909638528,62064624997229177,7268654809978965,133812037026753887,65331184207609660,"[8, 1, 1, 5, 1, 27, 1, 10, 1, 1, 1, 1]","[2, 20, 1, 2, 1, 7, 3, 3, 1, 1, 3, 1]",3|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3266559210380483,29,9,29,9,42383955962093133937343264088639544806213578223116048767276348351701302026489,73186544225456169998645998392185754919952235057301600961869294555061660401992,142,123,0,2,0,5,6,11,14,0,14,22,2,21,17,20,19,24,35,33,32,50,59,52,21,63,55
62,62->63,5084857407016647706,63,34,3721580001037119154,240692545395080213,133812037026753887,65331184207609660,4403218704026883430,2542428703508323853,"[2, 20, 1, 2, 1, 7, 3, 3, 1, 1, 3, 1]","[1, 1, 2, 1, 2, 1, 2, 2, 1, 4, 4, 35]",1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,133812037026753887,32,13,32,13,75509842994855533449055286388639114255627154535099096365789918720642064563103,29131358268821863372133130042479026429323000967745331357891405835340064099922,146,137,0,1,1,5,6,4,8,0,19,11,13,21,6,12,42,45,37,50,29,43,69,68,80,30,78
63,63->64,8806437408053766860,63,27,3962272546432199367,-953142262636032723,4403218704026883430,2542428703508323853,12768709954485966227,8806437408053766860,"[1, 1, 2, 1, 2, 1, 2, 2, 1, 4, 4, 35]","[1, 2, 4, 2, 34, 1, 4, 2, 3, 3, 1, 1]",2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,440321870402688343,33,7,33,7,74145028919649588099138321521804173734499266075412242360547815204127169332725,6879102102033158752982368762649724699193426174197343346436070992120420027515,131,122,0,2,0,1,5,2,11,1,16,21,27,8,27,8,27,33,10,39,9,56,7,22,54,56,5
64,64->65,12768709954485966227,64,28,3009130283796166644,67523755529961621061,12768709954485966227,8806437408053766860,15777840238282132871,12768709954485966227,"[1, 2, 4, 2, 34, 1, 4, 2, 3, 3, 1, 1]","[1, 4, 4, 9, 9, 8, 2, 1, 1, 2, 47, 16]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12768709954485966227,29,8,29,8,15760446372843975428205971334637957858193650408828116428549748037062453854647,108684194606342589687902294204972004645042997334596270662618915983969663013405,120,137,1,2,2,5,10,6,6,16,8,13,20,14,17,40,23,37,39,28,56,39,34,11,39,47,25
65,65->66,15777840238282132871,64,34,70532885813757787705,-69602289254867924758,15777840238282132871,12768709954485966227,86310726052039920576,15777840238282132871,"[1, 4, 4, 9, 9, 8, 2, 1, 1, 2, 47, 16]","[5, 2, 7, 1, 15, 2, 5, 2, 2, 1, 2, 1]",0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2253977176897447553,25,6,25,6,93145194676156021885321956479652160518091107321169323416837633234819257031300,111153641122863472212927193016858822077508689205601123425501264306508939833557,129,127,1,2,1,0,3,3,5,7,2,11,16,10,37,10,20,51,31,58,42,17,48,76,78,22,91
66,66->67,86310726052039920576,67,32,930596558889862947,-10795693462759780491,86310726052039920576,15777840238282132871,29080440870309927841,28770242017346640192,"[5, 2, 7, 1, 15, 2, 5, 2, 2, 1, 2, 1]","[1, 92, 1, 2, 1, 26, 1, 7, 1, 1, 2, 1]",6|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,149845010507013751,39,10,39,10,13808242084009995919621935479117630817567663163155243974648547607099671895691,55253119420591104741014776970477185824982632410027633333734347421047960999633,114,130,0,0,1,5,2,2,8,14,19,14,7,8,15,42,14,6,40,16,59,24,45,42,62,65,49
67,67->68,87241322610929783523,67,37,-9865096903869917544,605651353281457836242,29080440870309927841,28770242017346640192,25792075235686621993,29080440870309927841,"[1, 92, 1, 2, 1, 26, 1, 7, 1, 1, 2, 1]","[0, 1, 7, 1, 5, 2, 1, 1, 2, 2, 17, 2]",0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,29080440870309927841,35,6,35,6,9514802822229178094678484206732287164739801108717414586406047855444773813391,13041734568413523190631901936795191392263151045702884771474552215205430352231,112,133,1,0,3,3,7,6,12,9,10,11,15,17,24,12,14,25,3,1,13,43,40,22,28,28,55
68,68->69,77376225707059865979,67,33,595786256377587918698,,25792075235686621993,29080440870309927841,673162482084647784677,77376225707059865979,"[0, 1, 7, 1, 5, 2, 1, 1, 2, 2, 17, 2]","[8, 1, 2, 3, 72, 7, 5, 5, 1, 1, 2, 1]",0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,25792075235686621993,31,11,31,11,79718933983842758596165521808506527956798080840180136860199155059851578955531,7827887151477940889616224268602100896687746755796796536960742322782888187440,125,127,1,0,4,1,8,3,12,1,11,21,17,32,35,6,39,35,45,49,47,30,34,71,61,67,89
69,69->70,673162482084647784677,70,37,,,673162482084647784677,77376225707059865979,,,"[8, 1, 2, 3, 72, 7, 5, 5, 1, 1, 2, 1]",,0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,96166068869235397811,38,15,38,15,25955284843447572516471716857260802925007426546445168593773705466767198321852,110352754659511171179667269462394633284806005933546082565453156157763740786607,127,122,1,2,2,0,8,6,6,3,5,11,11,31,11,13,12,14,54,42,15,23,25,70,73,47,9
