# offset_in_band	d	left5	hash160_decimal	dist_l5_P160
522	730750818665451459101842416358141509827966272010	65637	656379945149260624872024028938887822321641006505	52377
523	730750818665451459101842416358141509827966272011	22931	229319044350593842008773688288886665797946872971	9671
524	730750818665451459101842416358141509827966272012	74701	747010618321039716951529297147582707785675394065	61441
525	730750818665451459101842416358141509827966272013	87769	877693175980062126326530465941066693085265168789	74509
526	730750818665451459101842416358141509827966272014	85220	852209270223495495648521608937162527787361107665	71960
527	730750818665451459101842416358141509827966272015	10550	10550140291715639870362962897194805889685990794	2710
528	730750818665451459101842416358141509827966272016	11121	1112181292982670919460869239212272241096349856577	2139
529	730750818665451459101842416358141509827966272017	11450	1145035189969288761990459367669019923737547419423	1810
530	730750818665451459101842416358141509827966272018	11613	1161342466487095913343740754644822265691984866938	1647
531	730750818665451459101842416358141509827966272019	53093	530938437613875988190440416212802682287200210719	39833
532	730750818665451459101842416358141509827966272020	62595	625959442671232303667417342526614334773998365	49335
533	730750818665451459101842416358141509827966272021	10228	1022802934372410572057943682594693063516153044690	3032
534	730750818665451459101842416358141509827966272022	48741	487413310311334653688779572168560637661783399685	35481
535	730750818665451459101842416358141509827966272023	59650	596505503100499066278901443781207694396829952755	46390
536	730750818665451459101842416358141509827966272024	11233	1123376278193792288498105142692696942662849404655	2027
537	730750818665451459101842416358141509827966272025	49146	491460581091658953424271289395468929143324728756	35886
538	730750818665451459101842416358141509827966272026	12604	1260414496252514952106201704997363785608899370660	656
539	730750818665451459101842416358141509827966272027	11115	1111595534814987862915450361035753921703300353896	2145
540	730750818665451459101842416358141509827966272028	14378	1437846309077685050273883205679462502233506353512	1118
541	730750818665451459101842416358141509827966272029	12863	128632779410075239774815521783153847287087657490	397
542	730750818665451459101842416358141509827966272030	54009	540097612708659238810744023023181421638403992946	40749
543	730750818665451459101842416358141509827966272031	95614	956146365581796377491164886150974373622940088174	82354
544	730750818665451459101842416358141509827966272032	76323	763237060364639834107545026651677571062611577152	63063
545	730750818665451459101842416358141509827966272033	73600	736005791226005080043342644850282010986570080410	60340
546	730750818665451459101842416358141509827966272034	10508	1050805964745619083894240806676797041465299409826	2752
547	730750818665451459101842416358141509827966272035	65015	650155477432089897112306636756197771222894257261	51755
548	730750818665451459101842416358141509827966272036	11673	1167335424309515684247132660661623797544637237165	1587
549	730750818665451459101842416358141509827966272037	11397	1139765169768507477633608619559984010521935243302	1863
550	730750818665451459101842416358141509827966272038	14411	1441160829525392361187024447160359650218738317737	1151
551	730750818665451459101842416358141509827966272039	52902	529026135458238098863129269671124446907692151466	39642
552	730750818665451459101842416358141509827966272040	91804	91804055790366035865383812105450932936623625009	78544
553	730750818665451459101842416358141509827966272041	74042	740424122252577969168282637207351916937816778580	60782
554	730750818665451459101842416358141509827966272042	11556	1155646284866818354313160612374966793716916693130	1704
555	730750818665451459101842416358141509827966272043	41042	410429589005668049082071708360324097784192641927	27782
556	730750818665451459101842416358141509827966272044	32024	320241645728044276985207166399346081348642833808	18764
557	730750818665451459101842416358141509827966272045	38624	386246272937531843455030995321138448485469587781	25364
558	730750818665451459101842416358141509827966272046	14886	148868684514470457734355597020424642832231071767	1626
559	730750818665451459101842416358141509827966272047	42738	42738415927092535351784039461131410303575761220	29478
560	730750818665451459101842416358141509827966272048	10510	1051086102831894791875807752870409597001979919968	2750
561	730750818665451459101842416358141509827966272049	46907	469075907443966357938963234988272992917486805879	33647
562	730750818665451459101842416358141509827966272050	48054	480548015242398166217814836311189745221151283115	34794
563	730750818665451459101842416358141509827966272051	88441	884416632253996081836594601531816059720561293679	75181
564	730750818665451459101842416358141509827966272052	76259	762593730806662281255416056700941401272064351772	62999
565	730750818665451459101842416358141509827966272053	69375	69375165811057706490869185382613656573281390460	56115
566	730750818665451459101842416358141509827966272054	11855	1185573730437416860557277068461287656860713726656	1405
567	730750818665451459101842416358141509827966272055	13448	1344824121649190825203950645263584404168415716352	188
568	730750818665451459101842416358141509827966272056	14271	1427155960889339192835033940793810138571193669848	1011
569	730750818665451459101842416358141509827966272057	32848	328485908059610526606790577501266129645568350999	19588
570	730750818665451459101842416358141509827966272058	11607	1160725431363490970520160953415984981002850131643	1653
571	730750818665451459101842416358141509827966272059	32907	32907804449085801479141547971492968478298475382	19647
572	730750818665451459101842416358141509827966272060	86671	866711265187094345361339024855915809235556579845	73411
573	730750818665451459101842416358141509827966272061	10052	1005290887414394157053961073140762429597271648233	3208
574	730750818665451459101842416358141509827966272062	94588	945880976910013960031021629770497282662175894743	81328
575	730750818665451459101842416358141509827966272063	13027	1302719404143117411333027127765398247096681793450	233
576	730750818665451459101842416358141509827966272064	85386	853865234043321602741476438027830767918043985676	72126
577	730750818665451459101842416358141509827966272065	10800	1080078209922417738910879275913200818026830049970	2460
578	730750818665451459101842416358141509827966272066	14383	143837161593851073161357714520919593035025006160	1123
579	730750818665451459101842416358141509827966272067	11082	1108296274490699393530274182958571136331816129757	2178
580	730750818665451459101842416358141509827966272068	10587	1058774063468328938344487538972260785144500561035	2673
581	730750818665451459101842416358141509827966272069	12932	1293270342224775665419380316712022842626715896756	328
582	730750818665451459101842416358141509827966272070	35770	357705014108817640156694476631896199612950368252	22510
583	730750818665451459101842416358141509827966272071	43307	433076308227735365967482256416002173287443854763	30047
584	730750818665451459101842416358141509827966272072	24535	245355350443925556751663526272509216129500094215	11275
585	730750818665451459101842416358141509827966272073	17154	171546057299545854174446190421491652349731534726	3894
586	730750818665451459101842416358141509827966272074	71460	714604502906030511394597420473935640695946356482	58200
587	730750818665451459101842416358141509827966272075	67433	674333980915429524075955448071220666566842643510	54173
588	730750818665451459101842416358141509827966272076	92960	929605131080944756861466760507584947265081716258	79700
589	730750818665451459101842416358141509827966272077	91093	910935319400706549509331392234535112267611556888	77833
590	730750818665451459101842416358141509827966272078	12998	1299811291614927795008598001853664925224697160520	262
591	730750818665451459101842416358141509827966272079	12978	1297890760060862258282200556278165750344768581816	282
592	730750818665451459101842416358141509827966272080	37125	3712535932368063088142572570711281676700226453	23865
593	730750818665451459101842416358141509827966272081	78167	781672060333510115406617211917984784887718390754	64907
594	730750818665451459101842416358141509827966272082	53320	533206272483119848716295450655235934496202318800	40060
595	730750818665451459101842416358141509827966272083	81893	818934143016088401094372822196851043298262511064	68633
596	730750818665451459101842416358141509827966272084	79334	793346257482311919138109863014994905863939060113	66074
597	730750818665451459101842416358141509827966272085	11153	1115335087762330733304920687030512965221009288564	2107
598	730750818665451459101842416358141509827966272086	10231	1023125066539563486850880431652608269461340748891	3029
599	730750818665451459101842416358141509827966272087	38762	387621810353423283668679718791516211877886005762	25502
600	730750818665451459101842416358141509827966272088	61308	613089123569996417851910351033771117095588130198	48048
601	730750818665451459101842416358141509827966272089	88465	884654247399435994408837595708753488176740533980	75205
602	730750818665451459101842416358141509827966272090	94529	945296464750672620310133167892258822199292926814	81269
603	730750818665451459101842416358141509827966272091	26414	26414145668250984402085483390873137398971105741	13154
604	730750818665451459101842416358141509827966272092	55361	553612730289523768510986444398664604403404470415	42101
605	730750818665451459101842416358141509827966272093	40136	401365608296366038281493548771824969858608095449	26876
606	730750818665451459101842416358141509827966272094	53126	531265574893155764270742036353896250271450110088	39866
607	730750818665451459101842416358141509827966272095	64174	641748307338687179823027879826951183563336257196	50914
608	730750818665451459101842416358141509827966272096	36667	366673119153971999755057092773445567147540631794	23407
609	730750818665451459101842416358141509827966272097	49758	497583707011189247277936803314463451126595273666	36498
610	730750818665451459101842416358141509827966272098	60787	607877341549499519576597511879806581946421138800	47527
611	730750818665451459101842416358141509827966272099	98874	988744662279650336577700093008300278401623053617	85614
612	730750818665451459101842416358141509827966272100	12333	1233340726369489113803016991553644614764855033104	927
613	730750818665451459101842416358141509827966272101	56887	568879981344125532277073070800895450718858520813	43627
614	730750818665451459101842416358141509827966272102	10125	101254558120426251560673213873681050828329432910	3135
615	730750818665451459101842416358141509827966272103	12706	12706928317496848624212679658529909625510881867	554
616	730750818665451459101842416358141509827966272104	72194	721943036039026563639111093964043307170741944029	58934
617	730750818665451459101842416358141509827966272105	12741	1274169324818540025082595452074902887403549031886	519
618	730750818665451459101842416358141509827966272106	27388	273880558018565795036987191157585825310658898721	14128
619	730750818665451459101842416358141509827966272107	66858	668582209648471890536475333417163337443013306507	53598
620	730750818665451459101842416358141509827966272108	97676	976766290486842462182477787043672557363969366309	84416
621	730750818665451459101842416358141509827966272109	13677	1367709092945318393586373647179295007096522877774	417
622	730750818665451459101842416358141509827966272110	43311	433111897160253231215971920348682604795304022026	30051
623	730750818665451459101842416358141509827966272111	22387	223874263758339121556400929827913228856477925507	9127
624	730750818665451459101842416358141509827966272112	70741	707415013037209015787350954958585512400111315184	57481
625	730750818665451459101842416358141509827966272113	13255	1325558312330702119099379506349982208635455639418	5
626	730750818665451459101842416358141509827966272114	51015	51015184685939521059650857393075054314212935682	37755
627	730750818665451459101842416358141509827966272115	99679	996796678283806308752769582683126586667643506017	86419
628	730750818665451459101842416358141509827966272116	13022	1302212192601121447426908398606407388198433838239	238
629	730750818665451459101842416358141509827966272117	69032	690324806934960563581443055661547805265176776360	55772
630	730750818665451459101842416358141509827966272118	45206	45206478719296969625010632768900170513878985749	31946
631	730750818665451459101842416358141509827966272119	10657	1065739796332839747736844929870520959380551191716	2603
632	730750818665451459101842416358141509827966272120	10889	1088974929952378709420570074526259587311603816788	2371
633	730750818665451459101842416358141509827966272121	42546	425464554564470198198032868479544621554479316528	29286
634	730750818665451459101842416358141509827966272122	97117	971178729204864522749645242594787576233268752808	83857
635	730750818665451459101842416358141509827966272123	47735	477353658297435344300586444244224257600411875132	34475
636	730750818665451459101842416358141509827966272124	13545	1354561718406474699913394885551720535507809959794	285
637	730750818665451459101842416358141509827966272125	70792	70792761650791719882608128895845029293013198716	57532
638	730750818665451459101842416358141509827966272126	28086	28086559978863013630881342112409576970716258972	14826
639	730750818665451459101842416358141509827966272127	62182	62182523617642523426198342625105521932925138881	48922
640	730750818665451459101842416358141509827966272128	18318	183182446921131127572743104275743587037915752087	5058
641	730750818665451459101842416358141509827966272129	15449	154490879123483016944741593672460171449528875742	2189
642	730750818665451459101842416358141509827966272130	91972	919723447550953848879019633186860097565273659917	78712
643	730750818665451459101842416358141509827966272131	96464	964649469704781725790938096829070059281917163974	83204
644	730750818665451459101842416358141509827966272132	88096	880964356683088321985232048730008438443997274712	74836
645	730750818665451459101842416358141509827966272133	10447	1044772215750162441906119089372244732447189347993	2813
646	730750818665451459101842416358141509827966272134	53790	537902071281472823217220485401783072292773499775	40530
647	730750818665451459101842416358141509827966272135	97452	974524985943635365510213781433919503965179694761	84192
648	730750818665451459101842416358141509827966272136	35718	357180497514531680468849338107734327606027479283	22458
649	730750818665451459101842416358141509827966272137	11503	1150378589017828565739224949771050422145317074991	1757
650	730750818665451459101842416358141509827966272138	11809	11809269828881766607773621863175221355436399756	1451
651	730750818665451459101842416358141509827966272139	13395	1339507672972395806822357836545553076448978512257	135
652	730750818665451459101842416358141509827966272140	70267	702671639391677720216350976246483995128061720508	57007
653	730750818665451459101842416358141509827966272141	26844	268446591038714815336956408295251130893529349340	13584
654	730750818665451459101842416358141509827966272142	77959	779598240906948773051208572423746188546036183182	64699
655	730750818665451459101842416358141509827966272143	88337	883372777750077484710802604039894055844887929164	75077
656	730750818665451459101842416358141509827966272144	12607	1260764685545209434503834014050651247379229563049	653
657	730750818665451459101842416358141509827966272145	47814	478143178902584960011239915251518571804752443392	34554
658	730750818665451459101842416358141509827966272146	14323	1432305334529247994198155384992223629399989281327	1063
659	730750818665451459101842416358141509827966272147	82191	821915820312644671859311136395809854749585319102	68931
660	730750818665451459101842416358141509827966272148	11246	1124645499036078715690196947874171660814213865945	2014
661	730750818665451459101842416358141509827966272149	24907	249075874581049221045835623039622418414495483438	11647
662	730750818665451459101842416358141509827966272150	11115	1111571315480416256829149064003277718825746955053	2145
663	730750818665451459101842416358141509827966272151	86553	865531536026538698762985864506913542968606879596	73293
664	730750818665451459101842416358141509827966272152	75292	752926918787992046688291577088278997109606128336	62032
665	730750818665451459101842416358141509827966272153	14875	148755005480621592886004050203915872133601015437	1615
666	730750818665451459101842416358141509827966272154	96522	965229513386063398276819640968141942010914265483	83262
667	730750818665451459101842416358141509827966272155	63057	630570089412544766205970806530190694977928991050	49797
668	730750818665451459101842416358141509827966272156	11439	1143972047549911926369239200805103883926494281023	1821
669	730750818665451459101842416358141509827966272157	73143	731432749465162496877337455005786758030470929752	59883
670	730750818665451459101842416358141509827966272158	96861	968614710227712030086555300857404323356929837815	83601
671	730750818665451459101842416358141509827966272159	13946	1394642210518587245571404174378196803490215347521	686
672	730750818665451459101842416358141509827966272160	92388	923884539223297834917003631597667871717441792461	79128
673	730750818665451459101842416358141509827966272161	49276	492764119669494530922910427356785229542384817129	36016
674	730750818665451459101842416358141509827966272162	14189	1418996778147538639660336608910914088274839636185	929
675	730750818665451459101842416358141509827966272163	13211	1321196567508829691974212140370655311376123993278	49
676	730750818665451459101842416358141509827966272164	11039	1103980866311135555606310234193595581190449966339	2221
677	730750818665451459101842416358141509827966272165	22114	221142297380084741595877855666870670569539457085	8854
678	730750818665451459101842416358141509827966272166	49092	490923345330595656966593869130742350697077129971	35832
679	730750818665451459101842416358141509827966272167	91946	919468609773234544330578148922187065431586105890	78686
680	730750818665451459101842416358141509827966272168	97392	973924087970062069837523751529339623225655673210	84132
681	730750818665451459101842416358141509827966272169	12166	1216692906865667017855479916182625638184141261242	1094
682	730750818665451459101842416358141509827966272170	30874	308747094959696659591114466185321676423384684515	17614
683	730750818665451459101842416358141509827966272171	14252	1425202442052777085358179166794433374560645512453	992
684	730750818665451459101842416358141509827966272172	11525	1152502235879960313037856705217775381960560123925	1735
685	730750818665451459101842416358141509827966272173	10364	103649439072223032593292241407011552855381796636	2896
686	730750818665451459101842416358141509827966272174	21681	21681699616444655364968224191601633202794496125	8421
687	730750818665451459101842416358141509827966272175	11118	111185687588754472697430492609727374620051655682	2142
688	730750818665451459101842416358141509827966272176	12775	1277518249774551613613862812734999914044611520552	485
689	730750818665451459101842416358141509827966272177	67044	670444313995671017819370668195611384752910125067	53784
690	730750818665451459101842416358141509827966272178	86256	862568379061480783888866748892750397554277724582	72996
691	730750818665451459101842416358141509827966272179	99081	990817521779256888171271269541991048738853953268	85821
692	730750818665451459101842416358141509827966272180	89088	890884622021903273607837724929082090299984246557	75828
693	730750818665451459101842416358141509827966272181	18511	185111448975115597906591020936706383682101730306	5251
694	730750818665451459101842416358141509827966272182	12951	1295189794427795579643975405306566702043478739951	309
695	730750818665451459101842416358141509827966272183	10810	108107434868994294715420803652976237324277888215	2450
696	730750818665451459101842416358141509827966272184	79093	790930534301443623217587268383491085891994415615	65833
697	730750818665451459101842416358141509827966272185	29165	291651738886660774032201891104195578962021179157	15905
698	730750818665451459101842416358141509827966272186	34859	348592717041218047258531369531644165982475574985	21599
699	730750818665451459101842416358141509827966272187	37414	374147827067112026307968964766298499775901426164	24154
700	730750818665451459101842416358141509827966272188	96473	964734518745446940568004300664939464337655527603	83213
701	730750818665451459101842416358141509827966272189	22703	227034793316800473444784240061840625683991262657	9443
702	730750818665451459101842416358141509827966272190	57373	573734150198323168496600334695726222297569912262	44113
703	730750818665451459101842416358141509827966272191	11693	1169319181046990754255212570707807461307040635680	1567
704	730750818665451459101842416358141509827966272192	42699	42699315160277702460895990479831624289984737347	29439
705	730750818665451459101842416358141509827966272193	39239	392393644025935965106286024006646359216571114165	25979
706	730750818665451459101842416358141509827966272194	28246	282466772936070608308970114090290124027693539504	14986
707	730750818665451459101842416358141509827966272195	66238	66238721986370378928489884167416001080901340231	52978
708	730750818665451459101842416358141509827966272196	62204	62204602526988063454954506230474563366354765945	48944
709	730750818665451459101842416358141509827966272197	10718	1071840140260900971840540400330435378469313337335	2542
710	730750818665451459101842416358141509827966272198	11788	1178853705199661506259887390663639841159327766963	1472
711	730750818665451459101842416358141509827966272199	18893	188932900023584031110432088616075036025079471343	5633
712	730750818665451459101842416358141509827966272200	63519	635192682361767026369503765861414862747152997421	50259
713	730750818665451459101842416358141509827966272201	10120	1012093910395693405345452679453120340087087980191	3140
714	730750818665451459101842416358141509827966272202	10988	1098866987816298271345522213379365655231793362199	2272
715	730750818665451459101842416358141509827966272203	35063	350634662864219363081878423402984324455113788666	21803
716	730750818665451459101842416358141509827966272204	10926	1092649560283225076148494132812511141443749337600	2334
717	730750818665451459101842416358141509827966272205	40373	403738454761850292554834031105606719532807324682	27113
718	730750818665451459101842416358141509827966272206	12436	124364546391172859272620658178444425594002406721	824
719	730750818665451459101842416358141509827966272207	14401	1440139459951591421724016282984978629464802667594	1141
720	730750818665451459101842416358141509827966272208	45537	45537553468947186133333934303701919238509242278	32277
721	730750818665451459101842416358141509827966272209	89906	899060690941254786063719022968531756376634762811	76646
722	730750818665451459101842416358141509827966272210	39574	395743463412527934463039712341270298856621408074	26314
723	730750818665451459101842416358141509827966272211	58790	587909821100604713590072757115142597040876215554	45530
724	730750818665451459101842416358141509827966272212	14358	1435804408140153570274293604035590734892304941141	1098
725	730750818665451459101842416358141509827966272213	86686	866868262663757717480122421281365671460141169643	73426
726	730750818665451459101842416358141509827966272214	44786	447863675573302275123844019766348788308110194397	31526
727	730750818665451459101842416358141509827966272215	58214	582147065030427176380275243037170797643873972690	44954
728	730750818665451459101842416358141509827966272216	13419	1341991716908076329151354744056610387710207154504	159
729	730750818665451459101842416358141509827966272217	74298	742980823710653967515650681016467760851110536804	61038
730	730750818665451459101842416358141509827966272218	91274	912749864167875385296838844407860428715672172061	78014
731	730750818665451459101842416358141509827966272219	43625	436253501376674778387040348302418091907419625650	30365
732	730750818665451459101842416358141509827966272220	16595	165951656175163214204407414692574954179326852472	3335
733	730750818665451459101842416358141509827966272221	14559	14559536250303079053773837195175751277791274255	1299
734	730750818665451459101842416358141509827966272222	45391	453917641020262299179558297564132471942177218493	32131
735	730750818665451459101842416358141509827966272223	17476	174761344276581352752344086801578331736511352400	4216
736	730750818665451459101842416358141509827966272224	33248	332488566483366886929370340684573891734335266539	19988
737	730750818665451459101842416358141509827966272225	12496	1249681858636256954860698315351642562087335740832	764
738	730750818665451459101842416358141509827966272226	11609	1160955042188405179982268349152235065681939867064	1651
739	730750818665451459101842416358141509827966272227	14230	1423064106341535508647013516452233697532375189906	970
740	730750818665451459101842416358141509827966272228	10645	1064581412478671339242088954634111911864926389461	2615
741	730750818665451459101842416358141509827966272229	80089	800893025875497315884681968909915634485345006707	66829
742	730750818665451459101842416358141509827966272230	13481	1348153638857579966417061987987141694979077161872	221
743	730750818665451459101842416358141509827966272231	85997	859979701318850722411762155803820790523055586084	72737
744	730750818665451459101842416358141509827966272232	33065	330650440429392795956810814692382903964927822934	19805
745	730750818665451459101842416358141509827966272233	29778	297789157677549114876967483947675666296929792418	16518
746	730750818665451459101842416358141509827966272234	85191	851918307318835100934376268023115282767366372648	71931
747	730750818665451459101842416358141509827966272235	17650	176500331533105913822491139752365600829575556621	4390
748	730750818665451459101842416358141509827966272236	45691	456919445286402513082560791771516771563495859671	32431
749	730750818665451459101842416358141509827966272237	52089	520893706286150013997180415940582355572177348423	38829
750	730750818665451459101842416358141509827966272238	47823	478232905559677320301554571314329210853710610919	34563
751	730750818665451459101842416358141509827966272239	62241	622419816259402851311574048300526668351351192621	48981
752	730750818665451459101842416358141509827966272240	12808	1280827051928486793826561357391986377511899216947	452
753	730750818665451459101842416358141509827966272241	97239	972397885661415599327598087730520305928680278820	83979
754	730750818665451459101842416358141509827966272242	82730	827301579456765751868245549127422725083070928522	69470
755	730750818665451459101842416358141509827966272243	10712	1071247370404754796526137583921075862148308975846	2548
756	730750818665451459101842416358141509827966272244	68638	686388142493941489858444953084565446449593208731	55378
757	730750818665451459101842416358141509827966272245	10671	1067141692402328619271236043283112154863244987543	2589
758	730750818665451459101842416358141509827966272246	11043	1104385840852983743776561283297370609968534176827	2217
759	730750818665451459101842416358141509827966272247	69957	699571519741452725762762305259385612629201473974	56697
760	730750818665451459101842416358141509827966272248	71745	71745494947309887497965248066010123305676648652	58485
761	730750818665451459101842416358141509827966272249	12517	1251759524717116181053497361505922115137915538867	743
762	730750818665451459101842416358141509827966272250	13113	1311300522951798519245303438243556786630287279991	147
763	730750818665451459101842416358141509827966272251	11252	1125292001107130780338143433702937123499609797462	2008
764	730750818665451459101842416358141509827966272252	40389	403899826983212076923650467543735785814394516373	27129
765	730750818665451459101842416358141509827966272253	13833	1383384180552575472807053328682852187863269377956	573
766	730750818665451459101842416358141509827966272254	46060	460600396872995442515330540669239069088593538649	32800
767	730750818665451459101842416358141509827966272255	15568	155684225192467801995973040021502468058867126310	2308
768	730750818665451459101842416358141509827966272256	81635	816356490222548923903890778171154983388926112140	68375
769	730750818665451459101842416358141509827966272257	98872	988729332741277284734899997511261725072115938051	85612
770	730750818665451459101842416358141509827966272258	12996	1299669967717333011651749722564151837990983680574	264
771	730750818665451459101842416358141509827966272259	96551	965510182786673736496839942840515380460055666811	83291
772	730750818665451459101842416358141509827966272260	11608	1160880896369527054142403592106851017378081579925	1652
773	730750818665451459101842416358141509827966272261	13060	1306043087319465647743244501391946203082158786733	200
774	730750818665451459101842416358141509827966272262	31067	310677321917506768937210168733500857953284770112	17807
775	730750818665451459101842416358141509827966272263	42170	421702494429629980872187685700012449728030614087	28910
776	730750818665451459101842416358141509827966272264	92378	923788919094408859894545969980879491934818286154	79118
777	730750818665451459101842416358141509827966272265	91419	914190148537118676976970494889256156558163577056	78159
778	730750818665451459101842416358141509827966272266	75403	754039219577916169026651178645748421680176321082	62143
779	730750818665451459101842416358141509827966272267	52901	529014486691799141576712918396624875668117438640	39641
780	730750818665451459101842416358141509827966272268	12991	1299194981147803803530304895075158383539927327568	269
781	730750818665451459101842416358141509827966272269	12596	1259661971322498267960808080880227804422563256010	664
782	730750818665451459101842416358141509827966272270	61844	618448473063561127746627506621978672085489740266	48584
783	730750818665451459101842416358141509827966272271	95423	954239978981033675000268682822627354294596251186	82163
784	730750818665451459101842416358141509827966272272	58738	58738717871724900051198689476041506786467774655	45478
785	730750818665451459101842416358141509827966272273	69466	694667262997374012852288356841674234656486282903	56206
786	730750818665451459101842416358141509827966272274	27161	271617306079019536262875131923830828952422084587	13901
787	730750818665451459101842416358141509827966272275	10644	1064445785518553650615982772369995986151016234871	2616
788	730750818665451459101842416358141509827966272276	10050	1005066282247913568945081258777051254929100179061	3210
789	730750818665451459101842416358141509827966272277	11202	1120293796170675947667106078053344604124768578742	2058
790	730750818665451459101842416358141509827966272278	81353	813535539633810618243429286382464017764035691671	68093
791	730750818665451459101842416358141509827966272279	12921	1292141757165138175055786619779998722746120545154	339
792	730750818665451459101842416358141509827966272280	66500	665003955840201554916941251056437401985598263290	53240
793	730750818665451459101842416358141509827966272281	43350	433508283892948311260187693376429403439584404229	30090
794	730750818665451459101842416358141509827966272282	13586	1358631912488893818505485651219181401339436383333	326
795	730750818665451459101842416358141509827966272283	99539	995399725366391432654461460159694618669913466858	86279
796	730750818665451459101842416358141509827966272284	25670	256702256087529214358486705714241161287308917035	12410
797	730750818665451459101842416358141509827966272285	85182	851829940209880122311357336862905628310841418990	71922
798	730750818665451459101842416358141509827966272286	18346	183469011791155379912906961210975041258383060443	5086
799	730750818665451459101842416358141509827966272287	12411	1241166694756046702292707298918441013786027880758	849
800	730750818665451459101842416358141509827966272288	41727	417278835862052370031394279570715658414460593643	28467
801	730750818665451459101842416358141509827966272289	92006	920068732157742476932457033892841317830508222325	78746
802	730750818665451459101842416358141509827966272290	53679	536797314104320111805736938905197473107295602609	40419
803	730750818665451459101842416358141509827966272291	18401	184019889595327728701500954123266620490311883631	5141
804	730750818665451459101842416358141509827966272292	10189	1018968260094404725950710863816849939390136018275	3071
805	730750818665451459101842416358141509827966272293	94946	949469234951356408940130663810674428603150456026	81686
806	730750818665451459101842416358141509827966272294	20380	203804522657072951524706540620783183480101084090	7120
807	730750818665451459101842416358141509827966272295	62619	626190770529557932627885243468991166525380041550	49359
808	730750818665451459101842416358141509827966272296	43883	438832626449367960782035259226237597054051058661	30623
809	730750818665451459101842416358141509827966272297	70994	709940854600693120930347990617455472418824594172	57734
810	730750818665451459101842416358141509827966272298	17977	179778449447309173583629101720678423435168975106	4717
811	730750818665451459101842416358141509827966272299	14370	143709195297586325303122447799585501065591931313	1110
812	730750818665451459101842416358141509827966272300	12692	1269291636879411136630851136291213819693419271461	568
813	730750818665451459101842416358141509827966272301	27927	279271077874545511571004519875286910481630117859	14667
814	730750818665451459101842416358141509827966272302	12279	1227995276997358260865113327728787059747629014974	981
815	730750818665451459101842416358141509827966272303	49984	499845881768058400836748640726857469835706695637	36724
816	730750818665451459101842416358141509827966272304	50717	507174557829745130402214712004366487915371168136	37457
817	730750818665451459101842416358141509827966272305	79561	79561769792280440625111650311786577011786157017	66301
818	730750818665451459101842416358141509827966272306	62502	625024966645882583461788906306251742649245575393	49242
819	730750818665451459101842416358141509827966272307	58071	580717145394356887059732343535238365924708558493	44811
820	730750818665451459101842416358141509827966272308	38159	381590735005343737990467077068149514910955426732	24899
821	730750818665451459101842416358141509827966272309	12348	1234897753068399982965762227383940385012619902221	912
822	730750818665451459101842416358141509827966272310	87139	871392475966221201903680494351087938979358368766	73879
823	730750818665451459101842416358141509827966272311	14374	1437459737165508419962787957518623468439894916278	1114
824	730750818665451459101842416358141509827966272312	77932	779323122556393621791971073850723339403382094989	64672
825	730750818665451459101842416358141509827966272313	58552	585528938604876069833568446626640921714273523823	45292
826	730750818665451459101842416358141509827966272314	11060	1106084170300197254455707324928996551511675516862	2200
827	730750818665451459101842416358141509827966272315	10001	1000148675747313686096887691160964988022025959526	3259
828	730750818665451459101842416358141509827966272316	11392	1139253302121736520271819023851109993239427333311	1868
829	730750818665451459101842416358141509827966272317	12748	127482730561834212659277833681554475685760727012	512
830	730750818665451459101842416358141509827966272318	12338	1233848884561191003341076029995895193798148996363	922
831	730750818665451459101842416358141509827966272319	10855	1085512494747182648852309629000701869561491488777	2405
832	730750818665451459101842416358141509827966272320	22113	221135242976987053238337779879238175906650982298	8853
833	730750818665451459101842416358141509827966272321	35675	356759807032499000876053547977166117662784742210	22415
834	730750818665451459101842416358141509827966272322	76772	767720612071775458236365305138530842290970522189	63512
835	730750818665451459101842416358141509827966272323	85502	85502826467734942621295770156980364825599400685	72242
836	730750818665451459101842416358141509827966272324	36251	362516447857534853304816005644367846995131883399	22991
837	730750818665451459101842416358141509827966272325	44871	448712854160309449484036457968638809856388483601	31611
838	730750818665451459101842416358141509827966272326	12899	1289961480227135820154643387480107886022851218173	361
839	730750818665451459101842416358141509827966272327	96531	965313120287488798855707538410686996017487399837	83271
840	730750818665451459101842416358141509827966272328	10664	1066483269194982555366026599294341929780745610804	2596
841	730750818665451459101842416358141509827966272329	76541	765419388446231475103434764967901097099645755482	63281
842	730750818665451459101842416358141509827966272330	10099	1009991197299732542754646596813745856937792067006	3161
843	730750818665451459101842416358141509827966272331	66924	669244002180643902912617024658610722123746898018	53664
844	730750818665451459101842416358141509827966272332	11695	116956121602164276206918510730677987844325918948	1565
845	730750818665451459101842416358141509827966272333	10410	1041093552439199964982963991082917087902290480626	2850
846	730750818665451459101842416358141509827966272334	10435	1043517431373903814963013809500758730520182116009	2825
847	730750818665451459101842416358141509827966272335	10455	1045572999722273611040819218880544289527136874575	2805
848	730750818665451459101842416358141509827966272336	11616	1161669928797667301267959903274840238157504692526	1644
849	730750818665451459101842416358141509827966272337	16914	169144487774813689161113238763639170619554185765	3654
850	730750818665451459101842416358141509827966272338	94244	942443274315650658145714670318180679471858810220	80984
851	730750818665451459101842416358141509827966272339	14239	1423943767304716763394396338136015029971965583868	979
852	730750818665451459101842416358141509827966272340	31010	310107331887693586201060535933027393973022990980	17750
