n,solved,rsz,bridge_row,lane3,lane5,gap_h2,gap_h3,lhs_tail,rhs_tail,rx_tail,gap,lhs_n,rhs_n,r_source
114,False,True,3,0,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
115,True,True,,1,0,44,443,533,962,818,44363815212020054179926073494640340685296781445122089253230572713914879826766,111199312105449725319854845332122837890159562771579504016503820751923155850533,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
116,False,True,3,2,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
117,False,True,3,0,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
118,False,True,3,1,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
119,False,True,3,2,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
120,True,True,,0,0,10,103,486,962,490,103874383030907705386817801467757544164423665915007264611933670405009879003813,51688744286562074112963117359005634411032678301694328657800723060828156673486,39771038080153584076209933818075270722618779937626688887129230324319874182962,hashkeys RSZ r -> R (puzzle 120 spend tx)
121,False,True,3,1,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
122,False,True,3,2,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
123,False,True,3,0,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
124,False,True,3,1,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
125,True,True,,2,0,10,102,075,962,500,102844384317570667990545149456654384008396498474625068769866719910445428836224,52718742999899111509235769370108794567059845742076524499867673555392606841075,39771038080153584076209933818075270722618779937626688887129230324319874182962,hashkeys RSZ r -> R (puzzle 125 spend tx)
126,False,True,3,0,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
127,False,True,3,1,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
128,False,True,3,2,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
129,False,True,3,0,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
130,True,True,,1,0,78,781,927,962,032,78134576962290863140403352528024300543871826376844897918851037879895756369372,77428550355178916359377566298738878031584517839856695350883355585942279307927,39771038080153584076209933818075270722618779937626688887129230324319874182962,hashkeys RSZ r -> R (puzzle 130 spend tx)
131,False,True,3,2,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
132,False,True,3,0,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
133,False,True,3,1,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
134,False,True,3,2,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
135,False,True,,0,0,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,hashkeys RSZ r -> R (puzzle 135 spend tx)
136,False,True,3,1,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
137,False,True,3,2,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
138,False,True,3,0,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
139,False,True,3,1,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
140,False,True,,2,0,11,110,943,962,000,110422378895895283179894875488562373332485148507350326981329888795583999754356,45140748421574496319886043338200805242971195709351266288404504670254035922943,39771038080153584076209933818075270722618779937626688887129230324319874182962,hashkeys RSZ r -> R (puzzle 140 spend tx)
141,False,True,3,0,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
142,False,True,3,1,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
143,False,True,3,2,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
144,False,True,3,0,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
145,False,True,,1,0,62,629,794,962,203,62932768787281628972628745568830728892208208098506900009731417053285967942505,92630358530188150527152173257932449683248136118194693260002976412552067734794,39771038080153584076209933818075270722618779937626688887129230324319874182962,hashkeys RSZ r -> R (puzzle 145 spend tx)
146,False,True,3,2,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
147,False,True,3,0,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
148,False,True,3,1,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
149,False,True,3,2,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
150,False,True,,0,0,10,105,264,962,479,105562128730101025942892100192556547235913062283060588696255851287008456985035,50000998587368753556888818634206631339543281933641004573478542178829578692264,39771038080153584076209933818075270722618779937626688887129230324319874182962,hashkeys RSZ r -> R (puzzle 150 spend tx)
151,False,True,3,1,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
152,False,True,3,2,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
153,False,True,3,0,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
154,False,True,3,1,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
155,False,True,,2,0,69,690,055,962,452,69010687481468349876755982495777973021505128825435117830947316715278406222244,86552439836001429623024936330985205553951215391266475438787076750559629455055,39771038080153584076209933818075270722618779937626688887129230324319874182962,hashkeys RSZ r -> R (puzzle 155 spend tx)
156,False,True,3,0,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
157,False,True,3,1,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
158,False,True,3,2,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
159,False,True,3,0,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
160,False,True,,1,0,73,733,898,962,020,73375934649084027166077582637164197746710776877547647010953210370842409751401,82187192668385752333703336189598980828745567339153946258781183094995625925898,39771038080153584076209933818075270722618779937626688887129230324319874182962,hashkeys RSZ r -> R (puzzle 160 spend tx)
