split,puzzle_a,puzzle_b,d_a,d_b,d_c,x_match,y_match,x_rate,y_rate,overflow_x,overflow_y
train,34,68,14133072157,219898266213316039825,219898266227449111982,9,8,0.1154,0.1026,0,0
train,38,39,146971536592,323724968937,470696505529,9,9,0.1154,0.1154,0,0
train,17,70,95823,970436974005023690481,970436974005023786304,10,7,0.1282,0.0897,0,0
train,34,69,14133072157,297274491920375905804,297274491934508977961,6,6,0.0769,0.0769,0,0
train,41,41,1458252205147,1458252205147,2916504410294,7,9,0.0897,0.1154,0,0
train,4,49,8,409118905032525,409118905032533,10,13,0.1282,0.1667,0,0
train,19,50,357535,611140496167764,611140496525299,14,11,0.1795,0.1410,0,0
train,24,63,14428676,8993229949524469768,8993229949538898444,10,4,0.1282,0.0513,0,0
train,11,85,1155,21090315766411506144426920,21090315766411506144428075,13,11,0.1667,0.1410,0,0
train,13,31,5216,2102388551,2102393767,5,7,0.0641,0.0897,0,0
train,55,90,30045390491869460,868012190417726402719548863,868012190447771793211418323,6,4,0.0769,0.0513,0,0
train,90,130,868012190417726402719548863,1103873984953507439627945351144005829577,1103873984954375451818363077546725378440,11,9,0.1410,0.1154,0,0
train,30,95,1033162084,25525831956644113617013748212,25525831956644113618046910296,4,4,0.0513,0.0513,0,0
train,90,110,868012190417726402719548863,1090246098153987172547740458951748,1090246966166177590274143178500611,7,8,0.0897,0.1026,0,0
train,8,95,224,25525831956644113617013748212,25525831956644113617013748436,12,9,0.1538,0.1154,0,0
train,47,55,119666659114170,30045390491869460,30165057150983630,11,6,0.1410,0.0769,0,0
train,18,54,198669,9974455244496707,9974455244695376,13,13,0.1667,0.1667,0,0
train,23,36,5598802,42387769980,42393368782,8,11,0.1026,0.1410,0,0
train,13,75,5216,22538323240989823823367,22538323240989823828583,7,9,0.0897,0.1154,0,0
train,23,46,5598802,51408670348612,51408675947414,6,4,0.0769,0.0513,0,0
train,44,120,15404761757071,919343500840980333540511050618764323,919343500840980333540526455380521394,8,6,0.1026,0.0769,0,0
train,18,65,198669,30568377312064202855,30568377312064401524,12,9,0.1538,0.1154,0,0
train,15,54,26867,9974455244496707,9974455244523574,6,9,0.0769,0.1154,0,0
train,51,105,2058769515153876,29083230144918045706788529192435,29083230144918047765558044346311,6,7,0.0769,0.0897,0,0
train,3,69,7,297274491920375905804,297274491920375905811,9,9,0.1154,0.1154,0,0
train,2,36,3,42387769980,42387769983,9,5,0.1154,0.0641,0,0
train,15,20,26867,863317,890184,8,7,0.1026,0.0897,0,0
train,3,34,7,14133072157,14133072164,13,4,0.1667,0.0513,0,0
train,32,35,3093472814,20112871792,23206344606,5,7,0.0641,0.0897,0,0
train,3,46,7,51408670348612,51408670348619,9,3,0.1154,0.0385,0,0
train,50,53,611140496167764,6763683971478124,7374824467645888,11,9,0.1410,0.1154,0,0
train,48,85,191206974700443,21090315766411506144426920,21090315766602713119127363,6,4,0.0769,0.0513,0,0
train,43,63,7409811047825,8993229949524469768,8993237359335517593,6,5,0.0769,0.0641,0,0
train,12,21,2683,1811764,1814447,9,9,0.1154,0.1154,0,0
train,19,24,357535,14428676,14786211,9,7,0.1154,0.0897,0,0
train,22,22,3007503,3007503,6015006,11,11,0.1410,0.1410,0,0
train,45,54,19996463086597,9974455244496707,9994451707583304,8,4,0.1026,0.0513,0,0
train,34,90,14133072157,868012190417726402719548863,868012190417726416852621020,9,8,0.1154,0.1026,0,0
train,14,130,10544,1103873984953507439627945351144005829577,1103873984953507439627945351144005840121,10,10,0.1282,0.1282,0,0
train,18,48,198669,191206974700443,191206974899112,9,6,0.1154,0.0769,0,0
train,56,120,44218742292676575,919343500840980333540511050618764323,919343500840980333584729792911440898,11,9,0.1410,0.1154,0,0
train,40,105,1003651412950,29083230144918045706788529192435,29083230144918045707792180605385,8,3,0.1026,0.0385,0,0
train,13,90,5216,868012190417726402719548863,868012190417726402719554079,10,10,0.1282,0.1282,0,0
train,1,100,1,868221233689326498340379183142,868221233689326498340379183143,3,7,0.0385,0.0897,0,0
train,75,85,22538323240989823823367,21090315766411506144426920,21112854089652495968250287,5,11,0.0641,0.1410,0,0
train,105,125,29083230144918045706788529192435,37650549717742544505774009877315221420,37650578800972689423819716665844413855,7,8,0.0897,0.1026,0,0
train,11,55,1155,30045390491869460,30045390491870615,11,9,0.1410,0.1154,0,0
train,28,56,227634408,44218742292676575,44218742520310983,7,7,0.0897,0.0897,0,0
train,24,56,14428676,44218742292676575,44218742307105251,12,9,0.1538,0.1154,0,0
train,21,38,1811764,146971536592,146973348356,8,9,0.1026,0.1154,0,0
train,60,120,1135041350219496382,919343500840980333540511050618764323,919343500840980334675552400838260705,8,6,0.1026,0.0769,0,0
train,19,40,357535,1003651412950,1003651770485,10,7,0.1282,0.0897,0,0
train,15,49,26867,409118905032525,409118905059392,9,9,0.1154,0.1154,0,0
train,7,41,76,1458252205147,1458252205223,6,10,0.0769,0.1282,0,0
train,1,69,1,297274491920375905804,297274491920375905805,8,3,0.1026,0.0385,0,0
train,37,41,100251560595,1458252205147,1558503765742,6,7,0.0769,0.0897,0,0
train,24,125,14428676,37650549717742544505774009877315221420,37650549717742544505774009877329650096,5,9,0.0641,0.1154,0,0
train,53,115,6763683971478124,31464123230573852164273674364426950,31464123230573852171037358335905074,8,6,0.1026,0.0769,0,0
train,7,16,76,51510,51586,9,9,0.1154,0.1154,0,0
train,36,39,42387769980,323724968937,366112738917,3,4,0.0385,0.0513,0,0
train,6,57,49,138245758910846492,138245758910846541,13,10,0.1667,0.1282,0,0
train,9,60,467,1135041350219496382,1135041350219496849,5,10,0.0641,0.1282,0,0
train,10,21,514,1811764,1812278,8,16,0.1026,0.2051,0,0
train,110,125,1090246098153987172547740458951748,37650549717742544505774009877315221420,37651639963840698492946557617774173168,8,7,0.1026,0.0897,0,0
train,4,19,8,357535,357543,8,10,0.1026,0.1282,0,0
train,13,16,5216,51510,56726,6,8,0.0769,0.1026,0,0
train,12,95,2683,25525831956644113617013748212,25525831956644113617013750895,4,5,0.0513,0.0641,0,0
train,115,120,31464123230573852164273674364426950,919343500840980333540511050618764323,950807624071554185704784724983191273,9,12,0.1154,0.1538,0,0
train,12,19,2683,357535,360218,7,7,0.0897,0.0897,0,0
train,21,85,1811764,21090315766411506144426920,21090315766411506146238684,6,7,0.0769,0.0897,0,0
train,7,53,76,6763683971478124,6763683971478200,10,10,0.1282,0.1282,0,0
train,7,46,76,51408670348612,51408670348688,11,8,0.1410,0.1026,0,0
train,24,64,14428676,17799667357578236628,17799667357592665304,7,7,0.0897,0.0897,0,0
train,10,44,514,15404761757071,15404761757585,7,6,0.0897,0.0769,0,0
train,52,80,4216495639600700,1105520030589234487939456,1105520034805730127540156,11,4,0.1410,0.0513,0,0
train,33,67,7137437912,132656943602386256302,132656943609523694214,4,8,0.0513,0.1026,0,0
train,56,64,44218742292676575,17799667357578236628,17843886099870913203,14,5,0.1795,0.0641,0,0
train,23,52,5598802,4216495639600700,4216495645199502,5,9,0.0641,0.1154,0,0
train,18,59,198669,525070384258266191,525070384258464860,9,6,0.1154,0.0769,0,0
train,35,60,20112871792,1135041350219496382,1135041370332368174,6,6,0.0769,0.0769,0,0
train,17,105,95823,29083230144918045706788529192435,29083230144918045706788529288258,5,12,0.0641,0.1538,0,0
hold,1,80,1,1105520030589234487939456,1105520030589234487939457,9,11,0.1154,0.1410,0,0
hold,29,38,400708894,146971536592,147372245486,9,8,0.1154,0.1026,0,0
hold,17,25,95823,33185509,33281332,13,9,0.1667,0.1154,0,0
hold,22,65,3007503,30568377312064202855,30568377312067210358,12,10,0.1538,0.1282,0,0
hold,47,90,119666659114170,868012190417726402719548863,868012190417846069378663033,8,15,0.1026,0.1923,0,0
hold,24,35,14428676,20112871792,20127300468,4,8,0.0513,0.1026,0,0
hold,41,65,1458252205147,30568377312064202855,30568378770316408002,4,7,0.0513,0.0897,0,0
hold,27,62,111949941,3908372542507822062,3908372542619772003,6,8,0.0769,0.1026,0,0
hold,42,54,2895374552463,9974455244496707,9977350619049170,9,7,0.1154,0.0897,0,0
hold,24,61,14428676,1425787542618654982,1425787542633083658,11,15,0.1410,0.1923,0,0
hold,2,10,3,514,517,7,7,0.0897,0.0897,0,0
hold,2,13,3,5216,5219,9,14,0.1154,0.1795,0,0
hold,14,14,10544,10544,21088,8,11,0.1026,0.1410,0,0
hold,3,95,7,25525831956644113617013748212,25525831956644113617013748219,7,11,0.0897,0.1410,0,0
hold,55,66,30045390491869460,46346217550346335726,46376262940838205186,8,9,0.1026,0.1154,0,0
hold,16,48,51510,191206974700443,191206974751953,6,8,0.0769,0.1026,0,0
hold,3,59,7,525070384258266191,525070384258266198,6,7,0.0769,0.0897,0,0
hold,29,70,400708894,970436974005023690481,970436974005424399375,5,12,0.0641,0.1538,0,0
hold,25,69,33185509,297274491920375905804,297274491920409091313,9,10,0.1154,0.1282,0,0
hold,6,75,49,22538323240989823823367,22538323240989823823416,14,15,0.1795,0.1923,0,0
hold,17,58,95823,199976667976342049,199976667976437872,7,6,0.0897,0.0769,0,0
hold,2,48,3,191206974700443,191206974700446,7,13,0.0897,0.1667,0,0
hold,7,21,76,1811764,1811840,4,10,0.0513,0.1282,0,0
hold,10,64,514,17799667357578236628,17799667357578237142,14,4,0.1795,0.0513,0,0
hold,30,38,1033162084,146971536592,148004698676,10,11,0.1282,0.1410,0,0
hold,15,51,26867,2058769515153876,2058769515180743,13,7,0.1667,0.0897,0,0
hold,19,43,357535,7409811047825,7409811405360,9,7,0.1154,0.0897,0,0
hold,27,49,111949941,409118905032525,409119016982466,11,6,0.1410,0.0769,0,0
hold,40,59,1003651412950,525070384258266191,525071387909679141,15,7,0.1923,0.0897,0,0
hold,59,69,525070384258266191,297274491920375905804,297799562304634171995,9,9,0.1154,0.1154,0,0
hold,45,67,19996463086597,132656943602386256302,132656963598849342899,8,5,0.1026,0.0641,0,0
hold,16,80,51510,1105520030589234487939456,1105520030589234487990966,5,5,0.0641,0.0641,0,0
hold,26,36,54538862,42387769980,42442308842,4,6,0.0513,0.0769,0,0
hold,23,33,5598802,7137437912,7143036714,11,4,0.1410,0.0513,0,0
hold,49,95,409118905032525,25525831956644113617013748212,25525831956644522735918780737,7,9,0.0897,0.1154,0,0
hold,28,59,227634408,525070384258266191,525070384485900599,9,6,0.1154,0.0769,0,0
hold,6,26,49,54538862,54538911,8,9,0.1026,0.1154,0,0
hold,10,61,514,1425787542618654982,1425787542618655496,14,4,0.1795,0.0513,0,0
hold,5,21,21,1811764,1811785,5,7,0.0641,0.0897,0,0
hold,25,29,33185509,400708894,433894403,5,6,0.0641,0.0769,0,0
hold,39,64,323724968937,17799667357578236628,17799667681303205565,9,10,0.1154,0.1282,0,0
hold,25,62,33185509,3908372542507822062,3908372542541007571,9,11,0.1154,0.1410,0,0
hold,20,56,863317,44218742292676575,44218742293539892,5,13,0.0641,0.1667,0,0
hold,19,32,357535,3093472814,3093830349,10,11,0.1282,0.1410,0,0
hold,22,33,3007503,7137437912,7140445415,4,10,0.0513,0.1282,0,0
hold,85,95,21090315766411506144426920,25525831956644113617013748212,25546922272410525123158175132,11,11,0.1410,0.1410,0,0
hold,53,68,6763683971478124,219898266213316039825,219905029897287517949,10,10,0.1282,0.1282,0,0
hold,15,41,26867,1458252205147,1458252232014,10,5,0.1282,0.0641,0,0
hold,7,100,76,868221233689326498340379183142,868221233689326498340379183218,8,7,0.1026,0.0897,0,0
hold,12,31,2683,2102388551,2102391234,7,7,0.0897,0.0897,0,0
hold,69,125,297274491920375905804,37650549717742544505774009877315221420,37650549717742544803048501797691127224,6,10,0.0769,0.1282,0,0
hold,63,67,8993229949524469768,132656943602386256302,141650173551910726070,6,5,0.0769,0.0641,0,0
hold,29,100,400708894,868221233689326498340379183142,868221233689326498340779892036,11,12,0.1410,0.1538,0,0
hold,26,67,54538862,132656943602386256302,132656943602440795164,6,6,0.0769,0.0769,0,0
hold,12,47,2683,119666659114170,119666659116853,14,4,0.1795,0.0513,0,0
hold,1,50,1,611140496167764,611140496167765,7,8,0.0897,0.1026,0,0
hold,6,34,49,14133072157,14133072206,11,12,0.1410,0.1538,0,0
hold,21,120,1811764,919343500840980333540511050618764323,919343500840980333540511050620576087,12,6,0.1538,0.0769,0,0
hold,55,110,30045390491869460,1090246098153987172547740458951748,1090246098153987202593130950821208,8,12,0.1026,0.1538,0,0
hold,17,18,95823,198669,294492,10,5,0.1282,0.0641,0,0
hold,33,52,7137437912,4216495639600700,4216502777038612,8,7,0.1026,0.0897,0,0
hold,25,51,33185509,2058769515153876,2058769548339385,7,10,0.0897,0.1282,0,0
hold,20,37,863317,100251560595,100252423912,14,8,0.1795,0.1026,0,0
hold,11,95,1155,25525831956644113617013748212,25525831956644113617013749367,13,3,0.1667,0.0385,0,0
hold,65,65,30568377312064202855,30568377312064202855,61136754624128405710,13,10,0.1667,0.1282,0,0
hold,41,46,1458252205147,51408670348612,52866922553759,9,8,0.1154,0.1026,0,0
hold,6,90,49,868012190417726402719548863,868012190417726402719548912,10,8,0.1282,0.1026,0,0
hold,25,130,33185509,1103873984953507439627945351144005829577,1103873984953507439627945351144039015086,7,9,0.0897,0.1154,0,0
hold,25,64,33185509,17799667357578236628,17799667357611422137,17,15,0.2179,0.1923,0,0
hold,10,46,514,51408670348612,51408670349126,10,7,0.1282,0.0897,0,0
hold,33,59,7137437912,525070384258266191,525070391395704103,9,6,0.1154,0.0769,0,0
hold,53,53,6763683971478124,6763683971478124,13527367942956248,6,7,0.0769,0.0897,0,0
hold,9,25,467,33185509,33185976,7,6,0.0897,0.0769,0,0
hold,24,36,14428676,42387769980,42402198656,5,5,0.0641,0.0641,0,0
hold,18,52,198669,4216495639600700,4216495639799369,7,6,0.0897,0.0769,0,0
hold,45,65,19996463086597,30568377312064202855,30568397308527289452,5,5,0.0641,0.0641,0,0
hold,35,58,20112871792,199976667976342049,199976688089213841,8,10,0.1026,0.1282,0,0
hold,51,69,2058769515153876,297274491920375905804,297276550689891059680,9,9,0.1154,0.1154,0,0
hold,51,75,2058769515153876,22538323240989823823367,22538325299759338977243,10,6,0.1282,0.0769,0,0
hold,10,13,514,5216,5730,7,8,0.0897,0.1026,0,0
hold,10,45,514,19996463086597,19996463087111,6,10,0.0769,0.1282,0,0
hold,45,69,19996463086597,297274491920375905804,297274511916838992401,9,5,0.1154,0.0641,0,0
hold,69,110,297274491920375905804,1090246098153987172547740458951748,1090246098154284447039660834857552,11,8,0.1410,0.1026,0,0
hold,6,14,49,10544,10593,9,3,0.1154,0.0385,0,0
hold,55,58,30045390491869460,199976667976342049,230022058468211509,9,10,0.1154,0.1282,0,0
hold,8,31,224,2102388551,2102388775,5,9,0.0641,0.1154,0,0
hold,56,110,44218742292676575,1090246098153987172547740458951748,1090246098153987216766482751628323,12,7,0.1538,0.0897,0,0
hold,66,105,46346217550346335726,29083230144918045706788529192435,29083230144964391924338875528161,4,11,0.0513,0.1410,0,0
hold,6,58,49,199976667976342049,199976667976342098,6,11,0.0769,0.1410,0,0
hold,9,59,467,525070384258266191,525070384258266658,8,10,0.1026,0.1282,0,0
hold,50,130,611140496167764,1103873984953507439627945351144005829577,1103873984953507439627945962284501997341,8,9,0.1026,0.1154,0,0
hold,11,20,1155,863317,864472,8,8,0.1026,0.1026,0,0
hold,65,80,30568377312064202855,1105520030589234487939456,1105550598966546552142311,9,4,0.1154,0.0513,0,0
hold,30,65,1033162084,30568377312064202855,30568377313097364939,8,8,0.1026,0.1026,0,0
hold,28,65,227634408,30568377312064202855,30568377312291837263,10,11,0.1282,0.1410,0,0
hold,25,54,33185509,9974455244496707,9974455277682216,10,9,0.1282,0.1154,0,0
hold,4,5,8,21,29,15,10,0.1923,0.1282,0,0
hold,12,13,2683,5216,7899,5,7,0.0641,0.0897,0,0
hold,54,61,9974455244496707,1425787542618654982,1435761997863151689,10,8,0.1282,0.1026,0,0
hold,30,125,1033162084,37650549717742544505774009877315221420,37650549717742544505774009878348383504,11,12,0.1410,0.1538,0,0
