n0,n1,d0_dec,d1_dec,Delta_signed_dec,Delta_modN_dec,P0_0_x_y,P1_0_x_y,P0_plus_DeltaG_0_x_y,verify
26,27,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054538862,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111949941,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057411079,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057411079,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035420539632094692837984746081431277047695579008914218444685265805648713712655.000000000000000000000000000000000000000000000000000000000000000000000000000000003358784347258280833624896144913156994018140069677567813380874750873563501770,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011997413897869137388527643229179287173219648582998689290732186100840539639502.000000000000000000000000000000000000000000000000000000000000000000000000000000001470943697971973524954639516409046856461552667680474329056749594236581993569,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011997413897869137388527643229179287173219648582998689290732186100840539639502.000000000000000000000000000000000000000000000000000000000000000000000000000000001470943697971973524954639516409046856461552667680474329056749594236581993569,True
27,28,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111949941,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227634408,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115684467,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115684467,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011997413897869137388527643229179287173219648582998689290732186100840539639502.000000000000000000000000000000000000000000000000000000000000000000000000000000001470943697971973524954639516409046856461552667680474329056749594236581993569,0.000000000000000000000000000000000000000000000000000000000000000000000000000000105795941560543818913296116066690952042698430189737497838953392383707833745575.000000000000000000000000000000000000000000000000000000000000000000000000000000004504033619411268082483771859364632124471726090349020722551531509720449239959,0.000000000000000000000000000000000000000000000000000000000000000000000000000000105795941560543818913296116066690952042698430189737497838953392383707833745575.000000000000000000000000000000000000000000000000000000000000000000000000000000004504033619411268082483771859364632124471726090349020722551531509720449239959,True
28,29,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227634408,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400708894,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173074486,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173074486,0.000000000000000000000000000000000000000000000000000000000000000000000000000000105795941560543818913296116066690952042698430189737497838953392383707833745575.000000000000000000000000000000000000000000000000000000000000000000000000000000004504033619411268082483771859364632124471726090349020722551531509720449239959,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049151630029556619633156338398973320854679402706053926415074712059863391894326.000000000000000000000000000000000000000000000000000000000000000000000000000000111171837080378547467348261794472043463254055018894513032574226962726028294900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049151630029556619633156338398973320854679402706053926415074712059863391894326.000000000000000000000000000000000000000000000000000000000000000000000000000000111171837080378547467348261794472043463254055018894513032574226962726028294900,True
29,30,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400708894,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001033162084,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000632453190,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000632453190,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049151630029556619633156338398973320854679402706053926415074712059863391894326.000000000000000000000000000000000000000000000000000000000000000000000000000000111171837080378547467348261794472043463254055018894513032574226962726028294900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005951051142208904686425222322481077221567316087439359378589043642169505163867.000000000000000000000000000000000000000000000000000000000000000000000000000000079964921717795829095410138525196146121807237625496125940956045028689169447181,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005951051142208904686425222322481077221567316087439359378589043642169505163867.000000000000000000000000000000000000000000000000000000000000000000000000000000079964921717795829095410138525196146121807237625496125940956045028689169447181,True
30,31,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001033162084,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002102388551,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001069226467,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001069226467,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005951051142208904686425222322481077221567316087439359378589043642169505163867.000000000000000000000000000000000000000000000000000000000000000000000000000000079964921717795829095410138525196146121807237625496125940956045028689169447181,0.000000000000000000000000000000000000000000000000000000000000000000000000000000061451719815341661281682897810187322803922811401468501217986913974289877761320.000000000000000000000000000000000000000000000000000000000000000000000000000000030947091983295757773862695542244568955870624650687256254668336429089021717649,0.000000000000000000000000000000000000000000000000000000000000000000000000000000061451719815341661281682897810187322803922811401468501217986913974289877761320.000000000000000000000000000000000000000000000000000000000000000000000000000000030947091983295757773862695542244568955870624650687256254668336429089021717649,True
31,32,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002102388551,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003093472814,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000991084263,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000991084263,0.000000000000000000000000000000000000000000000000000000000000000000000000000000061451719815341661281682897810187322803922811401468501217986913974289877761320.000000000000000000000000000000000000000000000000000000000000000000000000000000030947091983295757773862695542244568955870624650687256254668336429089021717649,0.000000000000000000000000000000000000000000000000000000000000000000000000000000004419783485594778575869456570338791525369265264676694041444820246718062386793.000000000000000000000000000000000000000000000000000000000000000000000000000000036101104813710326932550768335617430651283103709568167696655528050073806182880,0.000000000000000000000000000000000000000000000000000000000000000000000000000000004419783485594778575869456570338791525369265264676694041444820246718062386793.000000000000000000000000000000000000000000000000000000000000000000000000000000036101104813710326932550768335617430651283103709568167696655528050073806182880,True
32,33,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003093472814,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007137437912,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004043965098,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004043965098,0.000000000000000000000000000000000000000000000000000000000000000000000000000000004419783485594778575869456570338791525369265264676694041444820246718062386793.000000000000000000000000000000000000000000000000000000000000000000000000000000036101104813710326932550768335617430651283103709568167696655528050073806182880,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073878352155540948447620718403427774498001293452248256430485902449521386501497.000000000000000000000000000000000000000000000000000000000000000000000000000000001848435387922639343210666794185885301104293211960891296513791058289918232927,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073878352155540948447620718403427774498001293452248256430485902449521386501497.000000000000000000000000000000000000000000000000000000000000000000000000000000001848435387922639343210666794185885301104293211960891296513791058289918232927,True
33,34,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007137437912,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014133072157,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006995634245,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006995634245,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073878352155540948447620718403427774498001293452248256430485902449521386501497.000000000000000000000000000000000000000000000000000000000000000000000000000000001848435387922639343210666794185885301104293211960891296513791058289918232927,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027530330645108713416987374469727331790531665526622602610141848066918764259216.000000000000000000000000000000000000000000000000000000000000000000000000000000090457806451997906746295114102505195833866791735127929013755472762572742813627,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027530330645108713416987374469727331790531665526622602610141848066918764259216.000000000000000000000000000000000000000000000000000000000000000000000000000000090457806451997906746295114102505195833866791735127929013755472762572742813627,True
34,35,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014133072157,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020112871792,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005979799635,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005979799635,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027530330645108713416987374469727331790531665526622602610141848066918764259216.000000000000000000000000000000000000000000000000000000000000000000000000000000090457806451997906746295114102505195833866791735127929013755472762572742813627,0.000000000000000000000000000000000000000000000000000000000000000000000000000000111565932824107072002273648098027536630611694584547792392039443258564110295357.000000000000000000000000000000000000000000000000000000000000000000000000000000065073319313695146178520529869101114308349376191091055110226007524833442301678,0.000000000000000000000000000000000000000000000000000000000000000000000000000000111565932824107072002273648098027536630611694584547792392039443258564110295357.000000000000000000000000000000000000000000000000000000000000000000000000000000065073319313695146178520529869101114308349376191091055110226007524833442301678,True
35,36,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020112871792,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042387769980,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022274898188,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022274898188,0.000000000000000000000000000000000000000000000000000000000000000000000000000000111565932824107072002273648098027536630611694584547792392039443258564110295357.000000000000000000000000000000000000000000000000000000000000000000000000000000065073319313695146178520529869101114308349376191091055110226007524833442301678,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081372929267933625950466299134420767116313809747786657449875828371774815844854.000000000000000000000000000000000000000000000000000000000000000000000000000000049801825835509570606281703408037944345584045565504136549095842398335950992396,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081372929267933625950466299134420767116313809747786657449875828371774815844854.000000000000000000000000000000000000000000000000000000000000000000000000000000049801825835509570606281703408037944345584045565504136549095842398335950992396,True
36,37,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042387769980,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100251560595,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057863790615,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057863790615,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081372929267933625950466299134420767116313809747786657449875828371774815844854.000000000000000000000000000000000000000000000000000000000000000000000000000000049801825835509570606281703408037944345584045565504136549095842398335950992396,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056616873331361319339778585167167551785831939866134116855199265267823699497557.000000000000000000000000000000000000000000000000000000000000000000000000000000043995996907931450546017529821179402661741047506605583961822715323191270746432,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056616873331361319339778585167167551785831939866134116855199265267823699497557.000000000000000000000000000000000000000000000000000000000000000000000000000000043995996907931450546017529821179402661741047506605583961822715323191270746432,True
37,38,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100251560595,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146971536592,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046719975997,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046719975997,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056616873331361319339778585167167551785831939866134116855199265267823699497557.000000000000000000000000000000000000000000000000000000000000000000000000000000043995996907931450546017529821179402661741047506605583961822715323191270746432,0.000000000000000000000000000000000000000000000000000000000000000000000000000000087015243271585780626985033128071698022561841908393138262300130220799103430854.000000000000000000000000000000000000000000000000000000000000000000000000000000025209357855024485003220583383100568569907435221588726049011254238934071668031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000087015243271585780626985033128071698022561841908393138262300130220799103430854.000000000000000000000000000000000000000000000000000000000000000000000000000000025209357855024485003220583383100568569907435221588726049011254238934071668031,True
38,39,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146971536592,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000323724968937,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176753432345,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176753432345,0.000000000000000000000000000000000000000000000000000000000000000000000000000000087015243271585780626985033128071698022561841908393138262300130220799103430854.000000000000000000000000000000000000000000000000000000000000000000000000000000025209357855024485003220583383100568569907435221588726049011254238934071668031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000020565748395003466184666204343636157310765094829742621599321518588759629653315.000000000000000000000000000000000000000000000000000000000000000000000000000000024311842649879211620913578563307151382181113982951839068539255115674165497966,0.000000000000000000000000000000000000000000000000000000000000000000000000000000020565748395003466184666204343636157310765094829742621599321518588759629653315.000000000000000000000000000000000000000000000000000000000000000000000000000000024311842649879211620913578563307151382181113982951839068539255115674165497966,True
39,40,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000323724968937,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001003651412950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000679926444013,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000679926444013,0.000000000000000000000000000000000000000000000000000000000000000000000000000000020565748395003466184666204343636157310765094829742621599321518588759629653315.000000000000000000000000000000000000000000000000000000000000000000000000000000024311842649879211620913578563307151382181113982951839068539255115674165497966,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073698089885969865917178217585365130397293864653143545863290470632977971667156.000000000000000000000000000000000000000000000000000000000000000000000000000000055920112788027504860697624221258924004816541552996850637631037640326076931751,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073698089885969865917178217585365130397293864653143545863290470632977971667156.000000000000000000000000000000000000000000000000000000000000000000000000000000055920112788027504860697624221258924004816541552996850637631037640326076931751,True
40,41,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001003651412950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001458252205147,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000454600792197,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000454600792197,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073698089885969865917178217585365130397293864653143545863290470632977971667156.000000000000000000000000000000000000000000000000000000000000000000000000000000055920112788027504860697624221258924004816541552996850637631037640326076931751,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081119306557295043947776230900539651493257160932663731932698523086255548483211.000000000000000000000000000000000000000000000000000000000000000000000000000000069833235478127881789123626297864036834549011744885041054439092651501655231589,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081119306557295043947776230900539651493257160932663731932698523086255548483211.000000000000000000000000000000000000000000000000000000000000000000000000000000069833235478127881789123626297864036834549011744885041054439092651501655231589,True
41,42,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001458252205147,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002895374552463,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001437122347316,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001437122347316,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081119306557295043947776230900539651493257160932663731932698523086255548483211.000000000000000000000000000000000000000000000000000000000000000000000000000000069833235478127881789123626297864036834549011744885041054439092651501655231589,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108004735110291605052926238280029015934272711127582669764909355573652864904374.000000000000000000000000000000000000000000000000000000000000000000000000000000018403329601810133637568039936681058795765401650711307099623243826143290446421,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108004735110291605052926238280029015934272711127582669764909355573652864904374.000000000000000000000000000000000000000000000000000000000000000000000000000000018403329601810133637568039936681058795765401650711307099623243826143290446421,True
42,43,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002895374552463,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007409811047825,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004514436495362,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004514436495362,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108004735110291605052926238280029015934272711127582669764909355573652864904374.000000000000000000000000000000000000000000000000000000000000000000000000000000018403329601810133637568039936681058795765401650711307099623243826143290446421,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075172231921983061963707078453586218075235954430194816683547821744757539658477.000000000000000000000000000000000000000000000000000000000000000000000000000000089836151575228064517341400809867031783033609174401477513286549833346046540900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075172231921983061963707078453586218075235954430194816683547821744757539658477.000000000000000000000000000000000000000000000000000000000000000000000000000000089836151575228064517341400809867031783033609174401477513286549833346046540900,True
43,44,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007409811047825,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015404761757071,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007994950709246,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007994950709246,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075172231921983061963707078453586218075235954430194816683547821744757539658477.000000000000000000000000000000000000000000000000000000000000000000000000000000089836151575228064517341400809867031783033609174401477513286549833346046540900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000042641850349376588048456683523298482342861890575005255055023690152751482106678.000000000000000000000000000000000000000000000000000000000000000000000000000000053863954730306949225788464513829000943283845993231532239006941853900022216012,0.000000000000000000000000000000000000000000000000000000000000000000000000000000042641850349376588048456683523298482342861890575005255055023690152751482106678.000000000000000000000000000000000000000000000000000000000000000000000000000000053863954730306949225788464513829000943283845993231532239006941853900022216012,True
44,45,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015404761757071,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019996463086597,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004591701329526,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004591701329526,0.000000000000000000000000000000000000000000000000000000000000000000000000000000042641850349376588048456683523298482342861890575005255055023690152751482106678.000000000000000000000000000000000000000000000000000000000000000000000000000000053863954730306949225788464513829000943283845993231532239006941853900022216012,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050112622098186670293522308964212376217170487478698098151184560544369839286042.000000000000000000000000000000000000000000000000000000000000000000000000000000077166245647879752064031295604889546052840057843077005375531342667030458077622,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050112622098186670293522308964212376217170487478698098151184560544369839286042.000000000000000000000000000000000000000000000000000000000000000000000000000000077166245647879752064031295604889546052840057843077005375531342667030458077622,True
45,46,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019996463086597,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051408670348612,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031412207262015,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031412207262015,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050112622098186670293522308964212376217170487478698098151184560544369839286042.000000000000000000000000000000000000000000000000000000000000000000000000000000077166245647879752064031295604889546052840057843077005375531342667030458077622,0.000000000000000000000000000000000000000000000000000000000000000000000000000000114584500658952982261284867257664334263474393257290087756987875227521301436489.000000000000000000000000000000000000000000000000000000000000000000000000000000072377802498278766546639322951454786203104057764824801286631323494589545738903,0.000000000000000000000000000000000000000000000000000000000000000000000000000000114584500658952982261284867257664334263474393257290087756987875227521301436489.000000000000000000000000000000000000000000000000000000000000000000000000000000072377802498278766546639322951454786203104057764824801286631323494589545738903,True
46,47,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051408670348612,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119666659114170,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000068257988765558,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000068257988765558,0.000000000000000000000000000000000000000000000000000000000000000000000000000000114584500658952982261284867257664334263474393257290087756987875227521301436489.000000000000000000000000000000000000000000000000000000000000000000000000000000072377802498278766546639322951454786203104057764824801286631323494589545738903,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026267254531086005924446289926216963278177394500745127274874595717966452048278.000000000000000000000000000000000000000000000000000000000000000000000000000000087001101956910744728114859046409945791202748241449154110581074788749206277690,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026267254531086005924446289926216963278177394500745127274874595717966452048278.000000000000000000000000000000000000000000000000000000000000000000000000000000087001101956910744728114859046409945791202748241449154110581074788749206277690,True
47,48,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119666659114170,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191206974700443,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000071540315586273,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000071540315586273,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026267254531086005924446289926216963278177394500745127274874595717966452048278.000000000000000000000000000000000000000000000000000000000000000000000000000000087001101956910744728114859046409945791202748241449154110581074788749206277690,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065922650075410856534993974163056939852640429077251888193523115047858400845499.000000000000000000000000000000000000000000000000000000000000000000000000000000041869000666969933530739468879784369787478474775480842047778880811132270629206,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065922650075410856534993974163056939852640429077251888193523115047858400845499.000000000000000000000000000000000000000000000000000000000000000000000000000000041869000666969933530739468879784369787478474775480842047778880811132270629206,True
48,49,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191206974700443,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000409118905032525,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000217911930332082,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000217911930332082,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065922650075410856534993974163056939852640429077251888193523115047858400845499.000000000000000000000000000000000000000000000000000000000000000000000000000000041869000666969933530739468879784369787478474775480842047778880811132270629206,0.000000000000000000000000000000000000000000000000000000000000000000000000000000040307801063138778132376559836123589321449883390877564180282544683931835372676.000000000000000000000000000000000000000000000000000000000000000000000000000000084487168443727713049778009853790282775917750548090902002744386003675529530292,0.000000000000000000000000000000000000000000000000000000000000000000000000000000040307801063138778132376559836123589321449883390877564180282544683931835372676.000000000000000000000000000000000000000000000000000000000000000000000000000000084487168443727713049778009853790282775917750548090902002744386003675529530292,True
49,50,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000409118905032525,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000611140496167764,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202021591135239,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202021591135239,0.000000000000000000000000000000000000000000000000000000000000000000000000000000040307801063138778132376559836123589321449883390877564180282544683931835372676.000000000000000000000000000000000000000000000000000000000000000000000000000000084487168443727713049778009853790282775917750548090902002744386003675529530292,0.000000000000000000000000000000000000000000000000000000000000000000000000000000110560903758971929709743161563183868968201998016819862389797221564458485814982.000000000000000000000000000000000000000000000000000000000000000000000000000000106403041512432555215316396882584033752066537554388330180776939978150437217531,0.000000000000000000000000000000000000000000000000000000000000000000000000000000110560903758971929709743161563183868968201998016819862389797221564458485814982.000000000000000000000000000000000000000000000000000000000000000000000000000000106403041512432555215316396882584033752066537554388330180776939978150437217531,True
50,51,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000611140496167764,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002058769515153876,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001447629018986112,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001447629018986112,0.000000000000000000000000000000000000000000000000000000000000000000000000000000110560903758971929709743161563183868968201998016819862389797221564458485814982.000000000000000000000000000000000000000000000000000000000000000000000000000000106403041512432555215316396882584033752066537554388330180776939978150437217531,0.000000000000000000000000000000000000000000000000000000000000000000000000000000063515334313235940978997497997309110945131154723579807607384497547958713837455.000000000000000000000000000000000000000000000000000000000000000000000000000000058372837009371438499600708449369979083506963697147052846447906363256905894908,0.000000000000000000000000000000000000000000000000000000000000000000000000000000063515334313235940978997497997309110945131154723579807607384497547958713837455.000000000000000000000000000000000000000000000000000000000000000000000000000000058372837009371438499600708449369979083506963697147052846447906363256905894908,True
