puzzle,max_k,lead_a,d_dec,x_dec,y_dec,affine_0_x_y,jacobi_0_X_Y_Z
33,13,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007137437912,000000000000000000000000000000000000000000000000000000000000000000000000000000073878352155540948447620718403427774498001293452248256430485902449521386501497,000000000000000000000000000000000000000000000000000000000000000000000000000000001848435387922639343210666794185885301104293211960891296513791058289918232927,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073878352155540948447620718403427774498001293452248256430485902449521386501497.000000000000000000000000000000000000000000000000000000000000000000000000000000001848435387922639343210666794185885301104293211960891296513791058289918232927,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073878352155540948447620718403427774498001293452248256430485902449521386501497.000000000000000000000000000000000000000000000000000000000000000000000000000000001848435387922639343210666794185885301104293211960891296513791058289918232927.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
34,13,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014133072157,000000000000000000000000000000000000000000000000000000000000000000000000000000027530330645108713416987374469727331790531665526622602610141848066918764259216,000000000000000000000000000000000000000000000000000000000000000000000000000000090457806451997906746295114102505195833866791735127929013755472762572742813627,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027530330645108713416987374469727331790531665526622602610141848066918764259216.000000000000000000000000000000000000000000000000000000000000000000000000000000090457806451997906746295114102505195833866791735127929013755472762572742813627,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027530330645108713416987374469727331790531665526622602610141848066918764259216.000000000000000000000000000000000000000000000000000000000000000000000000000000090457806451997906746295114102505195833866791735127929013755472762572742813627.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
35,13,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020112871792,000000000000000000000000000000000000000000000000000000000000000000000000000000111565932824107072002273648098027536630611694584547792392039443258564110295357,000000000000000000000000000000000000000000000000000000000000000000000000000000065073319313695146178520529869101114308349376191091055110226007524833442301678,0.000000000000000000000000000000000000000000000000000000000000000000000000000000111565932824107072002273648098027536630611694584547792392039443258564110295357.000000000000000000000000000000000000000000000000000000000000000000000000000000065073319313695146178520529869101114308349376191091055110226007524833442301678,0.000000000000000000000000000000000000000000000000000000000000000000000000000000111565932824107072002273648098027536630611694584547792392039443258564110295357.000000000000000000000000000000000000000000000000000000000000000000000000000000065073319313695146178520529869101114308349376191091055110226007524833442301678.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
36,13,6,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042387769980,000000000000000000000000000000000000000000000000000000000000000000000000000000081372929267933625950466299134420767116313809747786657449875828371774815844854,000000000000000000000000000000000000000000000000000000000000000000000000000000049801825835509570606281703408037944345584045565504136549095842398335950992396,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081372929267933625950466299134420767116313809747786657449875828371774815844854.000000000000000000000000000000000000000000000000000000000000000000000000000000049801825835509570606281703408037944345584045565504136549095842398335950992396,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081372929267933625950466299134420767116313809747786657449875828371774815844854.000000000000000000000000000000000000000000000000000000000000000000000000000000049801825835509570606281703408037944345584045565504136549095842398335950992396.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
37,14,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100251560595,000000000000000000000000000000000000000000000000000000000000000000000000000000056616873331361319339778585167167551785831939866134116855199265267823699497557,000000000000000000000000000000000000000000000000000000000000000000000000000000043995996907931450546017529821179402661741047506605583961822715323191270746432,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056616873331361319339778585167167551785831939866134116855199265267823699497557.000000000000000000000000000000000000000000000000000000000000000000000000000000043995996907931450546017529821179402661741047506605583961822715323191270746432,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056616873331361319339778585167167551785831939866134116855199265267823699497557.000000000000000000000000000000000000000000000000000000000000000000000000000000043995996907931450546017529821179402661741047506605583961822715323191270746432.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
38,14,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146971536592,000000000000000000000000000000000000000000000000000000000000000000000000000000087015243271585780626985033128071698022561841908393138262300130220799103430854,000000000000000000000000000000000000000000000000000000000000000000000000000000025209357855024485003220583383100568569907435221588726049011254238934071668031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000087015243271585780626985033128071698022561841908393138262300130220799103430854.000000000000000000000000000000000000000000000000000000000000000000000000000000025209357855024485003220583383100568569907435221588726049011254238934071668031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000087015243271585780626985033128071698022561841908393138262300130220799103430854.000000000000000000000000000000000000000000000000000000000000000000000000000000025209357855024485003220583383100568569907435221588726049011254238934071668031.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
39,14,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000323724968937,000000000000000000000000000000000000000000000000000000000000000000000000000000020565748395003466184666204343636157310765094829742621599321518588759629653315,000000000000000000000000000000000000000000000000000000000000000000000000000000024311842649879211620913578563307151382181113982951839068539255115674165497966,0.000000000000000000000000000000000000000000000000000000000000000000000000000000020565748395003466184666204343636157310765094829742621599321518588759629653315.000000000000000000000000000000000000000000000000000000000000000000000000000000024311842649879211620913578563307151382181113982951839068539255115674165497966,0.000000000000000000000000000000000000000000000000000000000000000000000000000000020565748395003466184666204343636157310765094829742621599321518588759629653315.000000000000000000000000000000000000000000000000000000000000000000000000000000024311842649879211620913578563307151382181113982951839068539255115674165497966.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
40,14,11,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001003651412950,000000000000000000000000000000000000000000000000000000000000000000000000000000073698089885969865917178217585365130397293864653143545863290470632977971667156,000000000000000000000000000000000000000000000000000000000000000000000000000000055920112788027504860697624221258924004816541552996850637631037640326076931751,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073698089885969865917178217585365130397293864653143545863290470632977971667156.000000000000000000000000000000000000000000000000000000000000000000000000000000055920112788027504860697624221258924004816541552996850637631037640326076931751,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073698089885969865917178217585365130397293864653143545863290470632977971667156.000000000000000000000000000000000000000000000000000000000000000000000000000000055920112788027504860697624221258924004816541552996850637631037640326076931751.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
41,15,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001458252205147,000000000000000000000000000000000000000000000000000000000000000000000000000000081119306557295043947776230900539651493257160932663731932698523086255548483211,000000000000000000000000000000000000000000000000000000000000000000000000000000069833235478127881789123626297864036834549011744885041054439092651501655231589,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081119306557295043947776230900539651493257160932663731932698523086255548483211.000000000000000000000000000000000000000000000000000000000000000000000000000000069833235478127881789123626297864036834549011744885041054439092651501655231589,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081119306557295043947776230900539651493257160932663731932698523086255548483211.000000000000000000000000000000000000000000000000000000000000000000000000000000069833235478127881789123626297864036834549011744885041054439092651501655231589.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
42,15,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002895374552463,000000000000000000000000000000000000000000000000000000000000000000000000000000108004735110291605052926238280029015934272711127582669764909355573652864904374,000000000000000000000000000000000000000000000000000000000000000000000000000000018403329601810133637568039936681058795765401650711307099623243826143290446421,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108004735110291605052926238280029015934272711127582669764909355573652864904374.000000000000000000000000000000000000000000000000000000000000000000000000000000018403329601810133637568039936681058795765401650711307099623243826143290446421,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108004735110291605052926238280029015934272711127582669764909355573652864904374.000000000000000000000000000000000000000000000000000000000000000000000000000000018403329601810133637568039936681058795765401650711307099623243826143290446421.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
43,15,5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007409811047825,000000000000000000000000000000000000000000000000000000000000000000000000000000075172231921983061963707078453586218075235954430194816683547821744757539658477,000000000000000000000000000000000000000000000000000000000000000000000000000000089836151575228064517341400809867031783033609174401477513286549833346046540900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075172231921983061963707078453586218075235954430194816683547821744757539658477.000000000000000000000000000000000000000000000000000000000000000000000000000000089836151575228064517341400809867031783033609174401477513286549833346046540900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075172231921983061963707078453586218075235954430194816683547821744757539658477.000000000000000000000000000000000000000000000000000000000000000000000000000000089836151575228064517341400809867031783033609174401477513286549833346046540900.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
44,15,11,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015404761757071,000000000000000000000000000000000000000000000000000000000000000000000000000000042641850349376588048456683523298482342861890575005255055023690152751482106678,000000000000000000000000000000000000000000000000000000000000000000000000000000053863954730306949225788464513829000943283845993231532239006941853900022216012,0.000000000000000000000000000000000000000000000000000000000000000000000000000000042641850349376588048456683523298482342861890575005255055023690152751482106678.000000000000000000000000000000000000000000000000000000000000000000000000000000053863954730306949225788464513829000943283845993231532239006941853900022216012,0.000000000000000000000000000000000000000000000000000000000000000000000000000000042641850349376588048456683523298482342861890575005255055023690152751482106678.000000000000000000000000000000000000000000000000000000000000000000000000000000053863954730306949225788464513829000943283845993231532239006941853900022216012.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
45,15,15,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019996463086597,000000000000000000000000000000000000000000000000000000000000000000000000000000050112622098186670293522308964212376217170487478698098151184560544369839286042,000000000000000000000000000000000000000000000000000000000000000000000000000000077166245647879752064031295604889546052840057843077005375531342667030458077622,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050112622098186670293522308964212376217170487478698098151184560544369839286042.000000000000000000000000000000000000000000000000000000000000000000000000000000077166245647879752064031295604889546052840057843077005375531342667030458077622,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050112622098186670293522308964212376217170487478698098151184560544369839286042.000000000000000000000000000000000000000000000000000000000000000000000000000000077166245647879752064031295604889546052840057843077005375531342667030458077622.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
46,16,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051408670348612,000000000000000000000000000000000000000000000000000000000000000000000000000000114584500658952982261284867257664334263474393257290087756987875227521301436489,000000000000000000000000000000000000000000000000000000000000000000000000000000072377802498278766546639322951454786203104057764824801286631323494589545738903,0.000000000000000000000000000000000000000000000000000000000000000000000000000000114584500658952982261284867257664334263474393257290087756987875227521301436489.000000000000000000000000000000000000000000000000000000000000000000000000000000072377802498278766546639322951454786203104057764824801286631323494589545738903,0.000000000000000000000000000000000000000000000000000000000000000000000000000000114584500658952982261284867257664334263474393257290087756987875227521301436489.000000000000000000000000000000000000000000000000000000000000000000000000000000072377802498278766546639322951454786203104057764824801286631323494589545738903.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
47,16,5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119666659114170,000000000000000000000000000000000000000000000000000000000000000000000000000000026267254531086005924446289926216963278177394500745127274874595717966452048278,000000000000000000000000000000000000000000000000000000000000000000000000000000087001101956910744728114859046409945791202748241449154110581074788749206277690,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026267254531086005924446289926216963278177394500745127274874595717966452048278.000000000000000000000000000000000000000000000000000000000000000000000000000000087001101956910744728114859046409945791202748241449154110581074788749206277690,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026267254531086005924446289926216963278177394500745127274874595717966452048278.000000000000000000000000000000000000000000000000000000000000000000000000000000087001101956910744728114859046409945791202748241449154110581074788749206277690.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
48,16,9,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191206974700443,000000000000000000000000000000000000000000000000000000000000000000000000000000065922650075410856534993974163056939852640429077251888193523115047858400845499,000000000000000000000000000000000000000000000000000000000000000000000000000000041869000666969933530739468879784369787478474775480842047778880811132270629206,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065922650075410856534993974163056939852640429077251888193523115047858400845499.000000000000000000000000000000000000000000000000000000000000000000000000000000041869000666969933530739468879784369787478474775480842047778880811132270629206,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065922650075410856534993974163056939852640429077251888193523115047858400845499.000000000000000000000000000000000000000000000000000000000000000000000000000000041869000666969933530739468879784369787478474775480842047778880811132270629206.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
49,17,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000409118905032525,000000000000000000000000000000000000000000000000000000000000000000000000000000040307801063138778132376559836123589321449883390877564180282544683931835372676,000000000000000000000000000000000000000000000000000000000000000000000000000000084487168443727713049778009853790282775917750548090902002744386003675529530292,0.000000000000000000000000000000000000000000000000000000000000000000000000000000040307801063138778132376559836123589321449883390877564180282544683931835372676.000000000000000000000000000000000000000000000000000000000000000000000000000000084487168443727713049778009853790282775917750548090902002744386003675529530292,0.000000000000000000000000000000000000000000000000000000000000000000000000000000040307801063138778132376559836123589321449883390877564180282544683931835372676.000000000000000000000000000000000000000000000000000000000000000000000000000000084487168443727713049778009853790282775917750548090902002744386003675529530292.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
50,17,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000611140496167764,000000000000000000000000000000000000000000000000000000000000000000000000000000110560903758971929709743161563183868968201998016819862389797221564458485814982,000000000000000000000000000000000000000000000000000000000000000000000000000000106403041512432555215316396882584033752066537554388330180776939978150437217531,0.000000000000000000000000000000000000000000000000000000000000000000000000000000110560903758971929709743161563183868968201998016819862389797221564458485814982.000000000000000000000000000000000000000000000000000000000000000000000000000000106403041512432555215316396882584033752066537554388330180776939978150437217531,0.000000000000000000000000000000000000000000000000000000000000000000000000000000110560903758971929709743161563183868968201998016819862389797221564458485814982.000000000000000000000000000000000000000000000000000000000000000000000000000000106403041512432555215316396882584033752066537554388330180776939978150437217531.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
51,17,5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002058769515153876,000000000000000000000000000000000000000000000000000000000000000000000000000000063515334313235940978997497997309110945131154723579807607384497547958713837455,000000000000000000000000000000000000000000000000000000000000000000000000000000058372837009371438499600708449369979083506963697147052846447906363256905894908,0.000000000000000000000000000000000000000000000000000000000000000000000000000000063515334313235940978997497997309110945131154723579807607384497547958713837455.000000000000000000000000000000000000000000000000000000000000000000000000000000058372837009371438499600708449369979083506963697147052846447906363256905894908,0.000000000000000000000000000000000000000000000000000000000000000000000000000000063515334313235940978997497997309110945131154723579807607384497547958713837455.000000000000000000000000000000000000000000000000000000000000000000000000000000058372837009371438499600708449369979083506963697147052846447906363256905894908.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
52,17,11,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004216495639600700,000000000000000000000000000000000000000000000000000000000000000000000000000000052813238566474594496574906867435567565233423293475819066208762163447782904999,000000000000000000000000000000000000000000000000000000000000000000000000000000098011757932358350962613998289386682535741825041444942664745561971592823444973,0.000000000000000000000000000000000000000000000000000000000000000000000000000000052813238566474594496574906867435567565233423293475819066208762163447782904999.000000000000000000000000000000000000000000000000000000000000000000000000000000098011757932358350962613998289386682535741825041444942664745561971592823444973,0.000000000000000000000000000000000000000000000000000000000000000000000000000000052813238566474594496574906867435567565233423293475819066208762163447782904999.000000000000000000000000000000000000000000000000000000000000000000000000000000098011757932358350962613998289386682535741825041444942664745561971592823444973.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
53,18,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006763683971478124,000000000000000000000000000000000000000000000000000000000000000000000000000000007086754227407391658152234626386289704606906620229921345536119461826835276617,000000000000000000000000000000000000000000000000000000000000000000000000000000045806165569194256586261502717728099690457099843611552664107027616191159246392,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007086754227407391658152234626386289704606906620229921345536119461826835276617.000000000000000000000000000000000000000000000000000000000000000000000000000000045806165569194256586261502717728099690457099843611552664107027616191159246392,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007086754227407391658152234626386289704606906620229921345536119461826835276617.000000000000000000000000000000000000000000000000000000000000000000000000000000045806165569194256586261502717728099690457099843611552664107027616191159246392.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
54,18,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009974455244496707,000000000000000000000000000000000000000000000000000000000000000000000000000000033903532250825920011423262729318037347523984276123141340942803818961706296726,000000000000000000000000000000000000000000000000000000000000000000000000000000000168743002427289881765681417490337978467882455308235152692948563217619698893,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033903532250825920011423262729318037347523984276123141340942803818961706296726.000000000000000000000000000000000000000000000000000000000000000000000000000000000168743002427289881765681417490337978467882455308235152692948563217619698893,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033903532250825920011423262729318037347523984276123141340942803818961706296726.000000000000000000000000000000000000000000000000000000000000000000000000000000000168743002427289881765681417490337978467882455308235152692948563217619698893.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
55,18,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030045390491869460,000000000000000000000000000000000000000000000000000000000000000000000000000000060445698216621826856287952149610390835450647855250491824511024996101472713059,000000000000000000000000000000000000000000000000000000000000000000000000000000006650413705544923593404974197957088657590778889830546541291909209606529242729,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060445698216621826856287952149610390835450647855250491824511024996101472713059.000000000000000000000000000000000000000000000000000000000000000000000000000000006650413705544923593404974197957088657590778889830546541291909209606529242729,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060445698216621826856287952149610390835450647855250491824511024996101472713059.000000000000000000000000000000000000000000000000000000000000000000000000000000006650413705544923593404974197957088657590778889830546541291909209606529242729.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
56,18,6,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044218742292676575,000000000000000000000000000000000000000000000000000000000000000000000000000000028576446286465130798687394270835338936156158272521290958787272130765482596762,000000000000000000000000000000000000000000000000000000000000000000000000000000101338706018188911277721114497155019368847601339832684197459624859833147765647,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028576446286465130798687394270835338936156158272521290958787272130765482596762.000000000000000000000000000000000000000000000000000000000000000000000000000000101338706018188911277721114497155019368847601339832684197459624859833147765647,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028576446286465130798687394270835338936156158272521290958787272130765482596762.000000000000000000000000000000000000000000000000000000000000000000000000000000101338706018188911277721114497155019368847601339832684197459624859833147765647.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
57,19,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000138245758910846492,000000000000000000000000000000000000000000000000000000000000000000000000000000074691033661854708945097969794875545130743253282866857528646094060486887766762,000000000000000000000000000000000000000000000000000000000000000000000000000000050520096726607883683128959576900318161316692878968149241991939304173485276380,0.000000000000000000000000000000000000000000000000000000000000000000000000000000074691033661854708945097969794875545130743253282866857528646094060486887766762.000000000000000000000000000000000000000000000000000000000000000000000000000000050520096726607883683128959576900318161316692878968149241991939304173485276380,0.000000000000000000000000000000000000000000000000000000000000000000000000000000074691033661854708945097969794875545130743253282866857528646094060486887766762.000000000000000000000000000000000000000000000000000000000000000000000000000000050520096726607883683128959576900318161316692878968149241991939304173485276380.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
58,19,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199976667976342049,000000000000000000000000000000000000000000000000000000000000000000000000000000007842290535780881515467118634686610054213231290193967407475681065888263921474,000000000000000000000000000000000000000000000000000000000000000000000000000000037223995011863042135269033180096052877832679834151924259363842760832235837987,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007842290535780881515467118634686610054213231290193967407475681065888263921474.000000000000000000000000000000000000000000000000000000000000000000000000000000037223995011863042135269033180096052877832679834151924259363842760832235837987,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007842290535780881515467118634686610054213231290193967407475681065888263921474.000000000000000000000000000000000000000000000000000000000000000000000000000000037223995011863042135269033180096052877832679834151924259363842760832235837987.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
59,19,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000525070384258266191,000000000000000000000000000000000000000000000000000000000000000000000000000000029468339291227022490967140728449087203757816877061952957844349023051015394437,000000000000000000000000000000000000000000000000000000000000000000000000000000005867199329528628582491486657327247741547599271992614464633076311922995064508,0.000000000000000000000000000000000000000000000000000000000000000000000000000000029468339291227022490967140728449087203757816877061952957844349023051015394437.000000000000000000000000000000000000000000000000000000000000000000000000000000005867199329528628582491486657327247741547599271992614464633076311922995064508,0.000000000000000000000000000000000000000000000000000000000000000000000000000000029468339291227022490967140728449087203757816877061952957844349023051015394437.000000000000000000000000000000000000000000000000000000000000000000000000000000005867199329528628582491486657327247741547599271992614464633076311922995064508.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
60,19,9,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001135041350219496382,000000000000000000000000000000000000000000000000000000000000000000000000000000032976901974812130467888454680865813064186458215596336709018932995219129999629,000000000000000000000000000000000000000000000000000000000000000000000000000000094344309747317421167124060163550008068954848013402657284162153757492808086031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000032976901974812130467888454680865813064186458215596336709018932995219129999629.000000000000000000000000000000000000000000000000000000000000000000000000000000094344309747317421167124060163550008068954848013402657284162153757492808086031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000032976901974812130467888454680865813064186458215596336709018932995219129999629.000000000000000000000000000000000000000000000000000000000000000000000000000000094344309747317421167124060163550008068954848013402657284162153757492808086031.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
61,19,11,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001425787542618654982,000000000000000000000000000000000000000000000000000000000000000000000000000000033308989973171342073697220435010985741081235541259067848310503357357122078015,000000000000000000000000000000000000000000000000000000000000000000000000000000095725642944317286839874181564660753559887752233498128945789602194633150111324,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033308989973171342073697220435010985741081235541259067848310503357357122078015.000000000000000000000000000000000000000000000000000000000000000000000000000000095725642944317286839874181564660753559887752233498128945789602194633150111324,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033308989973171342073697220435010985741081235541259067848310503357357122078015.000000000000000000000000000000000000000000000000000000000000000000000000000000095725642944317286839874181564660753559887752233498128945789602194633150111324.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
62,20,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003908372542507822062,000000000000000000000000000000000000000000000000000000000000000000000000000000015877604754714859824235961000680666017735583517798512888980505728230641434280,000000000000000000000000000000000000000000000000000000000000000000000000000000027676014891220873617147919511945292449354083613136393884603452417089983439557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000015877604754714859824235961000680666017735583517798512888980505728230641434280.000000000000000000000000000000000000000000000000000000000000000000000000000000027676014891220873617147919511945292449354083613136393884603452417089983439557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000015877604754714859824235961000680666017735583517798512888980505728230641434280.000000000000000000000000000000000000000000000000000000000000000000000000000000027676014891220873617147919511945292449354083613136393884603452417089983439557.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
63,20,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008993229949524469768,000000000000000000000000000000000000000000000000000000000000000000000000000000046100860595331327753782525134281403195505409441031099411610412192590360561017,000000000000000000000000000000000000000000000000000000000000000000000000000000040756680259664337787317293734418135936366600101587916741588241469787632977445,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046100860595331327753782525134281403195505409441031099411610412192590360561017.000000000000000000000000000000000000000000000000000000000000000000000000000000040756680259664337787317293734418135936366600101587916741588241469787632977445,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046100860595331327753782525134281403195505409441031099411610412192590360561017.000000000000000000000000000000000000000000000000000000000000000000000000000000040756680259664337787317293734418135936366600101587916741588241469787632977445.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
64,20,7,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017799667357578236628,000000000000000000000000000000000000000000000000000000000000000000000000000000007247729308732252718492345551507130715155957421128527268563563649761751702861,000000000000000000000000000000000000000000000000000000000000000000000000000000036707592335952288811734416422045697926733415491378770888054924918276179427221,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007247729308732252718492345551507130715155957421128527268563563649761751702861.000000000000000000000000000000000000000000000000000000000000000000000000000000036707592335952288811734416422045697926733415491378770888054924918276179427221,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007247729308732252718492345551507130715155957421128527268563563649761751702861.000000000000000000000000000000000000000000000000000000000000000000000000000000036707592335952288811734416422045697926733415491378770888054924918276179427221.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
