max_k,n0,n1,da,k_factorial_dec,a0_times_kfact_dec,a1_times_kfact_dec,Delta_lead_dec,rem0_dec,rem1_dec,Delta_full_dec,P0_0_x_y,P1_0_x_y,T_kfactG_0_x_y
15,44,45,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001307674368000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014384418048000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019615115520000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005230697472000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001020343709071,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000381347566597,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004591701329526,0.000000000000000000000000000000000000000000000000000000000000000000000000000000042641850349376588048456683523298482342861890575005255055023690152751482106678.000000000000000000000000000000000000000000000000000000000000000000000000000000053863954730306949225788464513829000943283845993231532239006941853900022216012,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050112622098186670293522308964212376217170487478698098151184560544369839286042.000000000000000000000000000000000000000000000000000000000000000000000000000000077166245647879752064031295604889546052840057843077005375531342667030458077622,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056928230350170690088515693373455391776532161201640864110651470361596498798780.000000000000000000000000000000000000000000000000000000000000000000000000000000098702891557265454207181057948941191720932087175001703063280803588785643085363
16,46,47,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020922789888000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041845579776000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104613949440000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000062768369664000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009563090572612,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015052709674170,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000068257988765558,0.000000000000000000000000000000000000000000000000000000000000000000000000000000114584500658952982261284867257664334263474393257290087756987875227521301436489.000000000000000000000000000000000000000000000000000000000000000000000000000000072377802498278766546639322951454786203104057764824801286631323494589545738903,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026267254531086005924446289926216963278177394500745127274874595717966452048278.000000000000000000000000000000000000000000000000000000000000000000000000000000087001101956910744728114859046409945791202748241449154110581074788749206277690,0.000000000000000000000000000000000000000000000000000000000000000000000000000000025783337633377383963743566997416487271281216343500499533436831786960374394418.000000000000000000000000000000000000000000000000000000000000000000000000000000097115033114043132933226576178303065919046236669952840610525546599958170731860
16,47,48,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020922789888000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104613949440000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000188305108992000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000083691159552000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015052709674170,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002901865708443,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000071540315586273,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026267254531086005924446289926216963278177394500745127274874595717966452048278.000000000000000000000000000000000000000000000000000000000000000000000000000000087001101956910744728114859046409945791202748241449154110581074788749206277690,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065922650075410856534993974163056939852640429077251888193523115047858400845499.000000000000000000000000000000000000000000000000000000000000000000000000000000041869000666969933530739468879784369787478474775480842047778880811132270629206,0.000000000000000000000000000000000000000000000000000000000000000000000000000000025783337633377383963743566997416487271281216343500499533436831786960374394418.000000000000000000000000000000000000000000000000000000000000000000000000000000097115033114043132933226576178303065919046236669952840610525546599958170731860
17,49,50,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355687428096000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355687428096000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355687428096000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053431476936525,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255453068071764,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202021591135239,0.000000000000000000000000000000000000000000000000000000000000000000000000000000040307801063138778132376559836123589321449883390877564180282544683931835372676.000000000000000000000000000000000000000000000000000000000000000000000000000000084487168443727713049778009853790282775917750548090902002744386003675529530292,0.000000000000000000000000000000000000000000000000000000000000000000000000000000110560903758971929709743161563183868968201998016819862389797221564458485814982.000000000000000000000000000000000000000000000000000000000000000000000000000000106403041512432555215316396882584033752066537554388330180776939978150437217531,0.000000000000000000000000000000000000000000000000000000000000000000000000000000071949585248922151770125811280394521540194364750671433939014525687277431263230.000000000000000000000000000000000000000000000000000000000000000000000000000000057715684072217609352479037422054479339803907371484743422674070948335477337708
17,50,51,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355687428096000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355687428096000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001778437140480000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001422749712384000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255453068071764,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280332374673876,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001447629018986112,0.000000000000000000000000000000000000000000000000000000000000000000000000000000110560903758971929709743161563183868968201998016819862389797221564458485814982.000000000000000000000000000000000000000000000000000000000000000000000000000000106403041512432555215316396882584033752066537554388330180776939978150437217531,0.000000000000000000000000000000000000000000000000000000000000000000000000000000063515334313235940978997497997309110945131154723579807607384497547958713837455.000000000000000000000000000000000000000000000000000000000000000000000000000000058372837009371438499600708449369979083506963697147052846447906363256905894908,0.000000000000000000000000000000000000000000000000000000000000000000000000000000071949585248922151770125811280394521540194364750671433939014525687277431263230.000000000000000000000000000000000000000000000000000000000000000000000000000000057715684072217609352479037422054479339803907371484743422674070948335477337708
17,51,52,6,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355687428096000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001778437140480000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003912561709056000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002134124568576000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280332374673876,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303933930544700,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002157726124446824,0.000000000000000000000000000000000000000000000000000000000000000000000000000000063515334313235940978997497997309110945131154723579807607384497547958713837455.000000000000000000000000000000000000000000000000000000000000000000000000000000058372837009371438499600708449369979083506963697147052846447906363256905894908,0.000000000000000000000000000000000000000000000000000000000000000000000000000000052813238566474594496574906867435567565233423293475819066208762163447782904999.000000000000000000000000000000000000000000000000000000000000000000000000000000098011757932358350962613998289386682535741825041444942664745561971592823444973,0.000000000000000000000000000000000000000000000000000000000000000000000000000000071949585248922151770125811280394521540194364750671433939014525687277431263230.000000000000000000000000000000000000000000000000000000000000000000000000000000057715684072217609352479037422054479339803907371484743422674070948335477337708
18,53,54,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006402373705728000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006402373705728000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006402373705728000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000361310265750124,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003572081538768707,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003210771273018583,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007086754227407391658152234626386289704606906620229921345536119461826835276617.000000000000000000000000000000000000000000000000000000000000000000000000000000045806165569194256586261502717728099690457099843611552664107027616191159246392,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033903532250825920011423262729318037347523984276123141340942803818961706296726.000000000000000000000000000000000000000000000000000000000000000000000000000000000168743002427289881765681417490337978467882455308235152692948563217619698893,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026768197736861445822644018717343103358513796065846956125681346777465951401498.000000000000000000000000000000000000000000000000000000000000000000000000000000023519995252994019661365552178757088929101936424629845125736254525278739509918
18,54,55,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006402373705728000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006402373705728000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025609494822912000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019207121117184000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003572081538768707,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004435895668957460,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020070935247372753,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033903532250825920011423262729318037347523984276123141340942803818961706296726.000000000000000000000000000000000000000000000000000000000000000000000000000000000168743002427289881765681417490337978467882455308235152692948563217619698893,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060445698216621826856287952149610390835450647855250491824511024996101472713059.000000000000000000000000000000000000000000000000000000000000000000000000000000006650413705544923593404974197957088657590778889830546541291909209606529242729,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026768197736861445822644018717343103358513796065846956125681346777465951401498.000000000000000000000000000000000000000000000000000000000000000000000000000000023519995252994019661365552178757088929101936424629845125736254525278739509918
18,55,56,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006402373705728000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025609494822912000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038414242234368000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012804747411456000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004435895668957460,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005804500058308575,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014173351800807115,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060445698216621826856287952149610390835450647855250491824511024996101472713059.000000000000000000000000000000000000000000000000000000000000000000000000000000006650413705544923593404974197957088657590778889830546541291909209606529242729,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028576446286465130798687394270835338936156158272521290958787272130765482596762.000000000000000000000000000000000000000000000000000000000000000000000000000000101338706018188911277721114497155019368847601339832684197459624859833147765647,0.000000000000000000000000000000000000000000000000000000000000000000000000000000026768197736861445822644018717343103358513796065846956125681346777465951401498.000000000000000000000000000000000000000000000000000000000000000000000000000000023519995252994019661365552178757088929101936424629845125736254525278739509918
19,57,58,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121645100408832000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121645100408832000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121645100408832000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016600658502014492,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000078331567567510049,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000061730909065495557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000074691033661854708945097969794875545130743253282866857528646094060486887766762.000000000000000000000000000000000000000000000000000000000000000000000000000000050520096726607883683128959576900318161316692878968149241991939304173485276380,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007842290535780881515467118634686610054213231290193967407475681065888263921474.000000000000000000000000000000000000000000000000000000000000000000000000000000037223995011863042135269033180096052877832679834151924259363842760832235837987,0.000000000000000000000000000000000000000000000000000000000000000000000000000000092820163756210200671708996519660591344660834830538646438406699794485147091094.000000000000000000000000000000000000000000000000000000000000000000000000000000106120983567110106015203614359235392868704080753494584665921140862132521465246
19,58,59,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121645100408832000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121645100408832000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000486580401635328000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000364935301226496000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000078331567567510049,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038489982622938191,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000325093716281924142,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007842290535780881515467118634686610054213231290193967407475681065888263921474.000000000000000000000000000000000000000000000000000000000000000000000000000000037223995011863042135269033180096052877832679834151924259363842760832235837987,0.000000000000000000000000000000000000000000000000000000000000000000000000000000029468339291227022490967140728449087203757816877061952957844349023051015394437.000000000000000000000000000000000000000000000000000000000000000000000000000000005867199329528628582491486657327247741547599271992614464633076311922995064508,0.000000000000000000000000000000000000000000000000000000000000000000000000000000092820163756210200671708996519660591344660834830538646438406699794485147091094.000000000000000000000000000000000000000000000000000000000000000000000000000000106120983567110106015203614359235392868704080753494584665921140862132521465246
19,59,60,5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121645100408832000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000486580401635328000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001094805903679488000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000608225502044160000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038489982622938191,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040235446540008382,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000609970965961230191,0.000000000000000000000000000000000000000000000000000000000000000000000000000000029468339291227022490967140728449087203757816877061952957844349023051015394437.000000000000000000000000000000000000000000000000000000000000000000000000000000005867199329528628582491486657327247741547599271992614464633076311922995064508,0.000000000000000000000000000000000000000000000000000000000000000000000000000000032976901974812130467888454680865813064186458215596336709018932995219129999629.000000000000000000000000000000000000000000000000000000000000000000000000000000094344309747317421167124060163550008068954848013402657284162153757492808086031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000092820163756210200671708996519660591344660834830538646438406699794485147091094.000000000000000000000000000000000000000000000000000000000000000000000000000000106120983567110106015203614359235392868704080753494584665921140862132521465246
19,60,61,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121645100408832000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001094805903679488000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001338096104497152000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000243290200817664000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040235446540008382,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087691438121502982,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000290746192399158600,0.000000000000000000000000000000000000000000000000000000000000000000000000000000032976901974812130467888454680865813064186458215596336709018932995219129999629.000000000000000000000000000000000000000000000000000000000000000000000000000000094344309747317421167124060163550008068954848013402657284162153757492808086031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033308989973171342073697220435010985741081235541259067848310503357357122078015.000000000000000000000000000000000000000000000000000000000000000000000000000000095725642944317286839874181564660753559887752233498128945789602194633150111324,0.000000000000000000000000000000000000000000000000000000000000000000000000000000092820163756210200671708996519660591344660834830538646438406699794485147091094.000000000000000000000000000000000000000000000000000000000000000000000000000000106120983567110106015203614359235392868704080753494584665921140862132521465246
20,62,63,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002432902008176640000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002432902008176640000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007298706024529920000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004865804016353280000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001475470534331182062,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001694523924994549768,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005084857407016647706,0.000000000000000000000000000000000000000000000000000000000000000000000000000000015877604754714859824235961000680666017735583517798512888980505728230641434280.000000000000000000000000000000000000000000000000000000000000000000000000000000027676014891220873617147919511945292449354083613136393884603452417089983439557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046100860595331327753782525134281403195505409441031099411610412192590360561017.000000000000000000000000000000000000000000000000000000000000000000000000000000040756680259664337787317293734418135936366600101587916741588241469787632977445,0.000000000000000000000000000000000000000000000000000000000000000000000000000000100209840550977792028583829866838569059307402608859533952769263009701315096147.000000000000000000000000000000000000000000000000000000000000000000000000000000028497599200223847494141592610371227401740608325759759698545963171102756503933
20,63,64,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002432902008176640000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007298706024529920000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017030314057236480000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009731608032706560000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001694523924994549768,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000769353300341756628,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008806437408053766860,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046100860595331327753782525134281403195505409441031099411610412192590360561017.000000000000000000000000000000000000000000000000000000000000000000000000000000040756680259664337787317293734418135936366600101587916741588241469787632977445,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007247729308732252718492345551507130715155957421128527268563563649761751702861.000000000000000000000000000000000000000000000000000000000000000000000000000000036707592335952288811734416422045697926733415491378770888054924918276179427221,0.000000000000000000000000000000000000000000000000000000000000000000000000000000100209840550977792028583829866838569059307402608859533952769263009701315096147.000000000000000000000000000000000000000000000000000000000000000000000000000000028497599200223847494141592610371227401740608325759759698545963171102756503933
20,64,65,5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002432902008176640000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017030314057236480000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029194824098119680000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012164510040883200000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000769353300341756628,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001373553213944522855,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012768709954485966227,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007247729308732252718492345551507130715155957421128527268563563649761751702861.000000000000000000000000000000000000000000000000000000000000000000000000000000036707592335952288811734416422045697926733415491378770888054924918276179427221,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021769406468394979245979020739332080729679479243955596515614749275274212371227.000000000000000000000000000000000000000000000000000000000000000000000000000000102907830890434238525231690377346540046672568029169549965500018466490455252476,0.000000000000000000000000000000000000000000000000000000000000000000000000000000100209840550977792028583829866838569059307402608859533952769263009701315096147.000000000000000000000000000000000000000000000000000000000000000000000000000000028497599200223847494141592610371227401740608325759759698545963171102756503933
20,65,66,7,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002432902008176640000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029194824098119680000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046225138155356160000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017030314057236480000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001373553213944522855,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121079394990175726,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015777840238282132871,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021769406468394979245979020739332080729679479243955596515614749275274212371227.000000000000000000000000000000000000000000000000000000000000000000000000000000102907830890434238525231690377346540046672568029169549965500018466490455252476,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035681022179418186873973468373280332442853574053612577039287936543695937260509.000000000000000000000000000000000000000000000000000000000000000000000000000000055769436514148338618765508764324988000805241152238207056637568135859289137720,0.000000000000000000000000000000000000000000000000000000000000000000000000000000100209840550977792028583829866838569059307402608859533952769263009701315096147.000000000000000000000000000000000000000000000000000000000000000000000000000000028497599200223847494141592610371227401740608325759759698545963171102756503933
21,67,68,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051090942171709440000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102181884343418880000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204363768686837760000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102181884343418880000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030475059258967376302,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015534497526478279825,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087241322610929783523,0.000000000000000000000000000000000000000000000000000000000000000000000000000000008199270313230837952220440610769591593514599319024034412022685032436710272885.000000000000000000000000000000000000000000000000000000000000000000000000000000108680892268991160269437367347039106826837182347366220564480894908240312674034,0.000000000000000000000000000000000000000000000000000000000000000000000000000000014417797224727152153976629935434818279260229220775673176904981236836807719451.000000000000000000000000000000000000000000000000000000000000000000000000000000007045521516762001123429259792443693948241323099305435512759425298741909160811,0.000000000000000000000000000000000000000000000000000000000000000000000000000000059331309481947748213179742333080721390188777383128616027165487168924559256153.000000000000000000000000000000000000000000000000000000000000000000000000000000060801024637052190133616498477520888436276625074222611561394738439198461988829
21,68,69,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051090942171709440000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204363768686837760000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255454710858547200000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051090942171709440000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015534497526478279825,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041819781061828705804,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000077376225707059865979,0.000000000000000000000000000000000000000000000000000000000000000000000000000000014417797224727152153976629935434818279260229220775673176904981236836807719451.000000000000000000000000000000000000000000000000000000000000000000000000000000007045521516762001123429259792443693948241323099305435512759425298741909160811,0.000000000000000000000000000000000000000000000000000000000000000000000000000000034226794014706530115784623034813193918417475105517896498394700850822182845011.000000000000000000000000000000000000000000000000000000000000000000000000000000095344118026279051459253088692659149181807495503617143902697063322064304017214,0.000000000000000000000000000000000000000000000000000000000000000000000000000000059331309481947748213179742333080721390188777383128616027165487168924559256153.000000000000000000000000000000000000000000000000000000000000000000000000000000060801024637052190133616498477520888436276625074222611561394738439198461988829
