puzzle,source,txid,pub_compressed,input_index,note,low_S,s,k,k_star,k_star_bit_length,byte_bin,era_proxy,sighash,segwit
69,blockstream spend tx,1413219afba576a13eeb01d6d5f758a849d811bee8dd78f56d7eb0733c58d2a2,024babadccc6cfd5f0e5e7fd2a50aa7d677ce0aa16fdce26a0d0882eed03e7ba53,0,,True,8619692059496816935974466598772731979755945595268263534438604506436965695196,11946642344883370136764185611543582122915820184773164279891938809939770222914,11946642344883370136764185611543582122915820184773164279891938809939770222914,253,52,mid_51_100,unknown,unknown
70,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,0290e6900a58d33393bc1097b5aed31f2e4e7cbd3e5466af958665bc0121248483,1,"hashkeys frozen r,s; z from blockchain tx parse",True,26200510735112389683832216171636129003762444885804643612627873572846193488652,54884353499806060424599324798347397694390029189223893445085636070424818929806,54884353499806060424599324798347397694390029189223893445085636070424818929806,255,242,mid_51_100,unknown,unknown
75,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,03726b574f193e374686d8e12bc6e4142adeb06770e0a2856f5e4ad89f66044755,2,"hashkeys frozen r,s; z from blockchain tx parse",True,28456534728803220962901898331089708785149605465540862583963590408002364357828,8235300171952886560581201686307287426905544159157327920602166151291662184063,8235300171952886560581201686307287426905544159157327920602166151291662184063,253,36,mid_51_100,unknown,unknown
80,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,037e1238f7b1ce757df94faa9a2eb261bf0aeb9f84dbf81212104e78931c2a19dc,3,"hashkeys frozen r,s; z from blockchain tx parse",True,19216273682850637628769399740789553956511070913142748993234289833204696593108,66843170464832548241310577357432546065878926684635502972687603089711661639814,48948918772483647182260407651255361786958637594439401409917560051806499854523,255,216,mid_51_100,unknown,unknown
85,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,0329c4574a4fd8c810b7e42a4b398882b381bcd85e40c6883712912d167c83e73a,4,"hashkeys frozen r,s; z from blockchain tx parse",True,53562576654151067358092959472985276791830609125667713991448892399456341632231,11300465011987917527694521106395062281999464664104386990155750190971858601744,11300465011987917527694521106395062281999464664104386990155750190971858601744,253,49,mid_51_100,unknown,unknown
90,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,035c38bd9ae4b10e8a250857006f3cfd98ab15a6196d9f4dfd25bc7ecc77d788d5,5,"hashkeys frozen r,s; z from blockchain tx parse",True,52431546502376253119483916864341410026854900577124289910502232283789686470604,2828323618732566412282741682780857811367163708805410899852579412860838950601,2828323618732566412282741682780857811367163708805410899852579412860838950601,251,12,mid_51_100,unknown,unknown
95,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,02967a5905d6f3b420959a02789f96ab4c3223a2c4d2762f817b7895c5bc88a045,6,"hashkeys frozen r,s; z from blockchain tx parse",True,25852664936062751983834039173915388728252212205358926745596855953611289011918,81121462214278078726157069692350691666348859269686313395859218043481650129200,34670627023038116697413915316337216186488705009388590986745945098036511365137,255,153,mid_51_100,unknown,unknown
100,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,03d2063d40402f030d4cc71331468827aa41a8a09bd6fd801ba77fb64f8e67e617,7,"hashkeys frozen r,s; z from blockchain tx parse",True,36052251626993798017815766153534944915943439897760245044831167743098700721420,12107164864847556103224566827231474081368335030183654868671403733078048742431,12107164864847556103224566827231474081368335030183654868671403733078048742431,253,53,mid_51_100,unknown,unknown
105,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,03bcf7ce887ffca5e62c9cabbdb7ffa71dc183c52c04ff4ee5ee82e0c55c39d77b,8,"hashkeys frozen r,s; z from blockchain tx parse",True,21440110428891090031540112319571154805166824374154670743070875319491083094431,525334796830037726410016499263146623378784129823598031601674611764225983151,525334796830037726410016499263146623378784129823598031601674611764225983151,249,2,late_gt_100,unknown,unknown
110,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,0309976ba5570966bf889196b7fdf5a0f9a1e9ab340556ec29f8bb60599616167d,9,"hashkeys frozen r,s; z from blockchain tx parse",True,23142018875421668674805744145115366215102447136300717062570926532185873127405,91808461286325083467446287269132135872868344114709590230942227665476695407802,23983627950991111956124697739555771979969220164365314151662935476041466086535,254,106,late_gt_100,unknown,unknown
115,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,0248d313b0398d4923cdca73b8cfa6532b91b96703902fc8b32fd438a3b7cd7f55,10,"hashkeys frozen r,s; z from blockchain tx parse",True,7579839113822506767959076721619428913967936976082942186464998787852593841818,71396278446561290368727045358794825158546572073240015435572676698333005885418,44395810790754905054843939649893082694290992205834888947032486443185155608919,255,196,late_gt_100,unknown,unknown
120,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,02ceb6cbbcdbdf5ef7150682150f4ce2c6f4807b349827dcdbdd1f2efa885a2630,11,"hashkeys frozen r,s; z from blockchain tx parse",True,10976594294804291513495419880246258022106887857042165878188703008731415727960,13573823780717044616572733108363070253080616936902949703105175145313273108987,13573823780717044616572733108363070253080616936902949703105175145313273108987,253,60,late_gt_100,unknown,unknown
125,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,0233709eb11e0d4439a729f21c2c443dedb727528229713f0065721ba8fa46f00e,12,"hashkeys frozen r,s; z from blockchain tx parse",True,49617208925115337899450496039618928207287792663597490151588320206246029460971,64622881401936118551478493969281891613757227410226785543857026718306428095650,51169207835380076872092491039406016239080336868848118838748136423211733398687,255,226,late_gt_100,unknown,unknown
130,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,03633cbe3ec02b9401c5effa144c5b4d22f87940259634858fc7e59b1c09937852,13,"hashkeys frozen r,s; z from blockchain tx parse",True,14191229409092100726003159092160662958229375891079344693646580391359224435843,32882115789541217663266522539770238397656470152456859134490538870103939684786,32882115789541217663266522539770238397656470152456859134490538870103939684786,255,145,late_gt_100,unknown,unknown
