puzzle,max_k,lead_a,d,d_over_N,d_over_p,x,y,x_over_p,y_over_p,x_over_N,y_over_N,x_dot_pfrac,y_dot_pfrac,x_dot_Nfrac,y_dot_Nfrac
23,10,1,5598802,0.000000000000000000000000000000000000000000000000000000000000000000000048352197778599886757502357582150602719743974195845311139243338310102846227427988801060,0.000000000000000000000000000000000000000000000000000000000000000000000048352197778599886757502357582150602719563405072406581091033481036188645607831372752991,112242605370855911626219397372182973708357660307191681275644769547017645510731,68390115887979834732633364824402183781075100352900279452463611034517340924735,0.969346059045660648238853485289867975589324835913608853759449832811541454241859108574039995438238437710242791488980441155701174370502526006054066994578072601,0.590628568311036430067234543809686981639498435664300426589353196285547371143933709304045074537035722847926152423256148129812898369056621594241725449824525193,0.969346059045660648238853485289867975592944815485005510649132221915155729776279051814384040589153595674076183282920603199196135292348122341395431530293796390,0.590628568311036430067234543809686981641704111678162978585292267709235753507786136809155514139585531551579909378205236601177079801114843693632881571870734593,x.969346059045660648238853485289867975589324835913608853759449832811541454241859108574039995438238437710242791488980441155701174370502526006054066994578072601,y.590628568311036430067234543809686981639498435664300426589353196285547371143933709304045074537035722847926152423256148129812898369056621594241725449824525193,x.969346059045660648238853485289867975592944815485005510649132221915155729776279051814384040589153595674076183282920603199196135292348122341395431530293796390,y.590628568311036430067234543809686981641704111678162978585292267709235753507786136809155514139585531551579909378205236601177079801114843693632881571870734593
24,10,3,14428676,0.000000000000000000000000000000000000000000000000000000000000000000000124608477962845890899641045850343418082637072470898692353709420985929042479691327491511,0.000000000000000000000000000000000000000000000000000000000000000000000124608477962845890899641045850343418082171727674333026749338269691142898490466699856172,50051642716414720463187965900760752759743717926024251995580996834432353782028,95977329040668870486165415718601595529707258475317259821694622043699258647209,0.432254422958322699849622261184894755884870101914942821387558927926774477041435022616536363275039932737056280427347635333085875036540726921507382464753103861,0.828876391062977358346817926841198593100776291453402677777244838560506537280845984205661861635189329520132756793882264720010501348268471232764430063705840951,0.432254422958322699849622261184894755886484336755176768471289195005154755720328578191604916919665952781713745015438283043375495622927670617250592112677293198,0.828876391062977358346817926841198593103871693322385390056434826147097463339275380942289266240854652414785582490864694773337846347545399953872316650788646149,x.432254422958322699849622261184894755884870101914942821387558927926774477041435022616536363275039932737056280427347635333085875036540726921507382464753103861,y.828876391062977358346817926841198593100776291453402677777244838560506537280845984205661861635189329520132756793882264720010501348268471232764430063705840951,x.432254422958322699849622261184894755886484336755176768471289195005154755720328578191604916919665952781713745015438283043375495622927670617250592112677293198,y.828876391062977358346817926841198593103871693322385390056434826147097463339275380942289266240854652414785582490864694773337846347545399953872316650788646149
25,10,9,33185509,0.000000000000000000000000000000000000000000000000000000000000000000000286595649310603687965760408220129425171936448792436727610506686373256777861751061961020,0.000000000000000000000000000000000000000000000000000000000000000000000286595649310603687965760408220129425170866170138003495829236576722621665227042944361444,2487269563521372588638256629682732896198248350279877738175192749508256023898,83166736743316151169117427554752633507423263386878521247276704816202397537877,0.021480479192526762262598313118058735940964079564533051219215052513230437198271603251534721418683054487937485553534921957120428534850031932649674976372355254,0.718241956692444702446686253768266472805950977093376581192896932223024348391176361584918537699219707313089194987580090899741021022463279379539940905943673631,0.021480479192526762262598313118058735941044297454867606171435418980699773020083199779609720315855684166304848890865536081184249935613761201751989327717210290,0.718241956692444702446686253768266472808633219607578765865474130329417854242050173994774928849458758087634375329475751558085952584878222695078725643409608225,x.021480479192526762262598313118058735940964079564533051219215052513230437198271603251534721418683054487937485553534921957120428534850031932649674976372355254,y.718241956692444702446686253768266472805950977093376581192896932223024348391176361584918537699219707313089194987580090899741021022463279379539940905943673631,x.021480479192526762262598313118058735941044297454867606171435418980699773020083199779609720315855684166304848890865536081184249935613761201751989327717210290,y.718241956692444702446686253768266472808633219607578765865474130329417854242050173994774928849458758087634375329475751558085952584878222695078725643409608225
26,11,1,54538862,0.000000000000000000000000000000000000000000000000000000000000000000000471006805035035312390587940928713925755713683748553422244661485173794739696977263378589,0.000000000000000000000000000000000000000000000000000000000000000000000471006805035035312390587940928713925753954729867940058250976630288463415704363425933966,35420539632094692837984746081431277047695579008914218444685265805648713712655,3358784347258280833624896144913156994018140069677567813380874750873563501770,0.305897750575172734666323186375945083600682147534254427419234925733891650808141980667654193454114057898375193574804299635228502092841768851147035877241323536,0.029007027763135384528140865452624181290594607188120637968855956444563054437629992275428663069103395820849797117639468530366423419333908481745408688972070999,0.305897750575172734666323186375945083601824509023925635009558239811513494007402491831216934472656157840359646304997303569152124854969501976645393006021739047,0.029007027763135384528140865452624181290702932637994406472049049530042428586419601100088487341606305360605207585430575349533843693236988913517515580126780134,x.305897750575172734666323186375945083600682147534254427419234925733891650808141980667654193454114057898375193574804299635228502092841768851147035877241323536,y.029007027763135384528140865452624181290594607188120637968855956444563054437629992275428663069103395820849797117639468530366423419333908481745408688972070999,x.305897750575172734666323186375945083601824509023925635009558239811513494007402491831216934472656157840359646304997303569152124854969501976645393006021739047,y.029007027763135384528140865452624181290702932637994406472049049530042428586419601100088487341606305360605207585430575349533843693236988913517515580126780134
27,11,2,111949941,0.000000000000000000000000000000000000000000000000000000000000000000000966818560208878325239769193245744826766472085694476251734734414337040913233337404685388,0.000000000000000000000000000000000000000000000000000000000000000000000966818560208878325239769193245744826762861544954620199312801887086904973718776144904993,11997413897869137388527643229179287173219648582998689290732186100840539639502,1470943697971973524954639516409046856461552667680474329056749594236581993569,0.103611688647230517080966512392058934910335066199914051218872127206301148369770200871591992441785294064680364958868316677544750361413390058607367425808097837,0.012703317710739897754025143730832466350605773119194883771270273881192817350633397252860159503027101927912561501023193913035204955776259144038838046513872467,0.103611688647230517080966512392058934910721999424391335410172102650684479010879833831409047837205326926259017351369961969105075990237007992812005333529535494,0.012703317710739897754025143730832466350653213091919499383236102919986272723308998447219957977976322303016666060685360863685923005371490140090326725030597322,x.103611688647230517080966512392058934910335066199914051218872127206301148369770200871591992441785294064680364958868316677544750361413390058607367425808097837,y.012703317710739897754025143730832466350605773119194883771270273881192817350633397252860159503027101927912561501023193913035204955776259144038838046513872467,x.103611688647230517080966512392058934910721999424391335410172102650684479010879833831409047837205326926259017351369961969105075990237007992812005333529535494,y.012703317710739897754025143730832466350653213091919499383236102919986272723308998447219957977976322303016666060685360863685923005371490140090326725030597322
28,11,5,227634408,0.000000000000000000000000000000000000000000000000000000000000000000001965889116427139286388603977568266178541786167404834723706511300839712106285523866241383,0.000000000000000000000000000000000000000000000000000000000000000000001965889116427139286388603977568266178534444642286237166801290805399445974203141082762790,105795941560543818913296116066690952042698430189737497838953392383707833745575,4504033619411268082483771859364632124471726090349020722551531509720449239959,0.913671583761778015666704123850759158550655784070579973710316349176408589690102730639467278865712135195133396864499079779536128773723719882164692276801585217,0.038897593515047812794534328543438536479066412897023689190720407908907402267905649889454957787006881674930425883737764637717500376502415708894855155156566810,0.913671583761778015666704123850759158554067849800170430262541151050538825608812607292670605481264988659858269498072392249409877698805879328004705956876041174,0.038897593515047812794534328543438536479211674223035157955101629095320867694585381479182199990727139676696640267234520209121599400269567951930417783310169054,x.913671583761778015666704123850759158550655784070579973710316349176408589690102730639467278865712135195133396864499079779536128773723719882164692276801585217,y.038897593515047812794534328543438536479066412897023689190720407908907402267905649889454957787006881674930425883737764637717500376502415708894855155156566810,x.913671583761778015666704123850759158554067849800170430262541151050538825608812607292670605481264988659858269498072392249409877698805879328004705956876041174,y.038897593515047812794534328543438536479211674223035157955101629095320867694585381479182199990727139676696640267234520209121599400269567951930417783310169054
29,11,10,400708894,0.000000000000000000000000000000000000000000000000000000000000000000003460589550109472971382809377637587854912890268879255601768392254469641994491811258393717,0.000000000000000000000000000000000000000000000000000000000000000000003460589550109472971382809377637587854899966851736859247265636381315346775412323406748948,49151630029556619633156338398973320854679402706053926415074712059863391894326,111171837080378547467348261794472043463254055018894513032574226962726028294900,0.424481761692892706353230442759268784420577268877529495016470544947002071584924346473928799011280313149335806960662864227367594892414716001189412021274730370,0.960098723605647801640656840863872527111706947821888687187869080112055913657869194906420036327222406361176191523599342537895798396232148080937993382086635915,0.424481761692892706353230442759268784422162477061355570648090321103295573588911919027795173954324449772604011862449419726832411911345554974282950853144612860,0.960098723605647801640656840863872527115292393632024009041731000112449585480119354656698279361599895344932519710365755465482688244310542932924641797199398926,x.424481761692892706353230442759268784420577268877529495016470544947002071584924346473928799011280313149335806960662864227367594892414716001189412021274730370,y.960098723605647801640656840863872527111706947821888687187869080112055913657869194906420036327222406361176191523599342537895798396232148080937993382086635915,x.424481761692892706353230442759268784422162477061355570648090321103295573588911919027795173954324449772604011862449419726832411911345554974282950853144612860,y.960098723605647801640656840863872527115292393632024009041731000112449585480119354656698279361599895344932519710365755465482688244310542932924641797199398926
30,12,2,1033162084,0.000000000000000000000000000000000000000000000000000000000000000000008922561902156645225986762595728142896960234051252708311215338851344072332377719174500567,0.000000000000000000000000000000000000000000000000000000000000000000008922561902156645225986762595728142896926913142265747960961495866637745094990769059891950,5951051142208904686425222322481077221567316087439359378589043642169505163867,79964921717795829095410138525196146121807237625496125940956045028689169447181,0.051394280744103420689678581749478177296709079590600740671997938576601467087603883717199183249708224393847379458480268517141827144304635397493836508109405298,0.690590542449817180219621312529331678252640875832467884172533484275489733710524437917886778438511228409183990336671537238851217094867355170037619308417428301,0.051394280744103420689678581749478177296901009237030050934539645061056738878107482347917184731538279056162259315864322029852682921344326327717079527347427378,0.690590542449817180219621312529331678255219855374953769601802481298869263368508630395499919753563024310775853752702045361736056244909966323842502955549824359,x.051394280744103420689678581749478177296709079590600740671997938576601467087603883717199183249708224393847379458480268517141827144304635397493836508109405298,y.690590542449817180219621312529331678252640875832467884172533484275489733710524437917886778438511228409183990336671537238851217094867355170037619308417428301,x.051394280744103420689678581749478177296901009237030050934539645061056738878107482347917184731538279056162259315864322029852682921344326327717079527347427378,y.690590542449817180219621312529331678255219855374953769601802481298869263368508630395499919753563024310775853752702045361736056244909966323842502955549824359
31,12,4,2102388551,0.000000000000000000000000000000000000000000000000000000000000000000018156581894736773104115750108009082856607394403407124221606329580181601624965152515181891,0.000000000000000000000000000000000000000000000000000000000000000000018156581894736773104115750108009082856539589459102665552888257039302090911966723240882956,61451719815341661281682897810187322803922811401468501217986913974289877761320,30947091983295757773862695542244568955870624650687256254668336429089021717649,0.530707410325727846399637838419189153698360658219151972719082361522428978501390045722140307074823350748342821549163903591446119839007777109514943353863545179,0.267264302657754195060689152872516145681545696221507319674199975873333051031398945354724321554835080039644361862702706713665392176434622171591077848863107752,0.530707410325727846399637838419189153700342561344295294758361483272043179816562733466032960522840652952456917125418401952702472829801383532725713074692003040,0.267264302657754195060689152872516145682543782825105993959990588690501567577129042125168301027191557243282187608554389828351175115529194146750028141405121138,x.530707410325727846399637838419189153698360658219151972719082361522428978501390045722140307074823350748342821549163903591446119839007777109514943353863545179,y.267264302657754195060689152872516145681545696221507319674199975873333051031398945354724321554835080039644361862702706713665392176434622171591077848863107752,x.530707410325727846399637838419189153700342561344295294758361483272043179816562733466032960522840652952456917125418401952702472829801383532725713074692003040,y.267264302657754195060689152872516145682543782825105993959990588690501567577129042125168301027191557243282187608554389828351175115529194146750028141405121138
32,12,6,3093472814,0.000000000000000000000000000000000000000000000000000000000000000000026715752642306325651061093734211293981684375553049559844877642680149763529514161154257019,0.000000000000000000000000000000000000000000000000000000000000000000026715752642306325651061093734211293981584606767797728899825093430564989682311833336431349,4419783485594778575869456570338791525369265264676694041444820246718062386793,36101104813710326932550768335617430651283103709568167696655528050073806182880,0.038169995158619347004697265965088027629394481492724177965988515761955613796744201902642614865106516966541982448490410479370799824002058266475418609779446656,0.311775226196333813653828847220850555458150832706723007276583522303119531081740053695412732154714558541394227526395940840567495850711699472503143141673573275,0.038169995158619347004697265965088027629537025635164440029647145762107640165499310501902262257650100329020439878478785184928939917374046482070625398472915057,0.311775226196333813653828847220850555459315143366643002940942114485169972422826547297278311055023943839307720228140113179288602607769227095145950553750891770,x.038169995158619347004697265965088027629394481492724177965988515761955613796744201902642614865106516966541982448490410479370799824002058266475418609779446656,y.311775226196333813653828847220850555458150832706723007276583522303119531081740053695412732154714558541394227526395940840567495850711699472503143141673573275,x.038169995158619347004697265965088027629537025635164440029647145762107640165499310501902262257650100329020439878478785184928939917374046482070625398472915057,y.311775226196333813653828847220850555459315143366643002940942114485169972422826547297278311055023943839307720228140113179288602607769227095145950553750891770
33,13,1,7137437912,0.000000000000000000000000000000000000000000000000000000000000000000061640116859553349809817185432923394387862073414808388761144136522057766515542200191862339,0.000000000000000000000000000000000000000000000000000000000000000000061640116859553349809817185432923394387631881150933331265768050166629554527069884591418479,73878352155540948447620718403427774498001293452248256430485902449521386501497,1848435387922639343210666794185885301104293211960891296513791058289918232927,0.638025901787876621291709158366389781655148105948027492927303298730332588304124935883138927863932940617926656460469266393873446930221025837250057311875052424,0.015963399573301299456205042965700668097543258394517178706732551557899207506189805155125941118314520142217000375751502996817319653179207057977923752897131270,0.638025901787876621291709158366389781657530785187233280460893587853213198710118933676878481477289006343142269153010572562915503445236972073252829349852068082,0.015963399573301299456205042965700668097602872997378705141299259203234915775383118753600152254019611132136343257721297247143547771917010277782010305281735748,x.638025901787876621291709158366389781655148105948027492927303298730332588304124935883138927863932940617926656460469266393873446930221025837250057311875052424,y.015963399573301299456205042965700668097543258394517178706732551557899207506189805155125941118314520142217000375751502996817319653179207057977923752897131270,x.638025901787876621291709158366389781657530785187233280460893587853213198710118933676878481477289006343142269153010572562915503445236972073252829349852068082,y.015963399573301299456205042965700668097602872997378705141299259203234915775383118753600152254019611132136343257721297247143547771917010277782010305281735748
34,13,2,14133072157,0.000000000000000000000000000000000000000000000000000000000000000000122055593349164215840426144879949411227470097330791092798252550227396140785710049801149106,0.000000000000000000000000000000000000000000000000000000000000000000122055593349164215840426144879949411227014286167816261443295900299268532203778936173557825,27530330645108713416987374469727331790531665526622602610141848066918764259216,90457806451997906746295114102505195833866791735127929013755472762572742813627,0.237756575828640827132832661278617500907073538668075969982755819941648929445016753918590687464665338834808972885573727119644906325903245810556253684199021394,0.781208863643563692811806291993198625555107479724903140133266754908018083616806660420569641655233796641876050770499251341868752978019984833763887097849484348,0.237756575828640827132832661278617500907961429983497677682461149841128042992295143804947659882218347518199630913265351351230712998790514837115447942309156402,0.781208863643563692811806291993198625558024869341329575896606353672477077409456448072680642311726632470677966599707576784968412446127810892622855073480920812,x.237756575828640827132832661278617500907073538668075969982755819941648929445016753918590687464665338834808972885573727119644906325903245810556253684199021394,y.781208863643563692811806291993198625555107479724903140133266754908018083616806660420569641655233796641876050770499251341868752978019984833763887097849484348,x.237756575828640827132832661278617500907961429983497677682461149841128042992295143804947659882218347518199630913265351351230712998790514837115447942309156402,y.781208863643563692811806291993198625558024869341329575896606353672477077409456448072680642311726632470677966599707576784968412446127810892622855073480920812
35,13,3,20112871792,0.000000000000000000000000000000000000000000000000000000000000000000173698150922716453201839163483104810660876569677869130218920176730875727433574184739545660,0.000000000000000000000000000000000000000000000000000000000000000000173698150922716453201839163483104810660227901689732203850217936776532826386151235806566016,111565932824107072002273648098027536630611694584547792392039443258564110295357,65073319313695146178520529869101114308349376191091055110226007524833442301678,0.963502200875332643910608257556081713754417841054249062854428506432394713427505674432058744828709384364207539400352276909858349069794011478589637803339497451,0.561984154032554027548295810058071202699725739744991530809294491627866146856732663691793454370064614319267289990657172943530122652583151677428318441385701231,0.963502200875332643910608257556081713758015996998265881869647583732133187437214820312370513702171219308342667471168076957387759307645500299335852242082520024,0.561984154032554027548295810058071202701824444472846260259359909453313195245582063621278285060601654519331275864356172339659692068574548156386228669626914438,x.963502200875332643910608257556081713754417841054249062854428506432394713427505674432058744828709384364207539400352276909858349069794011478589637803339497451,y.561984154032554027548295810058071202699725739744991530809294491627866146856732663691793454370064614319267289990657172943530122652583151677428318441385701231,x.963502200875332643910608257556081713758015996998265881869647583732133187437214820312370513702171219308342667471168076957387759307645500299335852242082520024,y.561984154032554027548295810058071202701824444472846260259359909453313195245582063621278285060601654519331275864356172339659692068574548156386228669626914438
36,13,6,42387769980,0.000000000000000000000000000000000000000000000000000000000000000000366067926221852275956723951391727855673922739669048221428758933703310343182618059419382971,0.000000000000000000000000000000000000000000000000000000000000000000366067926221852275956723951391727855672555675345321267714940559541247639390086221102555321,81372929267933625950466299134420767116313809747786657449875828371774815844854,49801825835509570606281703408037944345584045565504136549095842398335950992396,0.702750332979652786081849138803881716270656427354988394227673313276041633255343293250815562041264724823729314378703407444579487702078082673647457697054408585,0.430096962266917870856113373706565115688999364896384187122694007021511259329934088135352886446017747842156702708758648467268603082530293154185117918320860876,0.702750332979652786081849138803881716273280817092212992640116469286274136836450506725646526272807553358553250754662133210838148368903860336054843148586763411,0.430096962266917870856113373706565115690605542796007403459373692228753581649536748853023628781160788857455431518868106209602735047421281463787759179404628933,x.702750332979652786081849138803881716270656427354988394227673313276041633255343293250815562041264724823729314378703407444579487702078082673647457697054408585,y.430096962266917870856113373706565115688999364896384187122694007021511259329934088135352886446017747842156702708758648467268603082530293154185117918320860876,x.702750332979652786081849138803881716273280817092212992640116469286274136836450506725646526272807553358553250754662133210838148368903860336054843148586763411,y.430096962266917870856113373706565115690605542796007403459373692228753581649536748853023628781160788857455431518868106209602735047421281463787759179404628933
37,14,1,100251560595,0.000000000000000000000000000000000000000000000000000000000000000000865789375209684311309791929059525383997180974069256710082350119372923062692869683601684547,0.000000000000000000000000000000000000000000000000000000000000000000865789375209684311309791929059525383993947722309325946287174333950950469940620774245727199,56616873331361319339778585167167551785831939866134116855199265267823699497557,43995996907931450546017529821179402661741047506605583961822715323191270746432,0.488952861152067880817836132905138175062330181159433588544124889015880599845176400017422861967510109016183454511796911695981683516342110895384000610898111821,0.379956845046310008747522852254108936671142942291971327176014255168714696035943778922072501171340596149032640841918823738231621949480891849372803480107002875,0.488952861152067880817836132905138175064156153785235595008269592181301654694637053387037862904394815600681638024681448290903632871260014252474301647520065585,0.379956845046310008747522852254108936672561874162839105606769576281237821973797136313715249446298038543337927628905627512224688387985355933047283134199218867,x.488952861152067880817836132905138175062330181159433588544124889015880599845176400017422861967510109016183454511796911695981683516342110895384000610898111821,y.379956845046310008747522852254108936671142942291971327176014255168714696035943778922072501171340596149032640841918823738231621949480891849372803480107002875,x.488952861152067880817836132905138175064156153785235595008269592181301654694637053387037862904394815600681638024681448290903632871260014252474301647520065585,y.379956845046310008747522852254108936672561874162839105606769576281237821973797136313715249446298038543337927628905627512224688387985355933047283134199218867
38,14,1,146971536592,0.000000000000000000000000000000000000000000000000000000000000000001269270962809742936275887944940956289163236389569801346872585868125987650143330985828754247,0.000000000000000000000000000000000000000000000000000000000000000001269270962809742936275887944940956289158496353838432265031419675353287650494928858411466070,87015243271585780626985033128071698022561841908393138262300130220799103430854,25209357855024485003220583383100568569907435221588726049011254238934071668031,0.751478307755962565689583521092941054015388458354716854739295412473768120709345723673717206279442920661807629004760766056275246848055689815087214554203418841,0.217712263601685594498730950161126535527810796933504032659475349966777494260252172058706243970548027370884300061095916595908753771773573703856164353835271603,0.751478307755962565689583521092941054018194820537797824043553781653212660182933933761316518918183578404207840427547445315882846380681479019997001547726282397,0.217712263601685594498730950161126535528623833659992134076105662912342646900303871754608484104153070757508997196069377812591721300272229455924240671848271617,x.751478307755962565689583521092941054015388458354716854739295412473768120709345723673717206279442920661807629004760766056275246848055689815087214554203418841,y.217712263601685594498730950161126535527810796933504032659475349966777494260252172058706243970548027370884300061095916595908753771773573703856164353835271603,x.751478307755962565689583521092941054018194820537797824043553781653212660182933933761316518918183578404207840427547445315882846380681479019997001547726282397,y.217712263601685594498730950161126535528623833659992134076105662912342646900303871754608484104153070757508997196069377812591721300272229455924240671848271617
39,14,3,323724968937,0.000000000000000000000000000000000000000000000000000000000000000002795743397232645259454463358408811437001155919273971985972829504619421434844349436187890081,0.000000000000000000000000000000000000000000000000000000000000000002795743397232645259454463358408811436990715340400815870882589742889130187541426295910470431,20565748395003466184666204343636157310765094829742621599321518588759629653315,24311842649879211620913578563307151382181113982951839068539255115674165497966,0.177609269600912978182976166563519893399611134056953950258496602671050571598808183918073651946118211944466012742689310439247596085451836895642948400588720808,0.209961171009290844820244201693679158573071912576265768847735387654643350209597369010734092170555293843123137477015164202843786764566644126026308768738385058,0.177609269600912978182976166563519893400274407943143753944309567326634913823555234502984644680518254992423722410385481513973094192150332470014712107054055466,0.209961171009290844820244201693679158573856003193592300701544781891294010685865335538537718310614049148622009238090517489791770178786599540354907743966897537,x.177609269600912978182976166563519893399611134056953950258496602671050571598808183918073651946118211944466012742689310439247596085451836895642948400588720808,y.209961171009290844820244201693679158573071912576265768847735387654643350209597369010734092170555293843123137477015164202843786764566644126026308768738385058,x.177609269600912978182976166563519893400274407943143753944309567326634913823555234502984644680518254992423722410385481513973094192150332470014712107054055466,y.209961171009290844820244201693679158573856003193592300701544781891294010685865335538537718310614049148622009238090517489791770178786599540354907743966897537
40,14,11,1003651412950,0.000000000000000000000000000000000000000000000000000000000000000008667702772794899268964545486745485573407516923068271845393702204294702130201189112342417601,0.000000000000000000000000000000000000000000000000000000000000000008667702772794899268964545486745485573375147774119188742322822957076846840993264067719793622,73698089885969865917178217585365130397293864653143545863290470632977971667156,55920112788027504860697624221258924004816541552996850637631037640326076931751,0.636469126443736880202470868101802290058393013274367049380930771928677392828949180639079689331467303981950024871356829700405732710941963181387161592123666627,0.482935519657297872056894279592759818463939160835672292075997837464468861830468809049649673116829427373454381593280100042835821658883907317959409830217046292,0.636469126443736880202470868101802290060769878805567887564123964940440101907569410653060902299873806277959679817346398258683000644575348805695580979547167046,0.482935519657297872056894279592759818465742661968366222890476786824231979874175285321123485400852587508239608144532799145585687926765686939102044950524601675,x.636469126443736880202470868101802290058393013274367049380930771928677392828949180639079689331467303981950024871356829700405732710941963181387161592123666627,y.482935519657297872056894279592759818463939160835672292075997837464468861830468809049649673116829427373454381593280100042835821658883907317959409830217046292,x.636469126443736880202470868101802290060769878805567887564123964940440101907569410653060902299873806277959679817346398258683000644575348805695580979547167046,y.482935519657297872056894279592759818465742661968366222890476786824231979874175285321123485400852587508239608144532799145585687926765686939102044950524601675
41,15,1,1458252205147,0.000000000000000000000000000000000000000000000000000000000000000012593711839487654635818929940766333873339651233666932857154427118468776002349773137770082170,0.000000000000000000000000000000000000000000000000000000000000000012593711839487654635818929940766333873292620579174062965283402926238452255661728257148136554,81119306557295043947776230900539651493257160932663731932698523086255548483211,69833235478127881789123626297864036834549011744885041054439092651501655231589,0.700560004501178046918532514117153724558322654245612684845327415546092799008019260713029506236438175190380770103163806609122024924743966304188602072194582652,0.603091592336713776740235286551156227669915841698079731332407859786305459919093898157438830180570877810429242901865246841638765005981943886894998536498639903,0.700560004501178046918532514117153724560938864298943449643676894190140257172879952868715331925479705666961809417311282242654003279883332151522436502886310253,0.603091592336713776740235286551156227672168060318630337705785429682992989842124379869695267798451526577714764111203652056599423880586071458947755166374844552,x.700560004501178046918532514117153724558322654245612684845327415546092799008019260713029506236438175190380770103163806609122024924743966304188602072194582652,y.603091592336713776740235286551156227669915841698079731332407859786305459919093898157438830180570877810429242901865246841638765005981943886894998536498639903,x.700560004501178046918532514117153724560938864298943449643676894190140257172879952868715331925479705666961809417311282242654003279883332151522436502886310253,y.603091592336713776740235286551156227672168060318630337705785429682992989842124379869695267798451526577714764111203652056599423880586071458947755166374844552
42,15,2,2895374552463,0.000000000000000000000000000000000000000000000000000000000000000025004942665201610965925544213223953286210946538426727370205924291673134914798169499551896778,0.000000000000000000000000000000000000000000000000000000000000000025004942665201610965925544213223953286117566696638243116442943225587134048322636073335462128,108004735110291605052926238280029015934272711127582669764909355573652864904374,18403329601810133637568039936681058795765401650711307099623243826143290446421,0.932747097160805283186004344649420476262119207744705799526370144343000098458196141113414885213104425645220338812788589141712738236698456438878844283036136327,0.158934256416191442771217391240138231301638665344227297206668131419686894440537893830944780856415238705905719602977791179452139192552362204986395979949750808,0.932747097160805283186004344649420476265602510127268638155151865841430009912692712803772272444078337782093353759139095820969653088706626310973385849736152257,0.158934256416191442771217391240138231302232198227610722576394103908635869759849053836124252284564076470876743670596621031661139316625788273588766367703911443,x.932747097160805283186004344649420476262119207744705799526370144343000098458196141113414885213104425645220338812788589141712738236698456438878844283036136327,y.158934256416191442771217391240138231301638665344227297206668131419686894440537893830944780856415238705905719602977791179452139192552362204986395979949750808,x.932747097160805283186004344649420476265602510127268638155151865841430009912692712803772272444078337782093353759139095820969653088706626310973385849736152257,y.158934256416191442771217391240138231302232198227610722576394103908635869759849053836124252284564076470876743670596621031661139316625788273588766367703911443
43,15,5,7409811047825,0.000000000000000000000000000000000000000000000000000000000000000063992377170417682971470483491951169385118707939992574606905160268434950153260114208846290661,0.000000000000000000000000000000000000000000000000000000000000000063992377170417682971470483491951169384879731265026684035009030472754395468125604042570112878,75172231921983061963707078453586218075235954430194816683547821744757539658477,89836151575228064517341400809867031783033609174401477513286549833346046540900,0.649200065540896946256911273549215219069447264873324679211811542438778710365715943227365056758531979307658492344953997366875397992224284611226173059037011396,0.775840147344682869419848996224549721204738551058437526098669590261328478533520323028365146038333458851109543396942919518220231908941959527664183663630541296,0.649200065540896946256911273549215219071871673528084287223456791847665442835634468454984878412075476601337199195642516350217607287777866639541202241436816162,0.775840147344682869419848996224549721207635891443585602284695030928990908941007861572212765077268166848673335782096004540371355762944603970041631972330401008,x.649200065540896946256911273549215219069447264873324679211811542438778710365715943227365056758531979307658492344953997366875397992224284611226173059037011396,y.775840147344682869419848996224549721204738551058437526098669590261328478533520323028365146038333458851109543396942919518220231908941959527664183663630541296,x.649200065540896946256911273549215219071871673528084287223456791847665442835634468454984878412075476601337199195642516350217607287777866639541202241436816162,y.775840147344682869419848996224549721207635891443585602284695030928990908941007861572212765077268166848673335782096004540371355762944603970041631972330401008
44,15,11,15404761757071,0.000000000000000000000000000000000000000000000000000000000000000133038119085138016055717570094215737220202617509326905915495296495102275329820863183971404372,0.000000000000000000000000000000000000000000000000000000000000000133038119085138016055717570094215737219705792594415326369179115734102930957500576824871849781,42641850349376588048456683523298482342861890575005255055023690152751482106678,53863954730306949225788464513829000943283845993231532239006941853900022216012,0.368262207118329147139298175681250450455710069297416568004266017443622045314814900866288157093013683498506745135721840443952308195264058885255993541833683072,0.465178192094907541428067187518437496383459849434795587772537286480308805208917120309939136288443131881060019854473615134770533940144040948654151529102290788,0.368262207118329147139298175681250450457085328065165889226945729024928842401052077306264576685148719274296372294413345931745400439362721068703779017445408656,0.465178192094907541428067187518437496385197036620660521520526104375866209730837622292902883076281130084475203351415032914491505408623406461946759655888543735,x.368262207118329147139298175681250450455710069297416568004266017443622045314814900866288157093013683498506745135721840443952308195264058885255993541833683072,y.465178192094907541428067187518437496383459849434795587772537286480308805208917120309939136288443131881060019854473615134770533940144040948654151529102290788,x.368262207118329147139298175681250450457085328065165889226945729024928842401052077306264576685148719274296372294413345931745400439362721068703779017445408656,y.465178192094907541428067187518437496385197036620660521520526104375866209730837622292902883076281130084475203351415032914491505408623406461946759655888543735
