family,label,d,d_net,tau,Delta_plus_num,Delta_plus_den,Delta_minus_num,Delta_minus_den,first_diff_Phi_plus,same_x,y_parity_flip
negation,d->-d,13,115792089237316195423570985008687907852837564279074904382605163141518161494324,0,106121911885775912886981228915325264358288468144609140877387790763280702120237,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-106121911885775912886981228915325264358288468144609140877387790763280702120237,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,13,27166687771763178043756939250423634450709291104974013321595414491471327762886,0,-554980087850978713047894543649751857302435056924994835408317212748433892400,115792089237316195423570985008687907853269984665640564039457584007908834671663,-554980087850978713047894543649751857302435056924994835408317212748433892400,115792089237316195423570985008687907853269984665640564039457584007908834671663,3,False,False
add_constant_+1,d->d+1,14,15,1,7434366906031571053576496767183657358436965036081427554268569586480882160198274140143187293869716413583616245621462761721794413788070078428119742310344627,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,7434366906031571053576496767183657358436965036081427554268569586480882160198377849846445165544462839442152053423965072478539249370234939354551233574801337,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double,d->2d,14,28,0,643943880485900973779135977198872313260415893839040624224190927719220789426670589729135136190142455407289510936388962279568300671961113186941254673581993,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,643943880485900973779135977198872313260415893839040624224190927719220789426740420998058818407102564531212504819906415991495387982417850756210481304567503,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,14,29,1,6425092886504407449554695165434935886944449375732430649384968303495116962495742002994857719553440631046598061930032412897936306837572776237025195230446464,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,6425092886504407449554695165434935886944449375732430649384968303495116962495895483069259906394780328883449065680031815658449203206087992453456304106436914,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,14,115792089237316195423570985008687907852837564279074904382605163141518161494323,0,-67631244517146805810835761062672619291715957574974592561353153491023731786375,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,67631244517146805810835761062672619291715957574974592561353153491023731786375,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,76,True,True
glv_lambda,d->lambda*d,14,64884768134919174946683160733898654901636948660456600310212035034359325742904,0,22365540205379298121205369885897612264863090353800952777216522699254414217332,115792089237316195423570985008687907853269984665640564039457584007908834671663,22365540205379298121205369885897612264863090353800952777216522699254414217332,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,15,16,1,758916165883154535446170295944606946121850121610941588905516645115439025912345953426043655334313435675455829887327055555542137715485663875845035245824013,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,758916165883154535446170295944606946121850121610941588905516645115439025912201421250260086006293932979634921867179858524204764071392795851713838652845691,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2,False,True
double,d->2d,15,30,0,-5572798018368498566476831111688756933398980302842602993488851128214979392701655057804821622242521598552981609793640495191283416029905275956687257553391343,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-5572798018368498566476831111688756933398980302842602993488851128214979392701731590638904106985527484804056889894775537126992923000332304195536246226487861,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,15,31,1,-5731286069761092588325778272989527486008281321705383768532045085181789383057012565227721755726232130265068884179821210967181143856784658994477104395032668,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-5731286069761092588325778272989527486008281321705383768532045085181789383057135610759913590111814899767173894185235388854911646542365481356020927723722416,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
negation,d->-d,15,115792089237316195423570985008687907852837564279074904382605163141518161494322,0,36078458740724868935590097473135183210594799169860989603507772940467532670335,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-36078458740724868935590097473135183210594799169860989603507772940467532670335,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,15,102602848498075171849609382217373675352564606215939187298828655577247323722922,0,-39441743114152654358382238515243989380159789776819396354246779775194644632666,115792089237316195423570985008687907853269984665640564039457584007908834671663,-39441743114152654358382238515243989380159789776819396354246779775194644632666,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,16,17,1,-370280157008032123124230207776305758631674676710013419438324679874277929313972934303693054839502435303032488082903014412655507184399052574592665013770996,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-370280157008032123124230207776305758631674676710013419438324679874277929313808456226978111928156595324028444568396666934268852752723077815944813942137248,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2,False,False
double,d->2d,16,32,0,-998017106430490988300806180159830765174936577981237757595695699453700095456410448654541129807374347624984260533065817066380316460957460126899106617576115,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-998017106430490988300806180159830765174936577981237757595695699453700095456321004632981357952945504020450591733853953173326889608192356608788591209828323,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2,False,False
double_and_add_+1,d->2d+1,16,33,1,-10865980903506247889363814690580701847649592096389760146821706162185042257549388064397443538351091164334450039446879939378016015710275618038460711028563478,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-10865980903506247889363814690580701847649592096389760146821706162185042257549331865526648362912436905613580300501119236323015119491909029976072568692937984,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,16,115792089237316195423570985008687907852837564279074904382605163141518161494321,0,-108453717042844459083912598347772836936602232167512654489360251190729060307987,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,108453717042844459083912598347772836936602232167512654489360251190729060307987,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,16,24528839623914973328964618692160787950654699492346869904840112978617160208603,0,-60414405698758828699277497984990074546902724902012229003010296207208345510849,115792089237316195423570985008687907853269984665640564039457584007908834671663,-60414405698758828699277497984990074546902724902012229003010296207208345510849,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,17,18,1,-7174571542764172903440161992528093032372274924703146994050822439127224243607457684242650153745116718863119669403734974262057499687753512765122351270854455,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-7174571542764172903440161992528093032372274924703146994050822439127224243607572702768060223701192815563182204418629470664492650983567910676303628505211641,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double,d->2d,17,34,0,-10217760874666985634299768962963356227206461420845549495223507544082241471149825884599021898852478324091417579816737726845020742306802261773980740039780715,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-10217760874666985634299768962963356227206461420845549495223507544082241471149938661070835830873622556788782885224094378932946577721153351993472977733480303,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,17,35,1,-6632310767872733318523902981032276861478144093482119166466659060175034197572879612864880140147998323286756617024736178042573060806907121588348090092990595,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-6632310767872733318523902981032276861478144093482119166466659060175034197572822188598154612076213637540200496627111013822155315450433959365943045706150439,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
negation,d->-d,17,115792089237316195423570985008687907852837564279074904382605163141518161494320,0,56024359672098452261927380656270677569745246219141777186614507457122011325761,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-56024359672098452261927380656270677569745246219141777186614507457122011325761,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,17,62246919987070970231890840175635808401582357047829456893456733521505158188621,0,-12701104605284685594028620885988305470371054556639522857891005155502971293035,115792089237316195423570985008687907853269984665640564039457584007908834671663,-12701104605284685594028620885988305470371054556639522857891005155502971293035,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,18,19,1,-2236280723175978931033386127331088603889306374133895780775504012374940825822652312547072779288729534313631359080421519829066706123016867578422014949263230,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-2236280723175978931033386127331088603889306374133895780775504012374940825822598663476764391064554162849221589627571305848990506524822237707554771327648706,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,18,36,0,7239069706557912193481277036597021197911665665720672140257551699971303123877819879013174050444416425847793740656578379350288674425524356381037529956882839,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,7239069706557912193481277036597021197911665665720672140257551699971303123877887169072619991964249186806145638642650349853761868233463984378893194853420271,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,18,37,1,671037577895881968057756645245456660624432602497865430302351346011475068016275035873667694267996376789994228054533448547536766431858606615988271603930902,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,671037577895881968057756645245456660624432602497865430302351346011475068016333139455443551374722122155947224414798644985479521265235651383132690149659752,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2,False,True
negation,d->-d,18,115792089237316195423570985008687907852837564279074904382605163141518161494319,0,-58994165737971503814169319406264337324751156216009518627783403724155223031425,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,58994165737971503814169319406264337324751156216009518627783403724155223031425,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,18,99965000350226967134817061659110828852510014603312043882073354064393156168639,0,-10623406373485818904626546265681646164352453198583550514618342565105602474114,115792089237316195423570985008687907853269984665640564039457584007908834671663,-10623406373485818904626546265681646164352453198583550514618342565105602474114,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,19,20,1,1758316735183237542638324534266510100789860261977851420027952333072982883197198343303175332013198072174220490488388721157696057707256439508000308848102309,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1758316735183237542638324534266510100789860261977851420027952333072982883197302539421752744758383706956774456703254222269203769099399421007185739384064549,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,19,38,0,7295366649804256496773568090525906938219091744289017375500431673434846586565792218271040542524456875342574390023868048698857892787777789764193007814580495,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,7295366649804256496773568090525906938219091744289017375500431673434846586565720650967084863716265825755503284603940209949920887518764939100818532358814203,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,19,39,1,4476241907345663200473624959486192585512402415147664522541547390655878987331904970498422772211251195793215751471368736278160591126369721084223284892663437,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,4476241907345663200473624959486192585512402415147664522541547390655878987332000579610727090820136247634349011863051483085788574353018240408579634561911437,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
negation,d->-d,19,115792089237316195423570985008687907852837564279074904382605163141518161494318,0,-5345095429583279638797854996494884474537176139809920433153532856911601416901,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,5345095429583279638797854996494884474537176139809920433153532856911601416901,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,19,21890991476066768614172298133897941450600107879719726488084811465762992654320,0,18838964764235399307292063615136055961475294246399274544200698370021855792125,115792089237316195423570985008687907853269984665640564039457584007908834671663,18838964764235399307292063615136055961475294246399274544200698370021855792125,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,20,21,1,-1241710296912616359987005200341912814978745516576672184931691587883667107163744607357479032206849904452661817946776240951522035881194586384458737301126220,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-1241710296912616359987005200341912814978745516576672184931691587883667107163773006072095424783457329957850409456890008126130459432415211155278623628621552,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,20,40,0,3613226759503416504046995984576646707675934343193929640957096552492186990473816664882415911894430666263297034560147187021214609410975365930614835897414059,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,3613226759503416504046995984576646707675934343193929640957096552492186990473620457179976454213051647057856380786129824319533893607694235237506325269608685,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,20,41,1,2393331144055107433211093746384309731539361220731070374757168167012186812615416544394063482168666170323561880879938596739903526202066874496855906145665561,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2393331144055107433211093746384309731539361220731070374757168167012186812615421674975589642516825118964481588065361059570300041036522480850092676602800799,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,20,115792089237316195423570985008687907852837564279074904382605163141518161494317,0,98851023147829465546836927557471330390963935367901471709827966328518934545339,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-98851023147829465546836927557471330390963935367901471709827966328518934545339,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,20,59609071839222765517098519617372961901527765435202313476701432008650990634338,0,51492320912520748756088779378848493830713089833423252332996572112558677262481,115792089237316195423570985008687907853269984665640564039457584007908834671663,51492320912520748756088779378848493830713089833423252332996572112558677262481,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,21,22,1,678333880895131570270742592498276404656756025773451364787753847073994624605772334382043637682476430497980444294508458240846663255292801423800629264034078,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,678333880895131570270742592498276404656756025773451364787753847073994624605778263073293931790760928291645949783893696871650914419193361387616591376223540,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2,False,True
double,d->2d,21,42,0,10547145369382980426049501972851764231312622824062405701260019957172912325247933783580514299796777439076387291127476924035628477918603008733292470524421422,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,10547145369382980426049501972851764231312622824062405701260019957172912325247972164289708619423228928945845909737024440834342507467024418908068886350097630,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,21,43,1,8379302605717732306320800101141842492818309310753691098504026990289978696166628122598897735415263956208179400583338849256863758766529608565475058681685875,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,8379302605717732306320800101141842492818309310753691098504026990289978696166457429089760734761309816243736342838200611932878078763442589904270397608732709,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,21,115792089237316195423570985008687907852837564279074904382605163141518161494316,0,70452308531436888939411422368879820277196760759477920489203195508632607050007,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-70452308531436888939411422368879820277196760759477920489203195508632607050007,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,21,97327152202378762420024741100847982352455422990684900465318052551538988614356,0,23016659916541056988544337436995668164958570117001988221791229341960806163040,115792089237316195423570985008687907853269984665640564039457584007908834671663,23016659916541056988544337436995668164958570117001988221791229341960806163040,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,22,23,1,-968373381206542032154744617400659062878358084841911549018748320784288988681082405899722179642722933311083421041889499369267394962742350856567944679877581,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-968373381206542032154744617400659062878358084841911549018748320784288988681045588768229953936137359444389726481752427051599524289012572408795932191463321,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,22,44,0,1408574944555380579330907067472324132685042123469405935034197717795365649085917102375171812985838271925915581910314574442753840747460405062762039520532014,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1408574944555380579330907067472324132685042123469405935034197717795365649085758246149136226314101561428313783066008892208623890392295534006163831236128352,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,22,45,1,-3223457930538187395774344527354740439541657904995230425937895589292227699887258665752361153451382379499923876442923031187064148924685620644461733451395838,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-3223457930538187395774344527354740439541657904995230425937895589292227699887325602060896448101916621422012107455360657520581881643017317532440253552549168,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,22,115792089237316195423570985008687907852837564279074904382605163141518161494315,0,76380999781730997223909216034385309662435391563729084389763159324594719239469,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-76380999781730997223909216034385309662435391563729084389763159324594719239469,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,22,19253143328218563899379977575635094950545516267092583071329509952908825100037,0,29245523774166202228123007240789779334251084211746085786565246782221603607514,115792089237316195423570985008687907853269984665640564039457584007908834671663,29245523774166202228123007240789779334251084211746085786565246782221603607514,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,23,24,1,10831793296267613835868993481412094869384327569756401010662397176500123126369197449918353709012601270817668120905485498010645308893627642955690253235514521,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,10831793296267613835868993481412094869384327569756401010662397176500123126369105673509861408994878088178453909846035090715344821583649830014644666253007849,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,23,46,0,10530216228171076388759564242706292523588579315675484601689292930646030289958950200208796668742959514584896406910023495919763955966557770220305906270126660,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,10530216228171076388759564242706292523588579315675484601689292930646030289958781315947766034665836050379127016395707288261978708373687434618023179787794700,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,23,47,1,3787338725267312725240805973446454386088440518662773495258986445344097720945941137056687146397246402231523639549685089215317777764164251038865561219872810,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,3787338725267312725240805973446454386088440518662773495258986445344097720945808436630864056905604652528823289462328789560686954349444007904351444305441100,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,23,115792089237316195423570985008687907852837564279074904382605163141518161494314,0,113198131273956703809483082728079869799507709231599758119541607096607207653729,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-113198131273956703809483082728079869799507709231599758119541607096607207653729,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,23,56971223691374560802306199059110115401473173822575170059946130495796823080055,0,62981387573605838290815571673915025657034797022455516321745598625697771709629,115792089237316195423570985008687907853269984665640564039457584007908834671663,62981387573605838290815571673915025657034797022455516321745598625697771709629,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,24,25,1,-5665136772366826451075469630709005853608824839356931873707671677719995455478545970780612214460966903190967830309334477516607953724386797260805241984642275,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-5665136772366826451075469630709005853608824839356931873707671677719995455478555637441895686126784980633588735009287395125081708535366000559008577239828841,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double,d->2d,24,48,0,-7524004065648629280378339056394712391608602722636005393874924238860199984106040251359897546183919626206119141326939563257931246805797666736805737654797404,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-7524004065648629280378339056394712391608602722636005393874924238860199984106138570293540029279293545688078877108143633004489184413254361943748434395252142,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,24,49,1,-607209673029963948464369138606973260109287125974350710139501565101134455168456019873567661920050065673166109410935867596570405647657976545450607681236362,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-607209673029963948464369138606973260109287125974350710139501565101134455168565073188512509385117343717471444939296022467589364958953269367053630379612794,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2,False,False
negation,d->-d,24,115792089237316195423570985008687907852837564279074904382605163141518161494313,0,21421722781656686086300443513868810349100413931112448141728666051020225147057,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-21421722781656686086300443513868810349100413931112448141728666051020225147057,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,24,94689304054530557705232420542585135852400831378057757048562751038684821060073,0,-8046300781764760428700387902345904488871256701299543318354255928964162806489,115792089237316195423570985008687907853269984665640564039457584007908834671663,-8046300781764760428700387902345904488871256701299543318354255928964162806489,115792089237316195423570985008687907853269984665640564039457584007908834671663,2,False,False
add_constant_+1,d->d+1,25,26,1,-2291445267343580778385895597498892873105157043196383918143108139559990433463849447200771783224662675280149450872925187490272173040510907879634789026786804,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-2291445267343580778385895597498892873105157043196383918143108139559990433463803154306065980492762926733026840588201276970748515027172432104340773302001848,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,25,50,0,-5490025996144114562720955914330204475051482802493252912503604270321023300962597265033379625013339355090989595016338254494098358004992320874903342072988980,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-5490025996144114562720955914330204475051482802493252912503604270321023300962670184905967181106404233199040183682331825348668834784950175590668357954150296,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,25,51,1,-3983085013768519474558206327849003525828457351192479825863661996275047574679364303378128175516174441274846082185003239586344206052574373279234922742497147,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-3983085013768519474558206327849003525828457351192479825863661996275047574679346050983268112338035820674470037084953878591106852555458434104705773039728755,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
negation,d->-d,25,115792089237316195423570985008687907852837564279074904382605163141518161494312,0,11755061498185020268223000892964110396182805457357637162525367847684969960491,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-11755061498185020268223000892964110396182805457357637162525367847684969960491,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,25,16615295180370359184587657017372248450490924654465439654574208440054657545754,0,45706837269683963289162522480637623562487239239171721361321932236305245953706,115792089237316195423570985008687907853269984665640564039457584007908834671663,45706837269683963289162522480637623562487239239171721361321932236305245953706,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,26,27,1,6096179708010970812846331385102252544041081536416526592776370851847821018250936366230567608441597376893441570348068621418809182416185327803518758696826402,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,6096179708010970812846331385102252544041081536416526592776370851847821018250843384860356967625187565718932766828061655580978443823363209490138008438167616,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double,d->2d,26,52,0,-3110716726472243788764232550270781727968519177395976516497409032398746997571742102069740065372014147095858211566406945510052072858477550522261546768472466,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-3110716726472243788764232550270781727968519177395976516497409032398746997571799093895830772323576940721481675380213575590465960160618444450435817210695268,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
