step,action,U,U2,dU,dx,dy,x_block,y_block,y_borrow,x_block_neg,dU_bits,D,D2
2->2*2+1,2P+G,89565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930,21505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118,-68060062034783356116923864438316455866542012515047002862853944114139112648448914154690620931209089284568109632538507128480564167489371268987034478408073812,-68060062034783356116923864438316455866542012515047002862853944114139112648449,85845309379068790910715431890367461492871519435832510628731012965521591926188,-68060062034783356116923864438316455866542012515047002862853944114139112648449,85845309379068790910715431890367461492871519435832510628731012965521591926188,0,1,515,0.089565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930,0.021505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118
3->2*3,2P,112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410,115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663,3068915537782026982756099253900656139613667928502897678910349058941152476765053152035535229502520234406667103799464811849443048901366885077523065839881253,3068915537782026982756099253900656139613667928502897678910349058941152476765,53152035535229502520234406667103799464811849443048901366885077523065839881253,3068915537782026982756099253900656139613667928502897678910349058941152476765,53152035535229502520234406667103799464811849443048901366885077523065839881253,0,0,510,0.112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410,0.115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663
3->2*3+1,2P+G,112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410,41948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618,-70763285148066186451538449980390817748890484721683016452312319568886711926076977221261072719637023512893528885240606358250540429317538617097620024092688792,-70763285148066186451538449980390817748890484721683016452312319568886711926077,22778738927280362976487106471114759393641749459570682461382902379975907311208,-70763285148066186451538449980390817748890484721683016452312319568886711926077,22778738927280362976487106471114759393641749459570682461382902379975907311208,0,1,515,0.112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410,0.041948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618
4->2*4,2P,103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018,21262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124,-82126516689483452406153479163936167030605005816847725099811905987570139046673995307147849016635961637451999248812388143310865553393991338823738776253476894,-82126516689483452406153479163936167030605005816847725099811905987570139046674,4692852150983364038362548000751187611856689134446606008661176261223746523106,-82126516689483452406153479163936167030605005816847725099811905987570139046674,4692852150983364038362548000751187611856689134446606008661176261223746523106,0,1,515,0.103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018,0.021262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124
4->2*4+1,2P+G,103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018,78173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431,-25215275312757311271025169818189052628050624702654560399055989248592839508052944694264386420318415784519396247170221694673860940597084712612253384397028587,-25215275312757311271025169818189052628050624702654560399055989248592839508053,55305735613579681584215480603752829778305326139059402915287387746615602971413,-25215275312757311271025169818189052628050624702654560399055989248592839508053,55305735613579681584215480603752829778305326139059402915287387746615602971413,0,1,513,0.103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018,0.078173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431
5->2*5,2P,21505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118,72488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191,50983140336616861173093659238956299204791023958487867656961401633694629844962964066914219935822598200294900355398583744000971522887687655536791798661187073,50983140336616861173093659238956299204791023958487867656961401633694629844963,-35933085780064177401799705099644601416255999028477112312344463208201338812927,50983140336616861173093659238956299204791023958487867656961401633694629844962,964066914219935822598200294900355398583744000971522887687655536791798661187073,1,0,514,0.021505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118,0.072488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191
5->2*5+1,2P+G,21505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118,53957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059,32451746771248643492073289353442200639420625093142882382484142544485745629415000382508928562308620749601683190223629314524407632669658056685572223482159941,32451746771248643492073289353442200639420625093142882382484142544485745629415,382508928562308620749601683190223629314524407632669658056685572223482159941,32451746771248643492073289353442200639420625093142882382484142544485745629415,382508928562308620749601683190223629314524407632669658056685572223482159941,0,0,514,0.021505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118,0.053957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059
6->2*6,2P,115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663,94111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375,-21669316385252417764315985142793484370670418992049339982439845591835404242172001864296188587857400586745941693023011075782817179663734353203244450284818288,-21669316385252417764315985142793484370670418992049339982439845591835404242172,-1864296188587857400586745941693023011075782817179663734353203244450284818288,-21669316385252417764315985142793484370670418992049339982439845591835404242173,998135703811412142599413254058306976988924217182820336265646796755549715181712,1,1,513,0.115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663,0.094111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375
6->2*6+1,2P+G,115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663,109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713,-6081543312636587371289862364467832220389458581571889364910783810687589751470073899974840030244943596434497824454123769959437349484855770069861293360284950,-6081543312636587371289862364467832220389458581571889364910783810687589751470,-73899974840030244943596434497824454123769959437349484855770069861293360284950,-6081543312636587371289862364467832220389458581571889364910783810687589751471,926100025159969755056403565502175545876230040562650515144229930138706639715050,1,1,511,0.115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663,0.109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713
7->2*7,2P,41948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618,33301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019,-8647065298192666554898654497835326922863232816418922422728086817222302684631956650100030619746050940639312836472227597646594079399230897422591051210761599,-8647065298192666554898654497835326922863232816418922422728086817222302684632,43349899969380253949059360687163527772402353405920600769102577408948789238401,-8647065298192666554898654497835326922863232816418922422728086817222302684632,43349899969380253949059360687163527772402353405920600769102577408948789238401,0,1,512,0.041948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618,0.033301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019
7->2*7+1,2P+G,41948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618,97505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664,55557380402711963212671750639178158402396058742797736862710896938423961587281991495048340444416575846431419259626521246975033502809686672114193203157010046,55557380402711963212671750639178158402396058742797736862710896938423961587282,-8504951659555583424153568580740373478753024966497190313327885806796842989954,55557380402711963212671750639178158402396058742797736862710896938423961587281,991495048340444416575846431419259626521246975033502809686672114193203157010046,1,0,515,0.041948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618,0.097505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664
8->2*8,2P,21262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124,104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825,82797826315957693420498604545763997571544699690680605854635016094003432243721070372909843854840202363927046614855232939202353428849585874454909839372156701,82797826315957693420498604545763997571544699690680605854635016094003432243721,70372909843854840202363927046614855232939202353428849585874454909839372156701,82797826315957693420498604545763997571544699690680605854635016094003432243721,70372909843854840202363927046614855232939202353428849585874454909839372156701,0,0,515,0.021262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124,0.104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825
8->2*8+1,2P+G,21262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124,100862081773581120499222301212791081193994281440454033593790618293887747050036029883864782608871580821802176208615141762369223249393426421538275393411672951,79600024467429492545626616122510649915810451953278157215799429047171391103026988133871486383384529443937544593097979765463160101633747887075585913836339827,79600024467429492545626616122510649915810451953278157215799429047171391103027,-11866128513616615470556062455406902020234536839898366252112924414086163660173,79600024467429492545626616122510649915810451953278157215799429047171391103026,988133871486383384529443937544593097979765463160101633747887075585913836339827,1,0,515,0.021262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124,0.100862081773581120499222301212791081193994281440454033593790618293887747050036029883864782608871580821802176208615141762369223249393426421538275393411672951
9->2*9,2P,78173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431,38901272619685732968285380035171577070479117282397203902622597987558769928140087393127487643849618870152207476122589010570440825041333620493866032028851544,-39272026063192036120438614400855968610259093318971837176124507998134885557490004969749271177954978360645027141036739434972626935515251540180308839402929887,-39272026063192036120438614400855968610259093318971837176124507998134885557490,-4969749271177954978360645027141036739434972626935515251540180308839402929887,-39272026063192036120438614400855968610259093318971837176124507998134885557491,995030250728822045021639354972858963260565027373064484748459819691160597070113,1,1,514,0.078173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431,0.038901272619685732968285380035171577070479117282397203902622597987558769928140087393127487643849618870152207476122589010570440825041333620493866032028851544
9->2*9+1,2P+G,78173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431,19588375357829479297593261744848590434972900972071148260168833594658324503404060568592333449737531184420002591396163903580402725242236305558432410218044282,-58584923325048289791130732691178955245765309629297892818578272391035330982226031794284425372067066046377232025763164541962665035314348855115742461213737149,-58584923325048289791130732691178955245765309629297892818578272391035330982226,-31794284425372067066046377232025763164541962665035314348855115742461213737149,-58584923325048289791130732691178955245765309629297892818578272391035330982227,968205715574627932933953622767974236835458037334964685651144884257538786262851,1,1,515,0.078173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431,0.019588375357829479297593261744848590434972900972071148260168833594658324503404060568592333449737531184420002591396163903580402725242236305558432410218044282
10->2*10,2P,72488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191,34773495056115281091786765947597603724784643419904767525769502836017890139287008470533044743364938367028725608288731153024648869546164814808839694950063162,-37715475172265228195635949278977931974108513853158307102022284596834816043824053600089853955078893516506677827969981617863645527480328370612872413674704029,-37715475172265228195635949278977931974108513853158307102022284596834816043824,-53600089853955078893516506677827969981617863645527480328370612872413674704029,-37715475172265228195635949278977931974108513853158307102022284596834816043825,946399910146044921106483493322172030018382136354472519671629387127586325295971,1,1,514,0.072488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191,0.034773495056115281091786765947597603724784643419904767525769502836017890139287008470533044743364938367028725608288731153024648869546164814808839694950063162
10->2*10+1,2P+G,72488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191,24049875635381557237058143631624836741422505207761609709712554171343558302165022669890352939653242079781319904043788036611953081321775127194249638113810828,-48439094592998952050364571594950698957470652065301464918079233261509147880946039400732545758790589803754083532214924734276341315704718058227462470510956363,-48439094592998952050364571594950698957470652065301464918079233261509147880946,-39400732545758790589803754083532214924734276341315704718058227462470510956363,-48439094592998952050364571594950698957470652065301464918079233261509147880947,960599267454241209410196245916467785075265723658684295281941772537529489043637,1,1,514,0.072488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191,0.024049875635381557237058143631624836741422505207761609709712554171343558302165022669890352939653242079781319904043788036611953081321775127194249638113810828
11->2*11,2P,53957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059,29908081367423272746086114569421970207888665320998202915346633185016778189308019705544727792599099830884487151299095417296550955739824847212341657057716097,-24049495295589018860316230771639466925634093086719886437967895158627043778255078680672879532330754601957699119784662924115179551068638739358150876388023962,-24049495295589018860316230771639466925634093086719886437967895158627043778255,-78680672879532330754601957699119784662924115179551068638739358150876388023962,-24049495295589018860316230771639466925634093086719886437967895158627043778256,921319327120467669245398042300880215337075884820448931361260641849123611976038,1,1,513,0.053957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059,0.029908081367423272746086114569421970207888665320998202915346633185016778189308019705544727792599099830884487151299095417296550955739824847212341657057716097
11->2*11+1,2P+G,53957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059,21545045623056848826483343441081830815719530893582365358444562918095175994431001296978981679745807043951140304019026881137717020402959957988455650813508967,-32412531039955442779919001899979606317803227514135723994869965425548645973132097089238625645184047388891045967064731460274013486405503628582036882632231092,-32412531039955442779919001899979606317803227514135723994869965425548645973132,-97089238625645184047388891045967064731460274013486405503628582036882632231092,-32412531039955442779919001899979606317803227514135723994869965425548645973133,902910761374354815952611108954032935268539725986513594496371417963117367768908,1,1,514,0.053957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059,0.021545045623056848826483343441081830815719530893582365358444562918095175994431001296978981679745807043951140304019026881137717020402959957988455650813508967
12->2*12,2P,94111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375,115090238283566018960826468250608273126387416636633736439689841211757211870926047185183227829754668635270747409548752084785367264057948864458978444304762303,20978978691325803685637694965571428255329190358640770198588724189441687748211970314415900617225857330704144596795891899850486578525246412695739287163019928,20978978691325803685637694965571428255329190358640770198588724189441687748212,-29685584099382774142669295855403204108100149513421474753587304260712836980072,20978978691325803685637694965571428255329190358640770198588724189441687748211,970314415900617225857330704144596795891899850486578525246412695739287163019928,1,0,513,0.094111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375,0.115090238283566018960826468250608273126387416636633736439689841211757211870926047185183227829754668635270747409548752084785367264057948864458978444304762303
12->2*12+1,2P+G,94111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375,66165162229742397718677620062386824252848999675912518712054484685772795754260052018513869565587577673992057861898728543589604141463438466108080111932355586,-27946097362497817556511153222650020618209226602080447529046632336542728368454024852253457646941233630574544950854131641345276544069263985655159045209386789,-27946097362497817556511153222650020618209226602080447529046632336542728368454,-24852253457646941233630574544950854131641345276544069263985655159045209386789,-27946097362497817556511153222650020618209226602080447529046632336542728368455,975147746542353058766369425455049145868358654723455930736014344840954790613211,1,1,514,0.094111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375,0.066165162229742397718677620062386824252848999675912518712054484685772795754260052018513869565587577673992057861898728543589604141463438466108080111932355586
13->2*13,2P,109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713,46375854666189782329411331467438732923135312366454677774518044107217916677258028872066516664221627799718496556756366588329842312456769228220433104069963108,-63323177998666263338803564595923764098203874322015739084112134696245421936157975963022159105919640495159550124565380902428418203254811806676189209996312605,-63323177998666263338803564595923764098203874322015739084112134696245421936158,24036977840894080359504840449875434619097571581796745188193323810790003687395,-63323177998666263338803564595923764098203874322015739084112134696245421936158,24036977840894080359504840449875434619097571581796745188193323810790003687395,0,1,515,0.109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713,0.046375854666189782329411331467438732923135312366454677774518044107217916677258028872066516664221627799718496556756366588329842312456769228220433104069963108
13->2*13+1,2P+G,109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713,99023490166718961467148584643029653267652245207820783364668071358307234645801075362751621984629832705305750958516370071248757681753180287377123479199292501,-10675542498137084201066311420332843753686941480649633493962107445156103967614929472337053785511435589572295722805377419509502833958400747519498834866983212,-10675542498137084201066311420332843753686941480649633493962107445156103967615,70527662946214488564410427704277194622580490497166041599252480501165133016788,-10675542498137084201066311420332843753686941480649633493962107445156103967615,70527662946214488564410427704277194622580490497166041599252480501165133016788,0,1,512,0.109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713,0.099023490166718961467148584643029653267652245207820783364668071358307234645801075362751621984629832705305750958516370071248757681753180287377123479199292501
14->2*14,2P,33301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019,38862517885349586199469132990077977525522399615397327331631717567532241615208056796032415390392137148811074183321813766115156763923072036584114852967736264,5561207891897833149157578294374449095161139811959857662041510398431480337795965084365538158891519945438038503058241273144036456344771631215365386684507245,5561207891897833149157578294374449095161139811959857662041510398431480337796,-34915634461841108480054561961496941758726855963543655228368784634613315492755,5561207891897833149157578294374449095161139811959857662041510398431480337795,965084365538158891519945438038503058241273144036456344771631215365386684507245,1,0,511,0.033301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019,0.038862517885349586199469132990077977525522399615397327331631717567532241615208056796032415390392137148811074183321813766115156763923072036584114852967736264
14->2*14+1,2P+G,33301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019,88789495143442116025801984763830218317601484092281216301053684219001740388315014971629676138079947354454610178388572791590863859394042797260533911845233794,55488185149990362975490430068126689887240224288843746631463477049900979110902923259962798906579330151081574498125000298619743551815742391891784445562004775,55488185149990362975490430068126689887240224288843746631463477049900979110903,-76740037201093420669848918425501874999701380256448184257608108215554437995225,55488185149990362975490430068126689887240224288843746631463477049900979110902,923259962798906579330151081574498125000298619743551815742391891784445562004775,1,0,515,0.033301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019,0.088789495143442116025801984763830218317601484092281216301053684219001740388315014971629676138079947354454610178388572791590863859394042797260533911845233794
15->2*15,2P,97505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664,49378132684229722274313556995573891527709373183446262831552359577455015004672078123232289538034746933569305416412888858560602643272431489024958214987548923,-48127623010126660543568402837143122227911178179207866123476831347292010544653961733582958757628497056874462359949432479032145246514786485880575505663451741,-48127623010126660543568402837143122227911178179207866123476831347292010544654,38266417041242371502943125537640050567520967854753485213514119424494336548259,-48127623010126660543568402837143122227911178179207866123476831347292010544654,38266417041242371502943125537640050567520967854753485213514119424494336548259,0,1,514,0.097505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664,0.049378132684229722274313556995573891527709373183446262831552359577455015004672078123232289538034746933569305416412888858560602643272431489024958214987548923
15->2*15+1,2P+G,97505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664,48009403158434809478298710137233764200988036438868259456275038304221065242292101379581344212856035375194820281365028426536613141130008386086305632315345538,-49496352535921573339583249695483249554632514923785869498754152620525960307033938477233904082807208615248947494997292911056134748657209588819228088335655126,-49496352535921573339583249695483249554632514923785869498754152620525960307034,61522766095917192791384751052505002707088943865251342790411180771911664344874,-49496352535921573339583249695483249554632514923785869498754152620525960307034,61522766095917192791384751052505002707088943865251342790411180771911664344874,0,1,514,0.097505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664,0.048009403158434809478298710137233764200988036438868259456275038304221065242292101379581344212856035375194820281365028426536613141130008386086305632315345538
16->2*16,2P,104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825,95440839670107969455973995843666399663662641812074432045896568980475242364517067400892360194400039319989411395972789004161889863182881857158544061243615929,-8619043952001351918120293792378029186065887365782050186729636360244545826213044722010779885927214421802266834399605931946526713426382551759055257703873896,-8619043952001351918120293792378029186065887365782050186729636360244545826213,-44722010779885927214421802266834399605931946526713426382551759055257703873896,-8619043952001351918120293792378029186065887365782050186729636360244545826214,955277989220114072785578197733165600394068053473286573617448240944742296126104,1,1,512,0.104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825,0.095440839670107969455973995843666399663662641812074432045896568980475242364517067400892360194400039319989411395972789004161889863182881857158544061243615929
16->2*16+1,2P+G,104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825,10219441022991940610048493520113102240595005085840974180672104038719657072293084023467742492607926612431243360899514584580916128500081114886405247779677078,-93840442599117380764045796115931326609133524092015508051954101302000131118437028099435397587719327129360434869472880351527500448109183294031194071167812747,-93840442599117380764045796115931326609133524092015508051954101302000131118437,-28099435397587719327129360434869472880351527500448109183294031194071167812747,-93840442599117380764045796115931326609133524092015508051954101302000131118438,971900564602412280672870639565130527119648472499551890816705968805928832187253,1,1,515,0.104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825,0.010219441022991940610048493520113102240595005085840974180672104038719657072293084023467742492607926612431243360899514584580916128500081114886405247779677078
P135+0->1,P+G,9210836494447108270027136741376870869791784014198948301625976867708124077590046351506704828816385393879789131775975171267756561783641521771795450741674800,22249732239474094348466092315309562856730738575753278567813732843809780498344115427358652607272490899347240407297202113746595418657560191322078971184540847,13038895745026986078438955573932691986938954561554330266187755976101656420754069075851947778456105505467451275521226942478838856873918669550283520442866047,13038895745026986078438955573932691986938954561554330266187755976101656420754,69075851947778456105505467451275521226942478838856873918669550283520442866047,13038895745026986078438955573932691986938954561554330266187755976101656420754,69075851947778456105505467451275521226942478838856873918669550283520442866047,0,0,512,0.009210836494447108270027136741376870869791784014198948301625976867708124077590046351506704828816385393879789131775975171267756561783641521771795450741674800,0.022249732239474094348466092315309562856730738575753278567813732843809780498344115427358652607272490899347240407297202113746595418657560191322078971184540847
P135+1->2,P+G,22249732239474094348466092315309562856730738575753278567813732843809780498344115427358652607272490899347240407297202113746595418657560191322078971184540847,56471426870227313242235608629806798511168443215134917881035715350330303392009042356654414336761106179295006955011962694059567467736947088472219310865684884,34221694630753218893769516314497235654437704639381639313221982506520522893664926929295761729488615279947766547714760580312972049079386897150140339681144037,34221694630753218893769516314497235654437704639381639313221982506520522893665,-73070704238270511384720052233452285239419687027950920613102849859660318855963,34221694630753218893769516314497235654437704639381639313221982506520522893664,926929295761729488615279947766547714760580312972049079386897150140339681144037,1,0,514,0.022249732239474094348466092315309562856730738575753278567813732843809780498344115427358652607272490899347240407297202113746595418657560191322078971184540847,0.056471426870227313242235608629806798511168443215134917881035715350330303392009042356654414336761106179295006955011962694059567467736947088472219310865684884
P135+2->3,P+G,56471426870227313242235608629806798511168443215134917881035715350330303392009042356654414336761106179295006955011962694059567467736947088472219310865684884,82814124949013383954530802660176227835733965611325452337100247855785167618267051891551263023921024473284485798671783238279389137234904788781582166530198438,26342698078786070712295194030369429324565522396190534456064532505454864226258009534896848687159918293989478843659820544219821669497957700309362855664513554,26342698078786070712295194030369429324565522396190534456064532505454864226258,9534896848687159918293989478843659820544219821669497957700309362855664513554,26342698078786070712295194030369429324565522396190534456064532505454864226258,9534896848687159918293989478843659820544219821669497957700309362855664513554,0,0,513,0.056471426870227313242235608629806798511168443215134917881035715350330303392009042356654414336761106179295006955011962694059567467736947088472219310865684884,0.082814124949013383954530802660176227835733965611325452337100247855785167618267051891551263023921024473284485798671783238279389137234904788781582166530198438
P135+3->4,P+G,82814124949013383954530802660176227835733965611325452337100247855785167618267051891551263023921024473284485798671783238279389137234904788781582166530198438,104867321617755052002863839393190169021435098191015041678802181361033979498117063598966881661122971080292880697927529144344982922681269976883960677708635393,22053196668741668048333036733013941185701132579689589341701933505248811879850011707415618637201946607008394899255745906065593785446365188102378511178436955,22053196668741668048333036733013941185701132579689589341701933505248811879850,11707415618637201946607008394899255745906065593785446365188102378511178436955,22053196668741668048333036733013941185701132579689589341701933505248811879850,11707415618637201946607008394899255745906065593785446365188102378511178436955,0,0,513,0.082814124949013383954530802660176227835733965611325452337100247855785167618267051891551263023921024473284485798671783238279389137234904788781582166530198438,0.104867321617755052002863839393190169021435098191015041678802181361033979498117063598966881661122971080292880697927529144344982922681269976883960677708635393
P135+4->5,P+G,104867321617755052002863839393190169021435098191015041678802181361033979498117063598966881661122971080292880697927529144344982922681269976883960677708635393,67988325693584825940981973167279936233390083945069407926256751030659353597641078050130818078092508722357329776100609139059572164008290734186984143929256328,-36878995924170226061881866225910232788045014245945633752545430330374625900475985548836063583030462357935550921826920005285410758672979242696976533779379065,-36878995924170226061881866225910232788045014245945633752545430330374625900476,14451163936416969537642064449078173079994714589241327020757303023466220620935,-36878995924170226061881866225910232788045014245945633752545430330374625900476,14451163936416969537642064449078173079994714589241327020757303023466220620935,0,1,514,0.104867321617755052002863839393190169021435098191015041678802181361033979498117063598966881661122971080292880697927529144344982922681269976883960677708635393,0.067988325693584825940981973167279936233390083945069407926256751030659353597641078050130818078092508722357329776100609139059572164008290734186984143929256328
P135+5->6,P+G,67988325693584825940981973167279936233390083945069407926256751030659353597641078050130818078092508722357329776100609139059572164008290734186984143929256328,114364201730699830420040041802395184276359231626149932180300706356495180224030025828274060582815916367335602682996847503346096418296955086467514082749268535,46375876037115004479058068635115248042969147681080524254043955325835826626388947778143242504723407644978272906896238364286524254288664352280529938820012207,46375876037115004479058068635115248042969147681080524254043955325835826626389,-52221856757495276592355021727093103761635713475745711335647719470061179987793,46375876037115004479058068635115248042969147681080524254043955325835826626388,947778143242504723407644978272906896238364286524254288664352280529938820012207,1,0,514,0.067988325693584825940981973167279936233390083945069407926256751030659353597641078050130818078092508722357329776100609139059572164008290734186984143929256328,0.114364201730699830420040041802395184276359231626149932180300706356495180224030025828274060582815916367335602682996847503346096418296955086467514082749268535
